Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Falta de Comparência
1,2025-10-21 00:00:00,21h20,Caixa UA,EGI,12.0,4.0,Biologia,
1,2025-10-21 00:00:00,21h20,Caixa UA,Fisioterapia,21.0,5.0,Tradução,
1,2025-10-21 00:00:00,21h40,Caixa UA,EET,14.0,4.0,Economia,
1,2025-10-21 00:00:00,21h40,Caixa UA,Eng. Mecânica,15.0,3.0,Eng. Física,
1,2025-10-21 00:00:00,22h00,Caixa UA,ECT,3.0,9.0,Design,
1,2025-10-21 00:00:00,22h00,Caixa UA,Educação Básica,1.0,8.0,MTC,
1,2025-10-21 00:00:00,22h20,Caixa UA,Psicologia,1.0,9.0,Eng. Civil,
2,2025-10-21 00:00:00,22h20,Caixa UA,EGI,14.0,3.0,Eng. Física,
2,2025-10-21 00:00:00,22h40,Caixa UA,EET,12.0,4.0,Tradução,
2,2025-10-21 00:00:00,22h40,Caixa UA,Fisioterapia,21.0,10.0,Economia,
2,2025-10-21 00:00:00,23h00,Caixa UA,Ed.Básica,1.0,20.0,Eng. Civil,
2,2025-10-21 00:00:00,23h00,Caixa UA,Eng. Mecânica,12.0,10.0,Biologia,
2,2025-10-21 00:00:00,23h20,Caixa UA,ECT,1.0,13.0,Psicologia,
2,2025-10-21 00:00:00,23h20,Caixa UA,MTC,6.0,2.0,Design,
3,2025-12-17 00:00:00,19h00,Caixa UA,EGI,15.0,20.0,Eng. Mecânica,
3,2025-12-17 00:00:00,19h00,Caixa UA,Fisioterapia,20.0,11.0,EET,
3,2025-12-17 00:00:00,19h20,Caixa UA,Biologia,20.0,3.0,Ed.Básica,
3,2025-12-17 00:00:00,19h20,Caixa UA,Tradução,14.0,4.0,Economia,
3,2025-12-17 00:00:00,19h40,Caixa UA,MTC,4.0,3.0,Psicologia,
3,2025-12-17 00:00:00,20h00,Caixa UA,Eng. Física,6.0,0.0,ECT,
3,2025-12-17 00:00:00,20h20,Caixa UA,Design,5.0,16.0,Eng. Civil,
4,,,,Biologia,,,Eng. Civil,
4,,,,EGI,,,EET,
4,,,,Economia,,,MTC,
4,,,,Ed.Básica,,,ECT,
4,,,,Eng. Física,,,Design,
4,,,,Fisioterapia,,,Eng. Mecânica,
4,,,,Tradução,,,Psicologia,
5,,,,Biologia,,,MTC,
5,,,,EET,,,Ed.Básica,
5,,,,EGI,,,Eng. Civil,
5,,,,Economia,,,Eng. Física,
5,,,,Eng. Mecânica,,,ECT,
5,,,,Fisioterapia,,,Psicologia,
5,,,,Tradução,,,Design,
6,,,,Biologia,,,Tradução,
6,,,,EET,,,ECT,
6,,,,EGI,,,Psicologia,
6,,,,Economia,,,Eng. Civil,
6,,,,Ed.Básica,,,Eng. Física,
6,,,,Eng. Mecânica,,,MTC,
6,,,,Fisioterapia,,,Design,
7,,,,Biologia,,,Eng. Física,
7,,,,EET,,,MTC,
7,,,,EGI,,,Design,
7,,,,Economia,,,Psicologia,
7,,,,Eng. Mecânica,,,Ed.Básica,
7,,,,Fisioterapia,,,Eng. Civil,
7,,,,Tradução,,,ECT,
E1,,,,1º Class. 1ª Div.,,,8º Class. 1ª Div.,
E1,,,,2º Class. 1ª Div.,,,7º Class. 1ª Div.,
E1,,,,3º Class. 1ª Div.,,,6º Class. 1ª Div.,
E1,,,,4º Class. 1ª Div.,,,5º Class. 1ª Div.,
E2,,,,Vencedor QF1,,,Vencedor QF4,
E2,,,,Vencedor QF2,,,Vencedor QF3,
E3L,,,,Vencido MF1,,,Vencido MF2,
E3,,,,Vencedor MF1,,,Vencedor MF2,
