Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Falta de Comparência
1,2025-10-22 00:00:00,19h20,Caixa UA,Música,0.0,9.0,GPT,2,A,
1,2025-10-22 00:00:00,19h40,Caixa UA,Física,7.0,10.0,LRE,2,A,
2,2025-10-22 00:00:00,20h00,Caixa UA,Contabilidade,7.0,2.0,Música,2,A,
2,2025-10-22 00:00:00,20h20,Caixa UA,GPT,16.0,5.0,Economia,2,A,
1,2025-10-22 00:00:00,20h40,Caixa UA,MTC,6.0,11.0,Eng. Mecânica,1,,
2,2025-10-22 00:00:00,20h40,Caixa UA,Design,16.0,14.0,Física,2,A,
1,2025-10-22 00:00:00,21h00,Caixa UA,Tecnologias de Informação,4.0,7.0,Matemática,1,,
2,2025-10-22 00:00:00,21h00,Caixa UA,LRE,6.0,8.0,Biologia e Geologia,2,A,
1,2025-10-22 00:00:00,21h20,Caixa UA,Biologia,3.0,8.0,EET,1,,
1,2025-10-22 00:00:00,21h20,Caixa UA,Psicologia,11.0,2.0,Eng. Mecânica B,2,B,
1,2025-10-22 00:00:00,21h40,Caixa UA,EGI,5.0,3.0,Biotecnologia,1,,
1,2025-10-22 00:00:00,21h40,Caixa UA,Eng. Física,11.0,9.0,LLC,2,B,
1,2025-10-22 00:00:00,22h00,Caixa UA,Gestão,8.0,14.0,Eng. Biomédica,2,B,
2,2025-10-22 00:00:00,22h00,Caixa UA,Eng. Aeroespacial,4.0,9.0,EGI,1,,
1,2025-10-22 00:00:00,22h20,Caixa UA,Administração Pública,17.0,12.0,Eng. Computacional,2,B,
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Informática,5.0,8.0,ECT,1,,
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Mecânica B,6.0,5.0,Eng. Física,2,B,
2,2025-10-22 00:00:00,22h20,Caixa UA,LLC,6.0,10.0,Gestão,2,B,
2,2025-10-22 00:00:00,22h40,Caixa UA,Eng. Mecânica,13.0,15.0,Eng. Materiais,1,,
2,2025-10-22 00:00:00,23h00,Caixa UA,Matemática,7.0,5.0,MTC,1,,
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Biomédica,13.0,9.0,Administração Pública,2,B,
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Computacional,5.0,11.0,Ciências do Mar,2,B,
2,2025-10-22 00:00:00,23h20,Caixa UA,EET,4.0,13.0,Tecnologias de Informação,1,,
2,2025-10-22 00:00:00,23h40,Caixa UA,Biotecnologia,9.0,10.0,Biologia,1,,
3,2025-12-17 00:00:00,19h40,Caixa UA,Eng. Aeroespacial,,,Eng. Informática,1,,
3,2025-12-17 00:00:00,20h00,Caixa UA,ECT,,,Eng. Mecânica,1,,
3,2025-12-17 00:00:00,20h20,Caixa UA,Eng. Materiais,,,Matemática,1,,
3,2025-12-17 00:00:00,20h40,Caixa UA,MTC,,,EET,1,,
3,2025-12-17 00:00:00,20h40,Caixa UA,Gestão,,,Eng. Mecânica B,2,B,
3,2025-12-17 00:00:00,21h00,Caixa UA,Tecnologias de Informação,,,Biotecnologia,1,,
3,2025-12-17 00:00:00,21h00,Caixa UA,Eng. Física,,,Psicologia,2,B,
3,2025-12-17 00:00:00,21h20,Caixa UA,EGI,,,Biologia,1,,
3,2025-12-17 00:00:00,21h20,Caixa UA,Administração Pública,,,LLC,2,B,
3,2025-12-17 00:00:00,21h40,Caixa UA,Ciências do Mar,,,Eng. Biomédica,2,B,
4,2025-12-17 00:00:00,21h40,Caixa UA,Eng. Informática,,,EGI,1,,
3,2025-12-17 00:00:00,22h00,Caixa UA,Economia,,,Contabilidade,2,A,
4,2025-12-17 00:00:00,22h00,Caixa UA,Eng. Mecânica,,,Eng. Aeroespacial,1,,
3,2025-12-17 00:00:00,22h20,Caixa UA,Música,,,Eng. Civil,2,A,
4,2025-12-17 00:00:00,22h20,Caixa UA,Matemática,,,ECT,1,,
3,2025-12-17 00:00:00,22h40,Caixa UA,Biologia e Geologia,,,Design,2,A,
4,2025-12-17 00:00:00,22h40,Caixa UA,EET,,,Eng. Materiais,1,,
3,2025-12-17 00:00:00,23h00,Caixa UA,Física,,,GPT,2,A,
4,2025-12-17 00:00:00,23h00,Caixa UA,Biotecnologia,,,MTC,1,,
4,2025-12-17 00:00:00,23h20,Caixa UA,Biologia,,,Tecnologias de Informação,1,,
1,,,,ECT,,,Eng. Aeroespacial,1,,
1,,,,Eng. Materiais,,,Eng. Informática,1,,
1,,,,Economia,,,Design,2,A,
1,,,,Eng. Civil,,,Contabilidade,2,A,
4,,,,Contabilidade,,,Física,2,A,
4,,,,Design,,,LRE,2,A,
4,,,,Eng. Civil,,,Economia,2,A,
4,,,,GPT,,,Biologia e Geologia,2,A,
4,,,,Eng. Biomédica,,,Eng. Computacional,2,B,
4,,,,Eng. Mecânica B,,,Administração Pública,2,B,
4,,,,LLC,,,Ciências do Mar,2,B,
4,,,,Psicologia,,,Gestão,2,B,
5,,,,ECT,,,EET,1,,
5,,,,EGI,,,Tecnologias de Informação,1,,
5,,,,Eng. Aeroespacial,,,Matemática,1,,
5,,,,Eng. Informática,,,Eng. Mecânica,1,,
5,,,,Eng. Materiais,,,Biotecnologia,1,,
5,,,,MTC,,,Biologia,1,,
5,,,,Biologia e Geologia,,,Contabilidade,2,A,
5,,,,Economia,,,Música,2,A,
5,,,,Física,,,Eng. Civil,2,A,
5,,,,LRE,,,GPT,2,A,
5,,,,Administração Pública,,,Psicologia,2,B,
5,,,,Ciências do Mar,,,Eng. Mecânica B,2,B,
5,,,,Eng. Computacional,,,LLC,2,B,
5,,,,Gestão,,,Eng. Física,2,B,
6,,,,Biologia,,,Eng. Materiais,1,,
6,,,,Biotecnologia,,,ECT,1,,
6,,,,EET,,,Eng. Aeroespacial,1,,
6,,,,Eng. Mecânica,,,EGI,1,,
6,,,,Matemática,,,Eng. Informática,1,,
6,,,,Tecnologias de Informação,,,MTC,1,,
6,,,,Contabilidade,,,LRE,2,A,
6,,,,Eng. Civil,,,Biologia e Geologia,2,A,
6,,,,GPT,,,Design,2,A,
6,,,,Música,,,Física,2,A,
6,,,,Eng. Física,,,Administração Pública,2,B,
6,,,,Eng. Mecânica B,,,Eng. Computacional,2,B,
6,,,,LLC,,,Eng. Biomédica,2,B,
6,,,,Psicologia,,,Ciências do Mar,2,B,
7,,,,ECT,,,Biologia,1,,
7,,,,EGI,,,MTC,1,,
7,,,,Eng. Aeroespacial,,,Biotecnologia,1,,
7,,,,Eng. Informática,,,EET,1,,
7,,,,Eng. Materiais,,,Tecnologias de Informação,1,,
7,,,,Eng. Mecânica,,,Matemática,1,,
7,,,,Biologia e Geologia,,,Música,2,A,
7,,,,Design,,,Contabilidade,2,A,
7,,,,Física,,,Economia,2,A,
7,,,,LRE,,,Eng. Civil,2,A,
7,,,,Administração Pública,,,Gestão,2,B,
7,,,,Ciências do Mar,,,Eng. Física,2,B,
7,,,,Eng. Biomédica,,,Eng. Mecânica B,2,B,
7,,,,Eng. Computacional,,,Psicologia,2,B,
8,,,,Biologia,,,Eng. Aeroespacial,1,,
8,,,,Biotecnologia,,,Eng. Informática,1,,
8,,,,EET,,,Eng. Mecânica,1,,
8,,,,MTC,,,Eng. Materiais,1,,
8,,,,Matemática,,,EGI,1,,
8,,,,Tecnologias de Informação,,,ECT,1,,
8,,,,Contabilidade,,,GPT,2,A,
8,,,,Economia,,,Biologia e Geologia,2,A,
8,,,,Eng. Civil,,,Design,2,A,
8,,,,Música,,,LRE,2,A,
8,,,,Eng. Física,,,Eng. Computacional,2,B,
8,,,,Eng. Mecânica B,,,LLC,2,B,
8,,,,Gestão,,,Ciências do Mar,2,B,
8,,,,Psicologia,,,Eng. Biomédica,2,B,
9,,,,ECT,,,MTC,1,,
9,,,,EGI,,,Eng. Materiais,1,,
9,,,,Eng. Aeroespacial,,,Tecnologias de Informação,1,,
9,,,,Eng. Informática,,,Biologia,1,,
9,,,,Eng. Mecânica,,,Biotecnologia,1,,
9,,,,Matemática,,,EET,1,,
9,,,,Biologia e Geologia,,,Física,2,A,
9,,,,Design,,,Música,2,A,
9,,,,GPT,,,Eng. Civil,2,A,
9,,,,LRE,,,Economia,2,A,
9,,,,Ciências do Mar,,,Administração Pública,2,B,
9,,,,Eng. Biomédica,,,Eng. Física,2,B,
9,,,,Eng. Computacional,,,Gestão,2,B,
9,,,,LLC,,,Psicologia,2,B,
10,,,,Biologia,,,Eng. Mecânica,1,,
10,,,,Biotecnologia,,,Matemática,1,,
10,,,,EGI,,,EET,1,,
10,,,,Eng. Materiais,,,ECT,1,,
10,,,,MTC,,,Eng. Aeroespacial,1,,
10,,,,Tecnologias de Informação,,,Eng. Informática,1,,
11,,,,ECT,,,EGI,1,,
11,,,,EET,,,Biotecnologia,1,,
11,,,,Eng. Aeroespacial,,,Eng. Materiais,1,,
11,,,,Eng. Informática,,,MTC,1,,
11,,,,Eng. Mecânica,,,Tecnologias de Informação,1,,
11,,,,Matemática,,,Biologia,1,,
LM1,,,,9º Class. 1ª Div.,,,2º Class. 2ª Div. A,,,
