Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Falta de Comparência
1,2024-10-22 00:00:00,21h00,Sintético,Eng. Computacional,3,3,Matemática,2,A,
1,2024-10-22 00:00:00,21h00,Sintético,CBM,2,1,Psicologia,2,A,
1,2024-10-22 00:00:00,22h00,Sintético,MTC,2,2,AP,2,A,
1,2024-10-22 00:00:00,22h00,Sintético,LRE,0,4,Eng. Mecânica B,2,A,
1,2024-10-22 00:00:00,23h00,Sintético,Contabilidade,4,0,Biologia,2,B,
1,2024-10-22 00:00:00,23h00,Sintético,Geologia,0,0,Design,2,B,
1,2024-10-23 00:00:00,15h30,Sintético,Eng. Química,0,1,Eng. Biomédica,2,A,
1,2024-10-23 00:00:00,16h30,Sintético,Música,0,4,TI,2,B,
1,2024-10-23 00:00:00,16h30,Sintético,Biologia e Geologia,1,4,ECT,2,B,
1,2024-10-23 00:00:00,17h30,Sintético,Biotecnologia,2,1,Economia,1,,
1,2024-10-23 00:00:00,17h30,Sintético,Fisioterapia,8,0,Eng. Informática,1,,
1,2024-10-23 00:00:00,21h00,Sintético,EET,3,0,Eng. Física,1,,
1,2024-10-23 00:00:00,21h00,Sintético,Eng.Cívil,3,0,Gestao,1,,
1,2024-10-23 00:00:00,22h00,Sintético,Finanças,0,3,Eng. Mecânica,1,,
1,2024-10-23 00:00:00,22h00,Sintético,GPT,1,1,EGI,1,,
2,2024-11-12 00:00:00,21h30,Sintético,Economia,2,4,GPT,1,,
2,2024-11-12 00:00:00,21h30,Sintético,Eng. Mecânica,2,1,Biotecnologia,1,,
2,2024-11-12 00:00:00,22h30,Sintético,Eng. Física,0,4,Fisioterapia,1,,
2,2024-11-12 00:00:00,22h30,Sintético,Eng. Informática,1,3,Finanças,1,,
2,2024-11-13 00:00:00,16h30,Sintético,Psicologia,3,1,Eng. Computacional,2,A,
2,2024-11-13 00:00:00,17h30,Sintético,Matemática,1,0,LRE,2,A,
2,2024-11-13 00:00:00,17h30,Sintético,Eng. Biomédica,0,1,CBM,2,A,
2,2024-11-13 00:00:00,20h00,Sintético,Gestao,3,3,EET,1,,
2,2024-11-13 00:00:00,20h00,Sintético,EGI,2,1,Eng.Cívil,1,,
2,2024-11-13 00:00:00,21h00,Sintético,AP,4,1,Eng. Química,2,A,
2,2024-11-13 00:00:00,21h00,Sintético,Eng. Mecânica B,5,2,MTC,2,A,
2,2024-11-14 00:00:00,21h30,Sintético,Design,1,4,Contabilidade,2,B,
2,2024-11-14 00:00:00,21h30,Sintético,Biologia,3,2,Biologia e Geologia,2,B,
2,2024-11-14 00:00:00,22h30,Sintético,TI,0,7,Eng. Materiais,2,B,
2,2024-11-14 00:00:00,22h30,Sintético,ECT,4,0,Música,2,B,
3,2024-11-26 00:00:00,21h30,Sintético,Fisioterapia,2,1,Gestao,1,,
3,2024-11-26 00:00:00,21h30,Sintético,Finanças,3,4,Eng. Física,1,,
3,2024-11-26 00:00:00,22h30,Sintético,EET,1,4,EGI,1,,
3,2024-11-26 00:00:00,22h30,Sintético,Economia,1,3,Eng. Mecânica,1,,
3,2024-11-27 00:00:00,16h30,Sintético,Contabilidade,4,3,Geologia,2,B,
3,2024-11-27 00:00:00,16h30,Sintético,Biologia e Geologia,0,0,Design,2,B,
3,2024-11-27 00:00:00,17h30,Sintético,Eng. Materiais,0,3,ECT,2,B,
3,2024-11-27 00:00:00,17h30,Sintético,Música,0,2,Biologia,2,B,
3,2024-11-27 00:00:00,20h00,Sintético,Eng. Computacional,1,2,CBM,2,A,
3,2024-11-27 00:00:00,20h00,Sintético,LRE,0,3,Psicologia,2,A,LRE
3,2024-11-27 00:00:00,21h00,Sintético,MTC,5,3,Matemática,2,A,
3,2024-11-27 00:00:00,21h00,Sintético,Eng. Química,2,2,Eng. Mecânica B,2,A,
3,2024-11-27 00:00:00,22h00,Sintético,Eng. Biomédica,2,2,AP,2,A,
3,2024-11-28 00:00:00,21h30,Sintético,Biotecnologia,6,0,Eng. Informática,1,,
3,2024-11-28 00:00:00,22h30,Sintético,GPT,1,1,Eng.Cívil,1,,
4,2024-12-10 00:00:00,21h30,Sintético,Eng. Computacional,2,5,Eng. Biomédica,2,A,
4,2024-12-10 00:00:00,21h30,Sintético,Eng. Informática,3,5,Economia,1,,
4,2024-12-10 00:00:00,22h30,Sintético,Eng. Mecânica B,3,1,AP,2,A,
4,2024-12-10 00:00:00,22h30,Sintético,Matemática,0,2,Eng. Química,2,A,
4,2024-12-11 00:00:00,17h00,Sintético,Eng. Física,1,2,Biotecnologia,1,,
4,2024-12-11 00:00:00,18h00,Sintético,EGI,1,1,Fisioterapia,1,,
4,2024-12-11 00:00:00,21h00,Sintético,CBM,5,4,LRE,2,A,
4,2024-12-11 00:00:00,21h00,Sintético,Eng.Cívil,0,2,EET,1,,
4,2024-12-11 00:00:00,22h00,Sintético,Design,1,1,Música,2,B,
4,2024-12-11 00:00:00,22h00,Sintético,Geologia,1,2,Biologia e Geologia,2,B,
4,2024-12-11 00:00:00,23h00,Sintético,Biologia,0,3,Eng. Materiais,2,B,
4,2024-12-11 00:00:00,23h00,Sintético,ECT,3,0,TI,2,B,
4,2024-12-12 00:00:00,21h00,Sintético,Psicologia,4,4,MTC,2,A,
4,2024-12-12 00:00:00,22h00,Sintético,Eng. Mecânica,3,1,GPT,1,,
4,2024-12-12 00:00:00,23h00,Sintético,Gestao,1,10,Finanças,1,,
5,2025-02-17 00:00:00,21h00,Sintético,Eng. Materiais,2,1,Design,2,B,
5,2025-02-17 00:00:00,22h00,Sintético,Música,1,5,Geologia,2,B,
5,2025-02-17 00:00:00,23h00,Sintético,Biologia e Geologia,1,10,Contabilidade,2,B,
5,2025-02-18 00:00:00,21h00,Sintético,Biotecnologia,4,1,Gestao,1,,
5,2025-02-18 00:00:00,22h00,Sintético,GPT,2,1,EET,1,,
5,2025-02-18 00:00:00,23h00,Sintético,Economia,5,1,Eng. Física,1,,
5,2025-02-19 00:00:00,16h00,Sintético,MTC,2,4,CBM,2,A,
5,2025-02-19 00:00:00,17h00,Sintético,LRE,2,8,Eng. Computacional,2,A,
5,2025-02-19 00:00:00,18h00,Sintético,Eng. Biomédica,3,4,Eng. Mecânica B,2,A,
5,2025-02-19 00:00:00,21h00,Sintético,AP,4,1,Matemática,2,A,
5,2025-02-19 00:00:00,22h00,Sintético,TI,2,1,Biologia,2,B,
