Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência
1,2025-10-21 00:00:00,21h20,Caixa UA,EGI,12,4,Biologia,Excel,Excel,False,False,
1,2025-10-21 00:00:00,21h20,Caixa UA,Fisioterapia,21,5,Tradução,Excel,Excel,False,False,
1,2025-10-21 00:00:00,21h40,Caixa UA,EET,14,4,Economia,Excel,Excel,False,False,
1,2025-10-21 00:00:00,21h40,Caixa UA,Eng. Mecânica,15,3,Eng. Física,Excel,Excel,False,False,
1,2025-10-21 00:00:00,22h00,Caixa UA,ECT,3,9,Design,Excel,Excel,False,False,
1,2025-10-21 00:00:00,22h00,Caixa UA,Educação Básica,0,21,MTC,Excel,Excel,False,False,Educação Básica
1,2025-10-21 00:00:00,22h20,Caixa UA,Psicologia,1,9,Eng. Civil,Excel,Excel,False,False,
2,2025-10-21 00:00:00,22h20,Caixa UA,EGI,14,3,Eng. Física,Excel,Excel,False,False,
2,2025-10-21 00:00:00,22h40,Caixa UA,EET,12,4,Tradução,Excel,Excel,False,False,
2,2025-10-21 00:00:00,22h40,Caixa UA,Fisioterapia,21,10,Economia,Excel,Excel,False,False,
2,2025-10-21 00:00:00,23h00,Caixa UA,Ed.Básica,0,21,Eng. Civil,Excel,Excel,False,False,Ed.Básica
2,2025-10-21 00:00:00,23h00,Caixa UA,Eng. Mecânica,12,10,Biologia,Excel,Excel,False,False,
2,2025-10-21 00:00:00,23h20,Caixa UA,ECT,1,13,Psicologia,Excel,Excel,False,False,
2,2025-10-21 00:00:00,23h20,Caixa UA,MTC,6,2,Design,Excel,Excel,False,False,
3,2025-12-17 00:00:00,19h00,Caixa UA,EGI,15,20,Eng. Mecânica,Excel,Excel,False,False,
3,2025-12-17 00:00:00,19h00,Caixa UA,Fisioterapia,20,11,EET,Excel,Excel,False,False,
3,2025-12-17 00:00:00,19h20,Caixa UA,Biologia,21,0,Ed.Básica,Excel,Excel,False,False,Ed.Básica
3,2025-12-17 00:00:00,19h20,Caixa UA,Tradução,14,4,Economia,Excel,Excel,False,False,
3,2025-12-17 00:00:00,19h40,Caixa UA,MTC,4,3,Psicologia,Excel,Excel,False,False,
3,2025-12-17 00:00:00,20h00,Caixa UA,Eng. Física,6,0,ECT,Excel,Excel,False,False,
3,2025-12-17 00:00:00,20h20,Caixa UA,Design,5,16,Eng. Civil,Excel,Excel,False,False,
4,2026-02-19 00:00:00,20h00,Caixa UA,EGI,21,8,EET,Excel,Excel,False,False,
4,2026-02-19 00:00:00,20h20,Caixa UA,Fisioterapia,13,17,Eng. Mecânica,Excel,Excel,False,False,
4,2026-02-19 00:00:00,20h40,Caixa UA,Biologia,7,5,Eng. Civil,Excel,Excel,False,False,
4,2026-02-19 00:00:00,21h00,Caixa UA,Tradução,9,10,Psicologia,Excel,Excel,False,False,
4,2026-02-19 00:00:00,21h20,Caixa UA,Economia,12,9,MTC,Excel,Excel,False,False,
4,2026-02-19 00:00:00,21h40,Caixa UA,Eng. Física,2,14,Design,Excel,Excel,False,False,
4,2026-02-19 00:00:00,22h00,Caixa UA,Ed.Básica,0,21,ECT,Excel,Excel,False,False,Ed.Básica
5,2026-02-19 00:00:00,22h20,Caixa UA,EGI,12,9,Eng. Civil,Excel,Excel,False,False,
5,2026-02-19 00:00:00,22h40,Caixa UA,Fisioterapia,21,7,Psicologia,Excel,Excel,False,False,
5,2026-02-19 00:00:00,23h00,Caixa UA,EET,21,0,Ed.Básica,Excel,Excel,False,False,Ed.Básica
5,2026-02-19 00:00:00,23h20,Caixa UA,Eng. Mecânica,21,2,ECT,Excel,Excel,False,False,
5,2026-02-19 00:00:00,23h40,Caixa UA,Biologia,6,12,MTC,Excel,Excel,False,False,
5,2026-03-18 00:00:00,21h20,Caixa UA,Tradução,10,11,Design,Excel,Excel,False,False,
6,2026-03-18 00:00:00,21h40,Caixa UA,EGI,10,1,Psicologia,Excel,Excel,False,False,
6,2026-03-18 00:00:00,22h00,Caixa UA,Fisioterapia,10,8,Design,Excel,Excel,False,False,
6,2026-03-18 00:00:00,22h20,Caixa UA,EET,10,1,ECT,Excel,Excel,False,False,
6,2026-03-18 00:00:00,22h40,Caixa UA,Eng. Mecânica,1,12,MTC,Excel,Excel,False,False,
6,2026-03-18 00:00:00,23h00,Caixa UA,Biologia,6,8,Tradução,Excel,Excel,False,False,
6,2026-03-18 00:00:00,23h20,Caixa UA,Ed.Básica,0,21,Eng. Física,Excel,Excel,False,False,Ed.Básica
6,2026-03-18 00:00:00,23h40,Caixa UA,Economia,0,21,Eng. Civil,Excel,Excel,False,False,Economia
7,2026-05-06 00:00:00,15h00,PAH (Aristides Hall),Eng. Mecânica,21,0,Ed.Básica,,Placeholder,True,True,Ed.Básica
7,2026-05-06 00:00:00,20h00,Caixa UA,EGI,,,Design,Excel,Excel,False,False,
7,2026-05-06 00:00:00,20h20,Caixa UA,Fisioterapia,,,Eng. Civil,Excel,Excel,False,False,
7,2026-05-06 00:00:00,20h40,Caixa UA,EET,,,MTC,Excel,Excel,False,False,
7,2026-05-06 00:00:00,21h00,Caixa UA,Biologia,,,Eng. Física,Excel,Excel,False,False,
7,2026-05-06 00:00:00,21h20,Caixa UA,Tradução,,,ECT,Excel,Excel,False,False,
7,2026-05-06 00:00:00,21h40,Caixa UA,Economia,,,Psicologia,Excel,Excel,False,False,
5,,,,Economia,,,Eng. Física,,,False,False,
E1,,,,1º Class. 1ª Div.,,,8º Class. 1ª Div.,,,,,
