Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,
1,2024-11-13 00:00:00,19h20,PAH,MTC,10,8,EGI,1,,
1,2024-11-13 00:00:00,19h20,PAH,EET,15,16,Eng. Mecânica,1,,
1,2024-11-13 00:00:00,19h40,PAH,Biologia,12,15,Fisioterapia,1,,
1,2024-11-13 00:00:00,19h40,PAH,Eng. Aeroespacial,10,19,Eng. Materiais,1,,
1,2024-11-13 00:00:00,20h00,PAH,Economia,6,8,ECT,1,,
2,2024-11-13 00:00:00,20h00,PAH,EGI,6,9,EET,1,,
2,2024-11-13 00:00:00,20h20,PAH,ECT,6,7,MTC,1,,
2,2024-11-13 00:00:00,20h20,PAH,Eng. Mecânica,20,12,Biologia,1,,
2,2024-11-13 00:00:00,20h40,PAH,Eng. Materiais,15,6,Economia,1,,
2,2024-11-13 00:00:00,20h40,PAH,Fisioterapia,7,10,Eng. Aeroespacial,1,,
1,2024-11-13 00:00:00,21h00,PAH,Eng. Física,10,3,Biologia e Geologia,2,A,
1,2024-11-13 00:00:00,21h00,PAH,Eng. Biomédica,9,11,TI,2,A,
1,2024-11-13 00:00:00,21h20,PAH,Finanças,3,2,Gestao,2,A,
1,2024-11-13 00:00:00,21h20,PAH,Matemática,9,4,GPT,2,A,
2,2024-11-13 00:00:00,21h40,PAH,Biologia e Geologia,5,6,Eng. Biomédica,2,A,
1,2024-11-13 00:00:00,21h40,PAH,Eng. Química,7,3,DPT,2,A,
2,2024-11-13 00:00:00,22h00,PAH,TI,12,9,Matemática,2,A,
2,2024-11-13 00:00:00,22h00,PAH,DPT,3,7,Eng. Física,2,A,
2,2024-11-13 00:00:00,22h20,PAH,Gestao,11,16,Eng. Química,2,A,
2,2024-11-13 00:00:00,22h20,PAH,GPT,5,4,Finanças,2,A,
1,2024-11-13 00:00:00,22h40,PAH,AP,5,9,Eng. Informática,2,B,
1,2024-11-13 00:00:00,22h40,PAH,LRE,14,3,Eng. Civil,2,B,
1,2024-11-13 00:00:00,23h00,PAH,Biotecnologia,12,8,Design,2,B,
1,2024-11-13 00:00:00,23h00,PAH,Bioquímica,12,17,Psicologia,2,B,
1,2024-11-13 00:00:00,23h20,PAH,Educaçao Básica,2,11,Eng. Compotacional,2,B,
2,2024-11-13 00:00:00,23h20,PAH,Eng. Civil,6,13,AP,2,B,
2,2024-11-13 00:00:00,23h40,PAH,Eng. Compotacional,9,14,LRE,2,B,
2,2024-11-13 00:00:00,23h40,PAH,Eng. Informática,9,5,Biotecnologia,2,B,
2,2024-11-13 00:00:00,0h00,PAH,Design,14,6,Bioquímica,2,B,
2,2024-11-13 00:00:00,0h00,PAH,Psicologia,21,2,Educaçao Básica,2,B,
3,2024-12-04 00:00:00,18h40,PAH,Biotecnologia,6,10,Eng. Civil,2,B,
