Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Data_Placeholder,Falta de Comparência
1,2025-10-22 00:00:00,19h20,Caixa UA,Música,0.0,9.0,GPT,2,A,False,
1,2025-10-22 00:00:00,19h40,Caixa UA,Física,7.0,10.0,LRE,2,A,False,
2,2025-10-22 00:00:00,20h00,Caixa UA,Contabilidade,7.0,2.0,Música,2,A,False,
2,2025-10-22 00:00:00,20h20,Caixa UA,GPT,16.0,5.0,Economia,2,A,False,
1,2025-10-22 00:00:00,20h40,Caixa UA,MTC,6.0,11.0,Eng. Mecânica,1,,False,
2,2025-10-22 00:00:00,20h40,Caixa UA,Design,16.0,14.0,Física,2,A,False,
1,2025-10-22 00:00:00,21h00,Caixa UA,Tecnologias de Informação,4.0,7.0,Matemática,1,,False,
2,2025-10-22 00:00:00,21h00,Caixa UA,LRE,6.0,8.0,Biologia e Geologia,2,A,False,
1,2025-10-22 00:00:00,21h20,Caixa UA,Biologia,3.0,8.0,EET,1,,False,
1,2025-10-22 00:00:00,21h20,Caixa UA,Psicologia,11.0,2.0,Eng. Mecânica B,2,B,False,
1,2025-10-22 00:00:00,21h40,Caixa UA,EGI,5.0,3.0,Biotecnologia,1,,False,
1,2025-10-22 00:00:00,21h40,Caixa UA,Eng. Física,11.0,9.0,LLC,2,B,False,
1,2025-10-22 00:00:00,22h00,Caixa UA,Gestão,8.0,14.0,Eng. Biomédica,2,B,False,
2,2025-10-22 00:00:00,22h00,Caixa UA,Eng. Aeroespacial,4.0,9.0,EGI,1,,False,
1,2025-10-22 00:00:00,22h20,Caixa UA,Administração Pública,17.0,12.0,Eng. Computacional,2,B,False,
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Informática,5.0,8.0,ECT,1,,False,
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Mecânica B,6.0,5.0,Eng. Física,2,B,False,
2,2025-10-22 00:00:00,22h20,Caixa UA,LLC,6.0,10.0,Gestão,2,B,False,
2,2025-10-22 00:00:00,22h40,Caixa UA,Eng. Mecânica,13.0,15.0,Eng. Materiais,1,,False,
2,2025-10-22 00:00:00,23h00,Caixa UA,Matemática,7.0,5.0,MTC,1,,False,
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Biomédica,13.0,9.0,Administração Pública,2,B,False,
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Computacional,5.0,11.0,Ciências do Mar,2,B,False,
2,2025-10-22 00:00:00,23h20,Caixa UA,EET,4.0,13.0,Tecnologias de Informação,1,,False,
2,2025-10-22 00:00:00,23h40,Caixa UA,Biotecnologia,9.0,10.0,Biologia,1,,False,
3,2025-12-17 00:00:00,19h40,Caixa UA,Eng. Aeroespacial,13.0,3.0,Eng. Informática,1,,False,
3,2025-12-17 00:00:00,20h00,Caixa UA,ECT,8.0,10.0,Eng. Mecânica,1,,False,
