Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,Biologia e Geologia,29,10,9,1,0,253,172,81,0
2,Economia,29,10,9,1,0,237,174,63,0
3,Gestão Comercial,25,9,8,0,1,215,155,60,0
4,Matemática,23,10,6,1,3,215,169,46,0
5,Administração Pública,23,10,6,1,3,198,172,26,0
6,Eng. Mecânica,23,9,6,2,1,185,133,52,0
7,Eng. Eletrónica e Telecomunicações,22,9,6,1,2,210,185,25,0
8,Eng. Biomédica,22,10,6,0,4,170,168,2,0
9,Marketing,20,9,5,1,3,217,204,13,0
10,Eng. Informática,20,9,5,1,3,173,182,-9,0
11,DPT,18,10,4,0,6,216,214,2,0
12,Gestão,18,10,4,0,6,198,225,-27,0
13,MTC,18,10,4,0,6,175,185,-10,0
14,Eng. e Gestão Industrial,18,9,4,1,4,195,194,1,0
15,Eng. Civil,17,9,3,2,4,171,173,-2,0
16,Ciências do Mar,16,10,3,0,7,171,195,-24,0
17,Biologia,14,10,2,0,8,124,185,-61,1
18,Eng. Computadores e Telemática,13,9,2,0,7,190,216,-26,0
19,Eng. de Materiais,13,9,2,0,7,170,214,-44,0
20,Psicologia,10,10,0,0,10,141,239,-98,0
21,Eng. Física,9,9,0,0,9,137,207,-70,0
22,Fisioterapia,0,10,0,0,0,0,0,0,10
23,Educação Básica,0,11,0,0,0,0,0,0,11
