Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,Eng. Mecânica,12,7,6,0,1,107,55,52,0
2,Fisioterapia,10,6,5,0,1,106,58,48,0
3,MTC,10,6,5,0,1,64,24,40,0
4,Eng. e Gestão Industrial,10,6,5,0,1,84,45,39,0
5,Eng. Civil,8,5,4,0,1,76,18,58,0
6,Eng. Eletrónica e Telecomunicações,8,6,4,0,2,76,50,26,0
7,Design,6,6,3,0,3,49,47,2,0
8,Psicologia,4,6,2,0,4,35,54,-19,0
9,Eng. Física,4,5,2,0,3,35,43,-8,0
10,Tradução,4,6,2,0,4,50,64,-14,0
11,Biologia,2,5,1,0,4,47,44,3,0
12,Eng. Computadores e Telemática,2,6,1,0,5,28,59,-31,0
13,Economia,2,5,1,0,4,30,79,-49,1
14,Educação Básica,0,7,0,0,7,0,147,-147,7
