Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,,1,Eng. de Materiais,10,5,5,0,0,63,48,15,0
1,,2,Eng. Mecânica,10,6,5,0,1,59,49,10,0
1,,3,Eng. e Gestão Industrial,10,6,5,0,1,45,37,8,0
1,,4,Eng. Eletrónica e Telecomunicações,8,6,4,0,2,57,54,3,0
1,,5,Eng. Computadores e Telemática,6,5,3,0,2,46,37,9,0
1,,6,Biologia,6,6,3,0,3,47,51,-4,0
1,,7,Eng. Aeroespacial,4,5,2,0,3,43,39,4,0
1,,8,Matemática,4,6,2,0,4,41,58,-17,0
1,,9,Tecnologias de Informação,4,6,2,0,4,53,49,4,0
1,,10,MTC,2,6,1,0,5,49,57,-8,0
1,,11,Eng. Informática,2,5,1,0,4,44,50,-6,0
1,,12,Biotecnologia,2,6,1,0,5,41,59,-18,0
2,A,1,Contabilidade,8,4,4,0,0,52,13,39,0
2,A,2,Eng. Civil,6,3,3,0,0,47,13,34,0
2,A,3,Línguas e Relações Empresariais,6,4,3,0,1,43,32,11,0
2,A,4,Gestão e Planeamento em Turismo,4,4,2,0,2,41,29,12,0
2,A,5,Design,4,3,2,0,1,32,33,-1,0
2,A,6,Biologia e Geologia,2,3,1,0,2,22,23,-1,0
2,A,7,Economia,2,4,1,0,3,20,45,-25,0
2,A,8,Física,2,5,1,0,4,41,70,-29,0
2,A,9,Música,0,4,0,0,4,8,48,-40,0
2,B,1,Administração Pública,8,5,4,0,1,63,50,13,0
2,B,2,Eng. Biomédica,6,4,3,0,1,53,42,11,0
2,B,3,Gestão,6,5,3,0,2,51,42,9,0
2,B,4,Ciências do Mar,4,4,2,0,2,41,40,1,0
2,B,5,Eng. Física,4,4,2,0,2,28,34,-6,0
2,B,6,Psicologia,4,4,2,0,2,44,37,7,0
2,B,7,Eng. Computacional,4,4,2,0,2,53,58,-5,0
2,B,8,"Línguas, Literaturas e Culturas",2,5,1,0,4,50,59,-9,0
2,B,9,Eng. Mecânica B,2,5,1,0,4,30,51,-21,0
