Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia
1,Matemática,21,7,7,0,0,38,7,31,0
2,Eng. Biomédica,15,5,5,0,0,34,2,32,0
3,Fisioterapia,15,6,5,0,1,37,10,27,0
4,Eng. Eletrónica e Telecomunicações,13,7,4,1,2,28,16,12,0
5,Eng. Civil,12,6,4,0,2,23,17,6,0
6,Eng. Informática,10,7,3,1,3,21,20,1,0
7,Eng. Mecânica,9,6,3,0,3,20,19,1,0
8,Ciências Biomédicas,9,7,3,0,4,17,29,-12,0
9,Eng. de Materiais,7,8,2,1,5,20,22,-2,0
10,Eng. e Gestão Industrial,6,7,2,0,5,25,18,7,0
11,Contabilidade,4,6,1,1,4,14,25,-11,0
12,Biologia,3,3,1,0,2,4,16,-12,0
13,Música,0,4,0,0,4,2,45,-43,0
14,Economia,0,5,0,0,5,3,40,-37,0
15,Educação Básica,0,8,0,0,0,0,0,0,8
