Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia,sets_ganhos,sets_perdidos,diferenca_sets
1,,1,Eng. e Gestão Industrial,30,11,10,0,1,21,3,18,0,0,0,0
1,,2,Fisioterapia,29,11,10,0,1,21,4,17,0,0,0,0
1,,3,Eng. Eletrónica e Telecomunicações,26,11,9,0,2,18,5,13,0,0,0,0
1,,4,Biologia,23,11,8,0,3,17,8,9,0,0,0,0
1,,5,Ciências Biomédicas,22,11,7,0,4,15,8,7,0,0,0,0
1,,6,Eng. Informática,17,11,5,0,6,13,13,0,0,0,0,0
1,,7,Design,15,11,5,0,6,11,13,-2,1,0,0,0
1,,8,Gestão e Planeamento em Turismo,10,11,4,0,7,8,16,-8,0,0,0,0
1,,9,Eng. Civil,10,11,3,0,8,7,16,-9,0,0,0,0
1,,10,Geologia,9,11,3,0,8,7,17,-10,0,0,0,0
1,,11,Eng. de Materiais,6,11,2,0,9,5,19,-14,0,0,0,0
1,,12,Eng. Biomédica,1,11,0,0,11,1,22,-21,0,0,0,0
2,A,1,Eng. do Ambiente,28,10,10,0,0,20,2,18,0,0,0,0
2,A,2,Psicologia,26,10,9,0,1,19,4,15,0,0,0,0
2,A,3,Bioquímica,18,10,6,0,4,14,10,4,0,0,0,0
2,A,4,Administração Pública,17,10,5,0,5,13,11,2,0,0,0,0
2,A,5,Línguas e Relações Empresariais,16,10,6,0,4,13,11,2,0,0,0,0
2,A,6,MTC,16,10,5,0,5,12,11,1,0,0,0,0
2,A,7,Contabilidade,14,10,5,0,5,12,13,-1,0,0,0,0
2,A,8,Tradução,10,10,4,0,6,9,15,-6,0,0,0,0
2,A,9,Gestão Comercial,10,10,3,0,7,8,15,-7,0,0,0,0
2,A,10,Eng. Computadores e Telemática,7,10,1,0,9,6,18,-12,0,0,0,0
2,A,11,Educação Básica,3,10,1,0,9,3,19,-16,0,0,0,0
2,B,1,Gestão,25,10,8,0,2,18,5,13,0,0,0,0
2,B,2,Eng. Física,22,10,7,0,3,15,6,9,0,0,0,0
2,B,3,"Línguas, Literaturas e Culturas",20,10,7,0,3,15,8,7,0,0,0,0
2,B,4,Eng. Mecânica,20,10,7,0,3,15,8,7,0,0,0,0
2,B,5,Eng. Química,20,10,7,0,3,16,9,7,0,0,0,0
2,B,6,Biologia e Geologia,16,10,5,0,5,11,10,1,0,0,0,0
2,B,7,Música,15,10,6,0,4,13,12,1,0,0,0,0
2,B,8,Ciências Biomédicas B,11,10,3,0,7,8,14,-6,0,0,0,0
2,B,9,Marketing,6,10,1,0,9,5,18,-13,0,0,0,0
2,B,10,Matemática,5,10,2,0,8,4,17,-13,0,0,0,0
2,B,11,Economia,5,10,2,0,8,4,17,-13,0,0,0,0
2,B,12,Eng. Informática,0,0,0,0,0,0,0,0,0,0,0,0
2,B,13,Biologia,0,0,0,0,0,0,0,0,0,0,0,0
2,B,14,Ciências Biomédicas,0,0,0,0,0,0,0,0,0,0,0,0
2,B,15,Eng. Eletrónica e Telecomunicações,0,0,0,0,0,0,0,0,0,0,0,0
2,B,16,Fisioterapia,0,0,0,0,0,0,0,0,0,0,0,0
2,B,17,Eng. do Ambiente,0,0,0,0,0,0,0,0,0,0,0,0
2,B,18,Psicologia,0,0,0,0,0,0,0,0,0,0,0,0
2,B,19,Eng. Civil,0,0,0,0,0,0,0,0,0,0,0,0
,,1,Eng. Física,0,0,0,0,0,0,0,0,0,0,0,0
,,2,Eng. Civil,0,0,0,0,0,0,0,0,0,0,0,0
,,3,Psicologia,0,0,0,0,0,0,0,0,0,0,0,0
