Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia,sets_ganhos,sets_perdidos,diferenca_sets
1,,1,Eng. Informática,17,6,6,0,0,12,1,11,0,0,0,0
1,,2,Eng. Eletrónica e Telecomunicações,16,6,5,0,1,11,2,9,0,0,0,0
1,,3,Eng. e Gestão Industrial,15,6,5,0,1,11,3,8,0,0,0,0
1,,4,Eng. Mecânica,14,6,5,0,1,10,3,7,0,0,0,0
1,,5,Design,12,6,5,0,1,11,6,5,0,0,0,0
1,,6,Ciências do Mar,11,6,4,0,2,8,5,3,0,0,0,0
1,,7,Eng. Biomédica,7,6,2,0,4,5,8,-3,0,0,0,0
1,,8,Línguas e Relações Empresariais,7,6,2,0,4,5,8,-3,0,0,0,0
1,,9,Tecnologias de Informação,7,6,2,0,4,5,8,-3,0,0,0,0
1,,10,Eng. Computadores e Telemática,1,6,0,0,6,1,12,-11,0,0,0,0
1,,11,Gestão e Planeamento em Turismo,1,6,0,0,6,1,12,-11,0,0,0,0
1,,12,Música,0,6,0,0,6,0,12,-12,0,0,0,0
2,A,1,Fisioterapia,15,6,6,0,0,12,3,9,0,0,0,0
2,A,2,Ciências Biomédicas,14,6,5,0,1,10,3,7,0,0,0,0
2,A,3,Administração Pública,13,5,5,0,0,10,2,8,0,0,0,0
2,A,4,Eng. do Ambiente,12,5,4,0,1,8,2,6,0,0,0,0
2,A,5,Bioquímica,10,5,3,0,2,7,4,3,0,0,0,0
2,A,6,Medicina,9,6,2,0,4,7,8,-1,0,0,0,0
2,A,7,Geologia,7,6,2,0,4,5,8,-3,0,0,0,0
2,A,8,Biologia,6,7,2,0,5,5,11,-6,0,0,0,0
2,A,9,Eng. de Materiais,4,5,1,0,4,3,8,-5,0,0,0,0
2,A,10,Biotecnologia,3,6,1,0,5,2,10,-8,0,0,0,0
2,A,11,Economia,0,5,0,0,5,0,10,-10,1,0,0,0
2,B,1,Contabilidade,16,6,6,0,0,12,2,10,0,0,0,0
2,B,2,Física,16,6,5,0,1,11,2,9,0,0,0,0
2,B,3,Eng. Física,10,5,4,0,1,8,4,4,0,0,0,0
2,B,4,Matemática,10,7,3,0,4,8,9,-1,0,0,0,0
2,B,5,Eng. Civil,9,6,4,0,2,9,8,1,0,0,0,0
2,B,6,MTC,9,6,2,0,4,7,8,-1,0,0,0,0
2,B,7,Eng. Informática B,8,5,3,0,2,8,7,1,0,0,0,0
2,B,8,Gestão,7,5,2,0,3,5,6,-1,0,0,0,0
2,B,9,Eng. Computacional,5,5,2,0,3,5,8,-3,0,0,0,0
2,B,10,Eng. Eletrónica e Telecomunicações B,2,5,0,0,5,2,10,-8,0,0,0,0
2,B,11,Psicologia,1,6,0,0,6,1,12,-11,0,0,0,0
