Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Was In Previous Season 1,Was In Previous Season 2,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2025-10-21 00:00:00,21h20,Caixa UA,Eng. e Gestão Industrial,12.0,4.0,Biologia,Excel,Excel,False,False,,1146,697,2.0,2.0,1.1161231740339044,223.22463480678087,223.22463480678087,0.01574374987107885,-0.015743749871078832,4,-4,1150,693,False,True,True,0,0,1150,693
1,2025-10-21 00:00:00,21h20,Caixa UA,Fisioterapia,21.0,5.0,Tradução,Excel,Excel,False,False,,979,674,2.0,2.0,1.1543165676600577,230.86331353201155,230.86331353201155,0.05683152084009724,-0.05683152084009725,13,-13,992,661,False,True,True,0,0,992,661
1,2025-10-21 00:00:00,21h40,Caixa UA,Eng. Eletrónica e Telecomunicações,14.0,4.0,Economia,Excel,Excel,False,False,,803,591,2.0,2.0,1.1334615816706974,226.6923163341395,226.6923163341395,0.12427098462318531,-0.12427098462318516,28,-28,831,563,False,True,True,0,0,831,563
1,2025-10-21 00:00:00,21h40,Caixa UA,Eng. Mecânica,15.0,3.0,Eng. Física,Excel,Excel,False,False,,863,708,2.0,2.0,1.174618943088019,234.9237886176038,234.9237886176038,0.19347247718289218,-0.19347247718289215,45,-45,908,663,False,True,True,0,0,908,663
1,2025-10-21 00:00:00,22h00,Caixa UA,Eng. Computadores e Telemática,3.0,9.0,Design,Excel,Excel,False,False,,750,750,2.0,2.0,1.1161231740339044,223.22463480678087,223.22463480678087,-0.5,0.5,-112,112,638,862,False,False,False,0,0,638,862
1,2025-10-21 00:00:00,22h00,Caixa UA,Educação Básica,0.0,21.0,MTC,Excel,Excel,False,False,Educação Básica,529,750,2.0,2.0,1.4531984602822678,290.63969205645355,290.63969205645355,-0.11552725507651201,0.11552725507651196,0,0,529,750,True,True,False,0,0,529,750
1,2025-10-21 00:00:00,22h20,Caixa UA,Psicologia,1.0,9.0,Eng. Civil,Excel,Excel,False,False,,451,750,2.0,2.0,1.2457309396155174,249.14618792310347,249.14618792310347,-0.05986723347799784,0.05986723347799783,-15,15,436,765,False,True,False,0,0,436,765
2,2025-10-21 00:00:00,22h20,Caixa UA,Eng. e Gestão Industrial,14.0,3.0,Eng. Física,Excel,Excel,False,False,,1150,663,1.2905158776306287,1.2905158776306287,1.1665428015545503,150.54420073418626,150.54420073418626,0.011146333375489759,-0.011146333375489743,2,-2,1152,661,False,True,True,0,0,1152,661
2,2025-10-21 00:00:00,22h40,Caixa UA,Eng. Eletrónica e Telecomunicações,12.0,4.0,Tradução,Excel,Excel,False,False,,831,661,1.2905158776306287,1.2905158776306287,1.1161231740339044,144.03746774822469,144.03746774822469,0.17282198303686047,-0.17282198303686044,25,-25,856,636,False,True,True,0,0,856,636
2,2025-10-21 00:00:00,22h40,Caixa UA,Fisioterapia,21.0,10.0,Economia,Excel,Excel,False,False,,992,563,1.2905158776306287,1.2905158776306287,1.0770154403043632,138.99055261661232,138.99055261661232,0.01886806705221522,-0.018868067052215214,3,-3,995,560,False,True,True,0,0,995,560
2,2025-10-21 00:00:00,23h00,Caixa UA,Educação Básica,0.0,21.0,Eng. Civil,Excel,Excel,False,False,Ed.Básica,529,765,1.2905158776306287,1.2905158776306287,1.4531984602822678,187.5375686342649,187.5375686342649,-0.10214269670089104,0.10214269670089104,0,0,529,765,True,True,False,0,0,529,765
2,2025-10-21 00:00:00,23h00,Caixa UA,Eng. Mecânica,12.0,10.0,Biologia,Excel,Excel,False,False,,908,693,1.2905158776306287,1.2905158776306287,1.0183993761470242,131.42605646868617,131.42605646868617,0.12129504878814856,-0.12129504878814854,16,-16,924,677,False,True,True,0,0,924,677
2,2025-10-21 00:00:00,23h20,Caixa UA,Eng. Computadores e Telemática,1.0,13.0,Psicologia,Excel,Excel,False,False,,638,436,1.2905158776306287,1.2905158776306287,1.2923922207808318,166.78526810439723,166.78526810439723,-0.8653539062672898,0.8653539062672898,-144,144,494,580,False,False,True,0,0,494,580
2,2025-10-21 00:00:00,23h20,Caixa UA,MTC,6.0,2.0,Design,Excel,Excel,False,False,,750,862,1.2905158776306287,1.2905158776306287,1.1161231740339044,144.03746774822469,144.03746774822469,0.7372178586884377,-0.7372178586884377,106,-106,856,756,False,False,False,0,0,856,756
3,2025-12-17 00:00:00,19h00,Caixa UA,Eng. e Gestão Industrial,15.0,20.0,Eng. Mecânica,Excel,Excel,False,False,,1152,924,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,-0.8908990581481767,0.8908990581481768,-92,92,1060,1016,False,True,True,0,0,1060,1016
3,2025-12-17 00:00:00,19h00,Caixa UA,Fisioterapia,20.0,11.0,Eng. Eletrónica e Telecomunicações,Excel,Excel,False,False,,995,856,1.0,1.0,1.061606896218146,106.1606896218146,106.1606896218146,0.2175098305821901,-0.21750983058219,23,-23,1018,833,False,True,True,0,0,1018,833
3,2025-12-17 00:00:00,19h20,Caixa UA,Biologia,21.0,0.0,Educação Básica,Excel,Excel,False,False,Ed.Básica,677,529,1.0,1.0,1.4531984602822678,145.31984602822678,145.31984602822678,0.20373200533456437,-0.20373200533456434,0,0,677,529,True,True,True,0,0,677,529
3,2025-12-17 00:00:00,19h20,Caixa UA,Tradução,14.0,4.0,Economia,Excel,Excel,False,False,,636,560,1.0,1.0,1.1334615816706974,113.34615816706975,113.34615816706975,0.3318153610257015,-0.3318153610257015,38,-38,674,522,False,True,True,0,0,674,522
3,2025-12-17 00:00:00,19h40,Caixa UA,MTC,4.0,3.0,Psicologia,Excel,Excel,False,False,,856,580,1.0,1.0,1.0291860089647606,102.91860089647606,102.91860089647606,0.07296212559391979,-0.07296212559391989,8,-8,864,572,False,False,True,0,0,864,572
3,2025-12-17 00:00:00,20h00,Caixa UA,Eng. Física,6.0,0.0,Eng. Computadores e Telemática,Excel,Excel,False,False,,661,494,1.0,1.0,1.2820888539868154,128.20888539868153,128.20888539868153,0.17680774181895742,-0.17680774181895734,23,-23,684,471,False,True,False,0,0,684,471
3,2025-12-17 00:00:00,20h20,Caixa UA,Design,5.0,16.0,Eng. Civil,Excel,Excel,False,False,,756,765,1.0,1.0,1.1233497625229583,112.33497625229583,112.33497625229583,-0.47928859226066334,0.47928859226066334,-54,54,702,819,False,False,False,0,0,702,819
4,2026-02-19 00:00:00,20h00,Caixa UA,Eng. e Gestão Industrial,21.0,8.0,Eng. Eletrónica e Telecomunicações,Excel,Excel,False,False,,1060,833,1.4142135623730951,1.4142135623730951,1.101318490338618,155.7499545529136,155.7499545529136,0.10999939620273003,-0.10999939620273004,17,-17,1077,816,False,True,True,0,0,1077,816
4,2026-02-19 00:00:00,20h20,Caixa UA,Fisioterapia,13.0,17.0,Eng. Mecânica,Excel,Excel,False,False,,1018,1016,1.4142135623730951,1.4142135623730951,1.0271894658159246,145.26652736836553,145.26652736836553,-0.5046050399709767,0.5046050399709766,-73,73,945,1089,False,True,True,0,0,945,1089
4,2026-02-19 00:00:00,20h40,Caixa UA,Biologia,7.0,5.0,Eng. Civil,Excel,Excel,False,False,,677,819,1.4142135623730951,1.4142135623730951,1.0342196941293802,146.26075179111237,146.26075179111237,0.7871562322064867,-0.7871562322064868,115,-115,792,704,False,True,False,0,0,792,704
4,2026-02-19 00:00:00,21h00,Caixa UA,Tradução,9.0,10.0,Psicologia,Excel,Excel,False,False,,674,572,1.4142135623730951,1.4142135623730951,1.0105917512032914,142.91925605740713,142.91925605740713,-0.7189894998236094,0.7189894998236095,-103,103,571,675,False,True,True,0,0,571,675
4,2026-02-19 00:00:00,21h20,Caixa UA,Economia,12.0,9.0,MTC,Excel,Excel,False,False,,522,864,1.4142135623730951,1.4142135623730951,1.0291860089647606,145.54888120826024,145.54888120826024,0.9589062159936034,-0.9589062159936033,140,-140,662,724,False,True,False,0,0,662,724
4,2026-02-19 00:00:00,21h40,Caixa UA,Eng. Física,2.0,14.0,Design,Excel,Excel,False,False,,684,702,1.4142135623730951,1.4142135623730951,1.214814044039067,171.8006496841355,171.8006496841355,-0.4586481380987735,0.4586481380987735,-79,79,605,781,False,True,False,0,0,605,781
4,2026-02-19 00:00:00,22h00,Caixa UA,Educação Básica,0.0,21.0,Eng. Computadores e Telemática,Excel,Excel,False,False,Ed.Básica,529,471,1.4142135623730951,1.4142135623730951,1.4531984602822678,205.51329713508827,205.51329713508827,-0.6304621012043969,0.6304621012043969,0,0,529,471,True,True,False,0,0,529,471
5,2026-02-19 00:00:00,22h20,Caixa UA,Eng. e Gestão Industrial,12.0,9.0,Eng. Civil,Excel,Excel,False,False,,1077,704,1.136008748923453,1.136008748923453,1.0291860089647606,116.91643104535792,116.91643104535792,0.03120553612747945,-0.031205536127479425,4,-4,1081,700,False,True,False,0,0,1081,700
5,2026-02-19 00:00:00,22h40,Caixa UA,Fisioterapia,21.0,7.0,Psicologia,Excel,Excel,False,False,,945,675,1.136008748923453,1.136008748923453,1.1161231740339044,126.7925690578729,126.7925690578729,0.07678931969710023,-0.07678931969710022,10,-10,955,665,False,True,True,0,0,955,665
5,2026-02-19 00:00:00,23h00,Caixa UA,Eng. Eletrónica e Telecomunicações,21.0,0.0,Educação Básica,Excel,Excel,False,False,Ed.Básica,816,529,1.136008748923453,1.136008748923453,1.4531984602822678,165.08461648027472,165.08461648027472,0.06639896709618953,-0.06639896709618964,0,0,816,529,True,True,True,0,0,816,529
5,2026-02-19 00:00:00,23h20,Caixa UA,Eng. Mecânica,21.0,2.0,Eng. Computadores e Telemática,Excel,Excel,False,False,,1089,471,1.136008748923453,1.136008748923453,1.2650827381797884,143.71450586842775,143.71450586842775,0.0033615350554705437,-0.003361535055470468,0,0,1089,471,False,True,False,0,0,1089,471
5,2026-02-19 00:00:00,23h40,Caixa UA,Biologia,6.0,12.0,MTC,Excel,Excel,False,False,,792,724,1.136008748923453,1.136008748923453,1.0717734625362931,121.75440303052116,121.75440303052116,-0.6516507397532443,0.6516507397532443,-79,79,713,803,False,True,False,0,0,713,803
5,2026-03-18 00:00:00,21h20,Caixa UA,Tradução,10.0,11.0,Design,Excel,Excel,False,False,,571,781,1.136008748923453,1.136008748923453,1.009576582776887,114.68878307427862,114.68878307427862,-0.12628957905491864,0.12628957905491867,-14,14,557,795,False,True,False,0,0,557,795
6,2026-03-18 00:00:00,21h40,Caixa UA,Eng. e Gestão Industrial,10.0,1.0,Psicologia,Excel,Excel,False,False,,1081,665,1.037480744835512,1.037480744835512,1.2589254117941673,130.61108739205662,130.61108739205662,0.021217116737748398,-0.02121711673774839,3,-3,1084,662,False,True,True,0,0,1084,662
6,2026-03-18 00:00:00,22h00,Caixa UA,Fisioterapia,10.0,8.0,Design,Excel,Excel,False,False,,955,795,1.037480744835512,1.037480744835512,1.0225651825635729,106.08916872489168,106.08916872489168,0.18638778949441315,-0.18638778949441326,20,-20,975,775,False,True,False,0,0,975,775
6,2026-03-18 00:00:00,22h20,Caixa UA,Eng. Eletrónica e Telecomunicações,10.0,1.0,Eng. Computadores e Telemática,Excel,Excel,False,False,,816,471,1.037480744835512,1.037480744835512,1.2589254117941673,130.61108739205662,130.61108739205662,0.040018682017058826,-0.040018682017058875,5,-5,821,466,False,True,False,0,0,821,466
6,2026-03-18 00:00:00,22h40,Caixa UA,Eng. Mecânica,1.0,12.0,MTC,Excel,Excel,False,False,,1089,803,1.037480744835512,1.037480744835512,1.2820888539868154,133.0142499179549,133.0142499179549,-0.9330277973467044,0.9330277973467043,-124,124,965,927,False,True,False,0,0,965,927
6,2026-03-18 00:00:00,23h00,Caixa UA,Biologia,6.0,8.0,Tradução,Excel,Excel,False,False,,713,557,1.037480744835512,1.037480744835512,1.0291860089647606,106.77606671550477,106.77606671550477,-0.8079606562271449,0.807960656227145,-86,86,627,643,False,True,True,0,0,627,643
6,2026-03-18 00:00:00,23h20,Caixa UA,Educação Básica,0.0,21.0,Eng. Física,Excel,Excel,False,False,Ed.Básica,529,605,1.037480744835512,1.136008748923453,1.4531984602822678,150.76654209674663,165.08461648027472,-0.3318153610257015,0.3318153610257015,0,0,529,605,True,True,True,0,0,529,605
