Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2024-11-13 00:00:00,19h20,PAH,MTC,10,8,EGI,1.0,,1000,1000,2.0,2.0,1.0225651825635729,204.51303651271456,204.51303651271456,0.5,-0.5,102,-102,1102,898,False,0,0,1102,898
1,2024-11-13 00:00:00,19h20,PAH,EET,15,16,Eng. Mecânica,1.0,,1000,1000,2.0,2.0,1.0064747230925555,201.2949446185111,201.2949446185111,-0.5,0.5,-101,101,899,1101,False,0,0,899,1101
1,2024-11-13 00:00:00,19h40,PAH,Biologia,12,15,Fisioterapia,1.0,,1000,1000,2.0,2.0,1.0225651825635729,204.51303651271456,204.51303651271456,-0.5,0.5,-102,102,898,1102,False,0,0,898,1102
1,2024-11-13 00:00:00,19h40,PAH,Eng. Aeroespacial,10,19,Eng. Materiais,1.0,,1000,1000,2.0,2.0,1.0662900584785258,213.25801169570516,213.25801169570516,-0.5,0.5,-107,107,893,1107,False,0,0,893,1107
1,2024-11-13 00:00:00,20h00,PAH,Economia,6,8,ECT,1.0,,1000,1000,2.0,2.0,1.0291860089647606,205.83720179295213,205.83720179295213,-0.5,0.5,-103,103,897,1103,False,0,0,897,1103
2,2024-11-13 00:00:00,20h00,PAH,EGI,6,9,EET,1.0,,898,899,1.3710190645764506,1.3710190645764506,1.0413797439924106,142.77514824773385,142.77514824773385,-0.4976974311842966,0.49769743118429666,-71,71,827,970,False,0,0,827,970
2,2024-11-13 00:00:00,20h20,PAH,ECT,6,7,MTC,1.0,,1103,1102,1.3710190645764506,1.3710190645764506,1.0155344930023524,139.23171506412055,139.23171506412055,-0.5023025688157033,0.5023025688157035,-70,70,1033,1172,False,0,0,1033,1172
2,2024-11-13 00:00:00,20h20,PAH,Eng. Mecânica,20,12,Biologia,1.0,,1101,898,1.3710190645764506,1.3710190645764506,1.0524097791489255,144.2873870959869,144.2873870959869,0.13357654352878023,-0.1335765435287802,19,-19,1120,879,False,0,0,1120,879
2,2024-11-13 00:00:00,20h40,PAH,Eng. Materiais,15,6,Economia,1.0,,1107,897,1.3710190645764506,1.3710190645764506,1.0959582263852172,150.25796223535266,150.25796223535266,0.12628957905491867,-0.12628957905491864,19,-19,1126,878,False,0,0,1126,878
2,2024-11-13 00:00:00,20h40,PAH,Fisioterapia,7,10,Eng. Aeroespacial,1.0,,1102,893,1.3710190645764506,1.3710190645764506,1.0363112099103142,142.0802425621329,142.0802425621329,-0.8726906443249833,0.8726906443249832,-124,124,978,1017,False,0,0,978,1017
