Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisao,Grupo,Fonte_Data,Fonte_Local,Data_Placeholder,Local_Placeholder,Falta de Comparência,Elo Antes 1,Elo Antes 2,Season Phase 1,Season Phase 2,Proportional Multiplier,K Factor 1,K Factor 2,Elo Change 1,Elo Change 2,Elo Delta 1,Elo Delta 2,Elo Depois 1,Elo Depois 2,Has Absence,Was In Previous Season 1,Was In Previous Season 2,Inter Group Adjustment 1,Inter Group Adjustment 2,Final Elo 1,Final Elo 2
1,2025-10-22 00:00:00,19h20,Caixa UA,Música,0,9,Gestão e Planeamento em Turismo,2,A,Excel,Excel,False,False,,500,512,2.0,2.0,1.335141362540313,267.0282725080626,267.0282725080626,-0.4723970719641226,0.4723970719641226,-126,126,374,638,False,False,True,0,0,374,638
1,2025-10-22 00:00:00,19h40,Caixa UA,Física,7,10,Línguas e Relações Empresariais,2,A,Excel,Excel,False,False,,500,641,2.0,2.0,1.0363112099103142,207.26224198206285,207.26224198206285,-0.21439096126743515,0.21439096126743518,-44,44,456,685,False,False,True,0,0,456,685
2,2025-10-22 00:00:00,20h00,Caixa UA,Contabilidade,7,2,Música,2,A,Excel,Excel,False,False,,500,374,2.0,1.3333333333333333,1.1334615816706974,226.6923163341395,151.1282108894263,0.23857592000107575,-0.23857592000107575,54,-36,554,338,False,False,False,0,0,554,338
2,2025-10-22 00:00:00,20h20,Caixa UA,Gestão e Planeamento em Turismo,16,5,Economia,2,A,Excel,Excel,False,False,,638,877,1.3333333333333333,2.0,1.1233497625229583,149.7799683363944,224.66995250459166,0.9003636203493204,-0.9003636203493204,135,-202,773,675,False,True,True,0,0,773,675
1,2025-10-22 00:00:00,20h40,Caixa UA,MTC,6,11,Eng. Mecânica,1,,Excel,Excel,False,False,,906,1127,2.0,2.0,1.0624882685141506,212.49765370283012,212.49765370283012,-0.11552725507651201,0.11552725507651196,-25,25,881,1152,False,True,True,0,0,881,1152
2,2025-10-22 00:00:00,20h40,Caixa UA,Design,16,14,Física,2,A,Excel,Excel,False,False,,559,456,2.0,1.3333333333333333,1.0134426905796656,202.6885381159331,135.12569207728873,0.2791533687626555,-0.2791533687626555,57,-38,616,418,False,True,False,0,0,616,418
1,2025-10-22 00:00:00,21h00,Caixa UA,Tecnologias de Informação,4,7,Matemática,1,,Excel,Excel,False,False,,779,703,2.0,2.0,1.0575570503382523,211.51141006765047,211.51141006765047,-0.6681846389742985,0.6681846389742985,-141,141,638,844,False,True,True,0,0,638,844
2,2025-10-22 00:00:00,21h00,Caixa UA,Línguas e Relações Empresariais,6,8,Biologia e Geologia,2,A,Excel,Excel,False,False,,685,350,1.3333333333333333,2.0,1.0291860089647606,137.2248011953014,205.83720179295213,-0.956289152264316,0.956289152264316,-131,197,554,547,False,True,True,0,0,554,547
1,2025-10-22 00:00:00,21h20,Caixa UA,Biologia,3,8,Eng. Eletrónica e Telecomunicações,1,,Excel,Excel,False,False,,998,997,2.0,2.0,1.10305425242207,220.610850484414,220.610850484414,-0.5023025688157033,0.5023025688157035,-111,111,887,1108,False,True,True,0,0,887,1108
1,2025-10-22 00:00:00,21h20,Caixa UA,Psicologia,11,2,Eng. Mecânica B,2,B,Excel,Excel,False,False,,531,500,2.0,2.0,1.185867778627801,237.1735557255602,237.1735557255602,0.42910086216901977,-0.42910086216901977,102,-102,633,398,False,True,False,0,0,633,398
1,2025-10-22 00:00:00,21h40,Caixa UA,Eng. e Gestão Industrial,5,3,Biotecnologia,1,,Excel,Excel,False,False,,1092,685,2.0,2.0,1.0524097791489255,210.4819558297851,210.4819558297851,0.023008628302878753,-0.023008628302878857,5,-5,1097,680,False,True,True,0,0,1097,680
1,2025-10-22 00:00:00,21h40,Caixa UA,Eng. Física,11,9,"Línguas, Literaturas e Culturas",2,B,Excel,Excel,False,False,,545,500,2.0,2.0,1.0202697667623288,204.05395335246575,204.05395335246575,0.3978419068252831,-0.39784190682528303,81,-81,626,419,False,True,False,0,0,626,419
1,2025-10-22 00:00:00,22h00,Caixa UA,Gestão,8,14,Eng. Biomédica,2,B,Excel,Excel,False,False,,272,415,2.0,2.0,1.0575570503382523,211.51141006765047,211.51141006765047,-0.21130473672903713,0.21130473672903716,-45,45,227,460,False,True,True,0,0,227,460
2,2025-10-22 00:00:00,22h00,Caixa UA,Eng. Aeroespacial,4,9,Eng. e Gestão Industrial,1,,Excel,Excel,False,False,,1018,1097,2.0,1.4344650847254958,1.0844717711976986,216.89435423953972,155.56368911535154,-0.32571790233494596,0.3257179023349459,-71,51,947,1148,False,True,True,0,0,947,1148
1,2025-10-22 00:00:00,22h20,Caixa UA,Administração Pública,17,12,Eng. Computacional,2,B,Excel,Excel,False,False,,371,454,2.0,2.0,1.03544436156698,207.088872313396,207.088872313396,0.6823208847432576,-0.6823208847432576,141,-141,512,313,False,True,True,0,0,512,313
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Informática,5,8,Eng. Computadores e Telemática,1,,Excel,Excel,False,False,,731,914,2.0,2.0,1.0481223894689577,209.62447789379155,209.62447789379155,-0.15636956835323637,0.15636956835323645,-33,33,698,947,False,True,True,0,0,698,947
2,2025-10-22 00:00:00,22h20,Caixa UA,Eng. Mecânica B,6,5,Eng. Física,2,B,Excel,Excel,False,False,,398,626,1.3333333333333333,1.3333333333333333,1.0183993761470242,135.78658348626988,135.78658348626988,0.8908990581481768,-0.8908990581481767,121,-121,519,505,False,False,True,0,0,519,505
2,2025-10-22 00:00:00,22h20,Caixa UA,"Línguas, Literaturas e Culturas",6,10,Gestão,2,B,Excel,Excel,False,False,,419,227,1.3333333333333333,1.3333333333333333,1.0524097791489255,140.3213038865234,140.3213038865234,-0.8542567588106297,0.8542567588106296,-120,120,299,347,False,False,True,0,0,299,347
2,2025-10-22 00:00:00,22h40,Caixa UA,Eng. Mecânica,13,15,Eng. de Materiais,1,,Excel,Excel,False,False,,1152,1291,1.4344650847254958,2.0,1.0144129637732298,145.51399780256074,202.88259275464594,-0.21750983058219,0.2175098305821901,-32,44,1120,1335,False,True,True,0,0,1120,1335
2,2025-10-22 00:00:00,23h00,Caixa UA,Matemática,7,5,MTC,1,,Excel,Excel,False,False,,844,881,1.4344650847254958,1.4344650847254958,1.0342196941293802,148.35520411640778,148.35520411640778,0.5843806117829594,-0.5843806117829594,87,-87,931,794,False,True,True,0,0,931,794
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Biomédica,13,9,Administração Pública,2,B,Excel,Excel,False,False,,460,512,1.3333333333333333,1.3333333333333333,1.037456949716378,138.32759329551703,138.32759329551703,0.6174969965811122,-0.6174969965811122,85,-85,545,427,False,True,True,0,0,545,427
2,2025-10-22 00:00:00,23h00,Caixa UA,Eng. Computacional,5,11,Ciências do Mar,2,B,Excel,Excel,False,False,,313,500,1.3333333333333333,2.0,1.0820373898183429,144.27165197577904,216.40747796366858,-0.15157081899986438,0.15157081899986447,-22,33,291,533,False,True,False,0,0,291,533
2,2025-10-22 00:00:00,23h20,Caixa UA,Eng. Eletrónica e Telecomunicações,4,13,Tecnologias de Informação,1,,Excel,Excel,False,False,,1108,638,1.4344650847254958,1.4344650847254958,1.125092775800282,161.3906303962395,161.3906303962395,-0.9869889516362479,0.9869889516362479,-159,159,949,797,False,True,True,0,0,949,797
2,2025-10-22 00:00:00,23h40,Caixa UA,Biotecnologia,9,10,Biologia,1,,Excel,Excel,False,False,,680,887,1.4344650847254958,1.4344650847254958,1.0105917512032914,144.96585820127166,144.96585820127166,-0.12937001290659653,0.12937001290659644,-19,19,661,906,False,True,True,0,0,661,906
3,2025-12-17 00:00:00,19h40,Caixa UA,Eng. Aeroespacial,13,3,Eng. Informática,1,,Excel,Excel,False,False,,947,698,1.4344650847254958,1.4344650847254958,1.1579297436409763,166.1009787818125,166.1009787818125,0.09167314953343275,-0.0916731495334328,15,-15,962,683,False,True,True,0,0,962,683
3,2025-12-17 00:00:00,20h00,Caixa UA,Eng. Computadores e Telemática,8,10,Eng. Mecânica,1,,Excel,Excel,False,False,,947,1120,1.4344650847254958,1.2137926106053525,1.0225651825635729,146.68340512433977,124.1182062457978,-0.16890763871858278,0.16890763871858272,-25,21,922,1141,False,True,True,0,0,922,1141
3,2025-12-17 00:00:00,20h20,Caixa UA,Eng. de Materiais,12,8,Matemática,1,,Excel,Excel,False,False,,1335,931,1.4344650847254958,1.2137926106053525,1.0413797439924106,149.38228826974887,126.40190380920816,0.023638007441142084,-0.023638007441142066,4,-3,1339,928,False,True,True,0,0,1339,928
3,2025-12-17 00:00:00,20h40,Caixa UA,MTC,10,12,Eng. Eletrónica e Telecomunicações,1,,Excel,Excel,False,False,,794,949,1.2137926106053525,1.2137926106053525,1.0183993761470242,123.61256374123589,123.61256374123589,-0.19347247718289215,0.19347247718289218,-24,24,770,973,False,True,True,0,0,770,973
3,2025-12-17 00:00:00,20h40,Caixa UA,Gestão,10,7,Eng. Mecânica B,2,B,Excel,Excel,False,False,,347,519,1.0,1.0,1.0363112099103142,103.63112099103142,103.63112099103142,0.8297954879049301,-0.8297954879049301,86,-86,433,433,False,True,False,0,0,433,433
3,2025-12-17 00:00:00,21h00,Caixa UA,Tecnologias de Informação,8,10,Biotecnologia,1,,Excel,Excel,False,False,,797,661,1.2137926106053525,1.2137926106053525,1.0225651825635729,124.1182062457978,124.1182062457978,-0.777750696467204,0.777750696467204,-97,97,700,758,False,True,True,0,0,700,758
3,2025-12-17 00:00:00,21h00,Caixa UA,Eng. Física,9,7,Psicologia,2,B,Excel,Excel,False,False,,505,633,1.0,1.3333333333333333,1.0254498997012387,102.54498997012386,136.72665329349846,0.7647542031599966,-0.7647542031599966,78,-105,583,528,False,True,True,0,0,583,528
