Gestão Comercial,Eng. e Gestão Industrial,Eng. Mecânica,Eng. Eletrónica e Telecomunicações,Biotecnologia,Eng. de Materiais,Eng. Informática,Eng. Civil,Fisioterapia,Eng. Computadores e Telemática,Contabilidade,Economia,Eng. Física,Matemática,Biologia,Educação Básica,Gestão,Eng. Biomédica,Ciências do Mar,DPT,Gestão e Planeamento em Turismo,Psicologia,MTC,Eng. Química
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,1000,500,1000,500,500,500,500,500,500,500,500,500,500
1104,1103,1112,1107,1101,899,898,896,1102,888,604,893,604,897,500,601,399,500,399,601,396,500,396,500
1122,1175,1182,1127,1029,973,878,822,1032,870,625,821,625,969,457,644,378,575,324,642,375,425,471,459
1160,1180,1105,1204,1046,1008,964,805,994,835,692,816,637,883,510,577,366,654,275,563,424,372,404,526
1222,1192,1118,1142,1057,1057,952,761,945,879,709,805,674,870,493,540,296,563,345,579,503,356,495,447
1228,1240,1070,1187,1081,1012,982,885,821,855,771,775,612,864,592,560,415,616,325,480,450,468,383,328
1292,1176,1078,1194,1118,1038,945,878,770,906,773,767,668,838,536,573,398,633,323,515,394,524,348,315
1293,1145,1106,1202,1122,1069,917,926,766,898,775,766,673,790,549,573,482,633,318,543,366,440,295,313
1296,1158,1110,1097,1118,1075,914,913,871,927,800,760,677,761,574,597,550,608,305,475,416,416,285,309
1311,1169,1095,1152,1063,1094,895,933,898,916,804,740,713,734,579,622,559,572,357,450,392,412,281,257
1320,1177,1150,1154,1054,1039,904,924,890,883,808,773,719,732,629,626,577,482,447,446,374,406,281,252
1328,1119,1162,1212,1059,1031,950,912,916,837,808,747,727,727,629,626,527,493,488,438,374,365,281,241
1328,1168,1205,1222,1016,982,950,912,906,837,808,747,727,727,629,626,527,493,488,438,374,365,281,241
1328,1263,1205,1127,1016,982,950,912,906,837,808,747,727,727,629,626,527,493,488,438,374,365,281,241
1328,1319,1149,1127,1016,982,950,912,906,837,808,747,727,727,629,626,527,493,488,438,374,365,281,241
