Gestão Comercial,Eng. Mecânica,Marketing,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,Eng. Informática,Eng. Civil,Fisioterapia,Eng. Computadores e Telemática,Economia,Eng. de Materiais,Biologia e Geologia,Educação Básica,Matemática,Eng. Física,Administração Pública,Eng. Biomédica,Biologia,Gestão,DPT,MTC,Ciências do Mar,Psicologia
1328,1149,808,1328,1127,950,912,906,837,747,982,500,626,727,727,500,493,629,527,438,281,488,365
1330,1139,972,1330,1137,786,1049,906,835,750,845,605,626,543,652,395,677,480,676,588,278,540,313
1351,1182,1003,1266,1116,839,1006,906,804,769,843,605,626,524,623,495,682,380,680,588,274,432,308
1354,1187,972,1139,1147,896,936,906,828,771,838,620,626,625,622,509,720,365,579,550,260,432,306
1399,1146,1031,1170,1148,1026,934,906,780,777,837,624,626,601,614,533,720,365,587,534,256,426,298
1400,1149,1158,1126,1018,995,942,906,745,790,950,688,626,537,609,607,662,339,468,471,256,526,294
1403,1250,1045,1127,1059,992,901,906,742,843,955,692,626,559,607,693,688,389,407,527,249,500,244
1408,1250,1076,1130,1089,1029,928,906,738,845,926,708,626,566,606,671,613,364,405,551,307,484,186
1313,1275,1077,1105,1093,1016,970,906,735,865,890,740,626,566,606,691,582,336,400,460,402,510,183
1313,1180,1072,1050,1148,1111,983,906,848,840,777,745,626,569,606,692,455,336,400,433,402,491,182
1314,1201,1163,1157,1041,1020,962,906,848,843,777,770,626,596,606,596,494,463,361,442,472,421,173
1345,1264,1132,1094,1041,1020,962,906,848,843,777,775,626,613,606,596,541,460,457,437,425,404,173
1345,1264,1132,1094,1041,1020,962,906,848,843,777,774,626,613,606,596,541,460,457,437,425,404,173
