Eng. Mecânica,Gestão Comercial,Marketing,Eng. e Gestão Industrial,Eng. Informática,Eng. Eletrónica e Telecomunicações,Eng. Civil,Fisioterapia,Economia,Eng. Computadores e Telemática,Biologia e Geologia,Eng. de Materiais,Educação Básica,Matemática,Administração Pública,Eng. Física,Eng. Biomédica,MTC,DPT,Biologia,Gestão,Ciências do Mar,Psicologia
1367,1242,1163,1367,1020,1041,962,906,843,848,774,777,626,613,596,606,541,425,437,460,457,404,173
1276,1247,1207,1368,976,1132,994,906,847,843,808,745,626,477,562,599,677,421,537,355,562,427,150
1286,1285,1212,1272,981,1094,984,906,852,838,808,745,626,472,581,585,678,390,537,336,593,355,149
1287,1291,1122,1163,1008,1184,958,906,852,850,810,744,626,567,599,585,705,372,510,334,498,355,149
1244,1359,1144,1213,1128,1184,953,906,853,827,812,744,626,574,592,580,705,370,504,334,502,354,145
1246,1359,1253,1168,1078,1064,958,906,858,785,826,862,626,560,637,572,672,370,466,317,386,452,145
1332,1368,1135,1168,1070,1098,924,906,888,783,826,870,626,574,714,572,686,353,503,338,346,438,124
1332,1383,1168,1171,1083,1110,956,906,889,778,829,859,626,589,696,572,619,366,523,317,345,435,111
1351,1302,1168,1152,1065,1115,999,906,906,775,843,846,626,589,707,572,606,451,442,289,344,462,110
1255,1302,1154,1091,1161,1176,1017,906,892,867,844,754,626,590,707,572,473,451,421,289,344,451,110
1270,1305,1234,1194,1081,1073,1002,906,893,867,858,754,626,611,609,572,497,501,427,422,320,401,104
1322,1358,1181,1142,1081,1073,1002,906,893,867,860,754,626,624,609,572,550,448,425,421,418,388,104
1410,1270,1212,1111,1081,1073,1002,906,893,867,857,754,626,624,609,572,550,448,425,421,418,388,104
