Eng. e Gestão Industrial,Eng. Biomédica,Fisioterapia,Eng. Mecânica,Eng. Eletrónica e Telecomunicações,Gestão e Planeamento em Turismo,Línguas e Relações Empresariais,Eng. Física,Biologia,Tradução,Bioquímica,Economia,Educação Básica,Psicologia
750,750,750,750,750,750,750,750,750,750,750,750,750,750
860,865,868,867,852,648,901,640,632,852,633,590,648,635
872,807,909,925,776,699,777,727,736,748,713,571,597,623
818,826,914,979,864,823,836,717,771,707,675,558,562,536
831,856,952,989,891,753,798,744,712,731,652,531,557,534
852,795,993,991,850,792,834,775,688,695,621,594,535,471
913,847,1007,994,871,778,840,723,649,674,641,591,529,451
981,952,1022,1017,803,755,735,708,649,674,641,591,529,451
1075,1055,928,914,803,755,735,708,649,674,641,591,529,451
1146,984,979,863,803,755,735,708,649,674,641,591,529,451
1146,984,979,863,803,755,735,708,697,674,593,591,529,451
