Fisioterapia,Eng. e Gestão Industrial,Eng. Mecânica,MTC,Eng. Eletrónica e Telecomunicações,Design,Psicologia,Eng. Civil,Biologia,Tradução,Economia,Educação Básica,Eng. Física,Eng. Computadores e Telemática
979,1146,863,750,803,750,451,750,697,674,591,529,708,750
992,1150,908,750,831,862,436,765,693,661,563,529,663,638
995,1152,924,856,856,756,580,765,677,636,560,529,661,494
1018,1060,1016,864,833,702,572,819,677,674,522,529,684,471
945,1077,1089,724,816,781,675,704,792,571,662,529,605,471
955,1081,1089,803,816,795,665,700,713,557,662,529,605,471
975,1084,965,927,821,775,662,700,627,643,610,529,538,466
986,1090,965,964,784,769,713,689,692,661,647,529,501,448
1006,1094,977,836,912,749,713,685,680,661,647,529,501,448
1115,985,1037,836,852,749,713,685,680,661,647,529,501,448
1169,1003,983,836,834,749,713,685,680,661,647,529,501,448
