Fisioterapia,Eng. Mecânica,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,MTC,Psicologia,Design,Eng. Civil,Economia,Biologia,Tradução,Educação Básica,Eng. Física,Eng. Computadores e Telemática
1169,983,1003,834,836,713,749,685,647,680,661,529,501,448
1171,986,1014,868,836,572,762,826,613,669,659,529,498,435
1172,993,1015,886,884,609,714,826,612,662,641,529,497,398
1179,1050,958,879,892,601,684,856,563,662,690,529,534,361
1068,1161,1009,828,753,700,718,731,702,787,591,529,500,361
1072,1161,1017,828,823,696,745,723,702,717,564,529,500,361
1077,1034,1023,830,950,690,740,723,647,631,650,529,466,359
1082,1034,1030,796,984,743,733,718,664,664,657,529,449,352
1089,1039,1039,925,855,743,726,709,664,659,657,529,449,352
1150,1083,978,881,855,743,726,709,664,659,657,529,449,352
1207,1026,1002,857,855,743,726,709,664,659,657,529,449,352
