Eng. Mecânica,Eng. de Materiais,Eng. Eletrónica e Telecomunicações,Eng. e Gestão Industrial,Eng. Informática,Eng. Computadores e Telemática,Contabilidade,Tecnologias de Informação,Eng. Civil,Biologia,Biotecnologia,Matemática,MTC,Eng. Aeroespacial,Línguas e Relações Empresariais,Eng. Computacional,Eng. Biomédica,Física,Economia,Administração Pública,Design,Gestão e Planeamento em Turismo,Gestão,Psicologia,Eng. Física,Ciências do Mar,Biologia e Geologia,Música,"Línguas, Literaturas e Culturas",Eng. Mecânica B
1127,1291,997,1092,731,914,500,779,547,998,685,703,906,1018,641,454,415,500,877,371,559,512,272,531,545,500,350,500,500,500
1152,1335,1108,1097,698,947,554,638,579,887,680,844,881,947,685,313,460,456,675,512,616,638,227,633,626,533,547,374,419,398
1120,1339,949,1148,683,922,669,797,666,906,661,931,794,962,554,291,545,418,560,427,663,773,347,528,505,467,500,338,299,519
1141,1343,973,1160,682,987,710,700,684,894,758,928,770,942,662,428,594,517,473,454,555,674,433,570,583,331,619,322,272,433
1157,1343,970,1161,680,908,746,686,718,908,707,874,821,994,695,481,457,476,498,519,487,555,391,498,444,404,583,291,408,368
1159,1347,1049,1163,784,927,755,684,763,957,707,822,772,948,647,496,493,458,428,591,478,522,504,421,418,481,549,278,355,295
1224,1348,1095,1098,778,992,678,769,795,953,688,718,687,840,724,530,508,528,385,615,521,584,476,387,489,414,454,378,322,280
1225,1348,1101,1102,837,1005,646,768,802,888,796,717,685,797,730,574,533,539,456,642,514,545,513,362,445,377,383,372,360,266
1251,1246,1075,1104,939,916,685,755,812,931,737,714,685,886,635,612,578,560,551,650,545,535,475,418,400,369,362,341,304,228
1252,1269,1079,1081,991,928,775,834,809,879,736,710,673,807,635,612,578,560,551,614,545,535,475,418,400,369,362,341,304,228
1256,1273,1132,1028,1013,924,811,812,809,875,783,663,753,727,635,612,578,560,551,546,545,535,475,418,400,369,362,341,304,228
1258,1274,1136,953,1022,999,811,810,809,782,779,756,744,726,635,612,578,560,551,546,545,535,475,418,400,369,362,341,304,228
1261,1274,1176,1045,982,907,811,810,809,782,779,756,744,636,635,612,578,560,551,546,545,535,475,418,400,369,362,341,304,228
1344,1191,1176,1045,982,907,811,810,809,782,779,756,744,704,635,612,578,560,551,546,545,535,475,418,400,369,362,341,304,228
