Eng. Mecânica,Eng. de Materiais,Eng. Eletrónica e Telecomunicações,Eng. e Gestão Industrial,Eng. Informática,Eng. Computadores e Telemática,Eng. Civil,Contabilidade,Tecnologias de Informação,Biotecnologia,Biologia,Matemática,MTC,Eng. Aeroespacial,Línguas e Relações Empresariais,Eng. Biomédica,Eng. Computacional,Física,Administração Pública,Economia,Design,Gestão e Planeamento em Turismo,Gestão,Psicologia,Biologia e Geologia,Eng. Física,Ciências do Mar,Música,"Línguas, Literaturas e Culturas",Eng. Mecânica B
1381,1220,1149,1006,982,907,809,811,810,779,782,756,744,704,635,578,612,560,546,551,545,535,475,418,362,400,369,341,304,228
1382,1386,1156,1029,842,1047,811,813,678,756,775,888,743,694,704,637,478,491,680,450,622,573,416,453,559,460,527,303,244,193
1263,1388,997,1036,710,1029,817,818,837,690,841,919,712,826,572,720,372,440,597,445,670,640,440,351,511,335,507,302,220,318
1278,1392,1005,1054,705,1062,824,831,738,789,823,917,704,824,677,735,513,529,600,439,565,551,465,457,595,412,358,301,217,293
1280,1392,1002,1058,704,969,836,843,706,715,855,889,778,920,692,594,537,516,608,467,478,467,359,434,583,311,400,267,366,285
1281,1393,1095,1063,796,981,857,847,701,715,907,793,726,899,670,605,544,509,631,419,474,452,441,371,571,305,463,259,342,243
1296,1393,1116,1048,790,1020,886,759,769,703,906,701,658,798,758,609,561,557,637,377,516,531,426,354,474,394,379,362,332,239
1296,1393,1122,1053,848,1031,889,730,769,804,867,701,655,760,762,618,580,564,651,454,513,516,466,345,397,375,339,358,361,233
1314,1291,1104,1056,950,937,892,745,758,746,905,696,655,854,665,632,607,583,657,551,541,513,439,405,378,361,333,330,301,204
1315,1302,1107,1045,993,945,889,806,830,745,862,693,647,782,665,632,607,583,626,551,541,513,439,405,378,361,333,330,301,204
1317,1306,1145,1007,1014,941,889,837,809,785,860,653,727,702,665,632,607,583,556,551,541,513,439,405,378,361,333,330,301,204
1318,1306,1149,940,1021,1008,889,837,808,781,767,746,720,702,665,632,607,583,556,551,541,513,439,405,378,361,333,330,301,204
1321,1306,1185,1039,985,909,889,837,808,781,767,746,720,641,665,632,607,583,556,551,541,513,439,405,378,361,333,330,301,204
1356,1318,1150,1027,985,909,889,837,808,781,767,746,720,711,665,632,607,583,556,551,541,513,439,405,378,361,333,330,301,204
1421,1253,1169,1008,985,909,889,837,808,781,767,746,720,711,665,632,607,583,556,551,541,513,439,405,378,361,333,330,301,204
