Eng. Mecânica,Fisioterapia,Gestão e Planeamento em Turismo,Finanças,Eng. e Gestão Industrial,Biotecnologia,Eng. Eletrónica e Telecomunicações,Eng. Civil,Ciências Biomédicas,Eng. Física,Economia,Eng. Computadores e Telemática,Gestão,Contabilidade,Eng. de Materiais,Eng. Mecânica B,Eng. Biomédica,Eng. Química,Eng. Computacional,Tecnologias de Informação,Administração Pública,Geologia,Marketing,Eng. Informática,MTC,Matemática,Biologia,Música,Biologia e Geologia
1171,1047,1144,1122,1338,999,1040,860,548,829,851,868,836,699,532,693,594,592,494,510,690,553,500,701,406,386,399,356,371
1174,1025,1147,1122,1351,1021,1027,871,537,829,967,752,839,696,699,699,555,631,603,706,687,599,335,505,367,551,353,353,331
1149,1114,1187,1122,1376,1033,938,873,564,829,973,740,850,770,739,674,554,642,563,702,613,492,334,434,365,540,349,342,272
1150,1190,1205,1122,1376,999,826,874,579,829,955,852,851,794,742,716,554,672,537,728,608,479,328,447,409,510,325,341,287
1062,1190,1210,1122,1376,1003,821,879,604,829,976,838,878,773,751,719,554,678,561,596,604,611,385,473,379,505,295,326,266
1079,1307,1210,1122,1238,1062,837,938,643,829,907,849,819,772,816,672,543,651,527,605,588,633,384,460,431,523,292,311,219
1080,1309,1111,1122,1241,1071,925,939,653,829,812,846,819,762,694,687,543,642,614,717,587,546,373,443,501,484,284,259,219
1089,1310,1079,1122,1274,1040,956,947,751,829,802,844,721,743,693,687,622,645,614,641,512,546,480,443,394,418,284,292,217
1179,1321,1068,1122,1274,1014,973,947,780,829,822,844,726,742,693,687,602,616,614,607,512,546,497,443,389,387,284,275,217
1205,1321,1080,1122,1276,1017,1012,936,814,829,820,832,726,742,693,687,599,616,614,607,512,546,497,443,389,387,284,275,217
1166,1322,1085,1122,1234,1059,964,936,903,829,819,787,726,737,693,687,647,616,614,607,557,546,497,443,389,387,284,275,217
1191,1323,1159,1122,1245,985,939,936,903,829,819,787,726,813,693,687,647,616,614,607,557,546,497,443,389,387,284,275,217
1306,1352,1130,1122,1130,985,939,936,903,829,819,787,726,724,693,687,647,616,614,607,557,546,497,443,389,387,284,275,217
1403,1255,1175,1122,1085,985,939,936,903,829,819,787,726,724,693,687,647,616,614,607,557,546,497,443,389,387,284,275,217
