Eng. Mecânica,Fisioterapia,Gestão e Planeamento em Turismo,Finanças,Eng. e Gestão Industrial,Eng. Civil,Biotecnologia,Ciências Biomédicas,Eng. Eletrónica e Telecomunicações,Eng. Física,Economia,Eng. Computadores e Telemática,Gestão,Contabilidade,Eng. de Materiais,Eng. Mecânica B,Eng. Biomédica,Eng. Química,Eng. Computacional,Tecnologias de Informação,Geologia,Administração Pública,Marketing,Eng. Informática,Matemática,MTC,Música,Biologia,Biologia e Geologia
1403,1255,1175,1122,1085,936,985,903,939,829,819,787,726,724,693,687,647,616,614,607,546,557,497,443,387,389,275,284,217
1403,1170,1176,1122,1129,1023,1070,816,895,829,910,696,730,724,753,670,582,644,640,649,565,556,333,401,551,361,271,265,216
1261,1183,1219,1122,1271,1023,1075,817,882,829,915,691,758,751,789,657,582,649,604,660,526,529,330,384,523,361,266,264,187
1261,1270,1228,1122,1271,1023,1038,818,771,829,906,802,761,791,790,704,582,675,560,704,497,525,325,413,497,383,266,233,204
1159,1270,1231,1122,1272,1024,1039,821,768,829,936,798,813,761,794,706,582,680,513,577,624,524,361,435,496,380,249,231,192
1164,1339,1231,1122,1190,1039,1076,827,781,829,892,817,798,759,841,672,563,628,612,583,636,511,361,429,505,414,248,226,163
1164,1340,1147,1122,1194,1039,1083,829,879,829,785,813,798,751,713,684,563,625,615,700,546,511,359,416,499,492,214,223,163
1168,1340,1094,1122,1250,1042,1045,880,917,829,781,812,747,728,712,684,613,627,615,626,546,463,467,416,425,384,254,223,161
1245,1350,1084,1122,1250,1042,1029,890,938,829,803,812,751,728,712,684,591,617,615,613,546,463,481,416,388,380,240,223,161
1261,1350,1092,1122,1252,1015,1031,903,983,829,801,804,751,728,712,684,589,617,615,613,546,463,481,416,388,380,240,223,161
1216,1351,1096,1122,1214,1015,1069,952,936,829,800,758,751,724,712,684,636,617,615,613,546,509,481,416,388,380,240,223,161
1229,1352,1169,1122,1241,1015,996,952,923,829,800,758,751,798,712,684,636,617,615,613,546,509,481,416,388,380,240,223,161
1326,1377,1144,1122,1144,1015,996,952,923,829,800,758,751,749,712,684,636,617,615,613,546,509,481,416,388,380,240,223,161
1425,1278,1189,1122,1099,1015,996,952,923,829,800,758,751,749,712,684,636,617,615,613,546,509,481,416,388,380,240,223,161
