Eng. Civil,Fisioterapia,Eng. de Materiais,Bioquímica,Matemática,Eng. e Gestão Industrial,Eng. Mecânica,Eng. Biomédica,Eng. Informática,Psicologia,Educação Básica,Contabilidade,Eng. Eletrónica e Telecomunicações,Economia
750,750,750,750,750,750,750,750,750,750,750,750,750,750
647,930,853,860,894,853,647,880,640,853,800,647,620,606
696,935,868,916,947,763,708,824,625,800,769,586,595,589
814,1023,910,947,961,789,694,782,576,817,736,581,741,546
864,912,943,801,873,803,737,664,620,958,701,555,691,532
888,916,853,891,880,766,858,721,563,837,677,548,666,528
946,963,878,833,917,843,811,721,646,760,677,605,583,471
994,963,945,940,810,795,744,721,646,760,677,605,583,471
994,963,1035,850,810,795,744,721,646,760,677,605,583,471
1106,963,923,850,810,795,744,721,646,760,677,605,583,471
1106,963,923,850,810,795,744,721,720,686,677,605,583,471
