Eng. Biomédica,Matemática,Eng. Civil,Eng. Mecânica,Fisioterapia,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,Ciências Biomédicas,Eng. Informática,Contabilidade,Educação Básica,Biologia,Eng. de Materiais,Música,Economia
721,810,1106,744,963,795,583,750,720,605,677,750,923,750,471
850,891,1119,663,1051,782,703,897,720,485,677,767,835,700,454
1011,916,1119,658,1056,790,678,877,720,485,677,683,737,612,446
1016,941,1134,624,1058,851,627,880,720,483,677,641,746,609,436
1024,943,972,745,1078,831,764,743,720,544,677,631,797,581,433
1036,969,931,753,989,717,800,769,720,659,677,629,771,556,425
1045,1051,940,778,1003,709,830,756,720,674,677,599,725,528,410
1095,1086,960,758,1004,790,749,745,720,690,677,598,639,518,409
1096,1088,961,788,954,800,741,729,720,718,677,637,635,479,408
1101,1096,993,926,816,768,733,729,720,713,677,637,635,479,408
1141,1123,953,899,816,768,733,729,720,713,677,637,635,479,408
1226,1038,989,863,816,768,733,729,720,713,677,637,635,479,408
