Eng. Biomédica,Matemática,Eng. Civil,Eng. Mecânica,Fisioterapia,Eng. Eletrónica e Telecomunicações,Eng. e Gestão Industrial,Eng. Informática,Contabilidade,Educação Básica,Ciências Biomédicas,Eng. de Materiais,Biologia,Música,Economia
1226,1038,989,863,816,733,768,720,713,677,729,635,637,479,408
1258,1076,1017,825,850,832,740,720,614,677,779,601,663,471,382
1259,1092,1020,727,855,816,746,720,610,677,783,567,641,451,376
1259,1094,997,792,897,684,704,720,608,677,676,699,633,445,372
1260,1097,965,795,880,791,623,720,631,677,691,696,632,434,369
1262,1112,972,801,898,867,623,720,706,677,674,676,606,426,363
1266,1140,991,782,899,883,721,720,712,677,673,630,606,407,362
1266,1141,991,808,895,785,729,720,703,677,682,630,625,407,362
1266,1141,998,767,936,783,767,720,714,677,675,640,587,407,352
1267,1148,1016,905,798,776,749,720,713,677,675,640,587,407,352
1281,1163,1002,890,798,776,749,720,713,677,675,640,587,407,352
1328,1116,1027,865,798,776,749,720,713,677,675,640,587,407,352
