EET,GPT,Fisioterapia,Finanças,Eng. Biomédica,Eng. Física,EGI,Eng. Mecânica,ECT,AP,Enfermagem,Gestão,Eng. Química,Bioquímica,Música,Eng. Informática,Contabilidade,Matemática,Gestao Pública,Eng. Aeroespacial,LRE,Economia,Biologia e Geologia,Eng. Materiais,Biologia,Ciências do Mar,EGI B,Biotecnologia,Eng. Cívil,Eng. Mecânica B,Design,MTC,Eng. Computacional,Eng. Ambiente,Tradução,Educaçao Básica
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,1000,500,500,500,1000,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
1115,1117,1115,885,1120,893,1113,1107,887,880,607,885,500,500,604,883,604,500,607,393,500,621,379,620,500,500,612,380,623,393,388,612,396,396,377,388
1038,1193,1039,885,1197,973,1130,1124,870,863,681,805,462,642,538,883,530,467,466,426,613,659,476,638,542,616,631,346,507,534,346,499,460,377,359,291
994,1208,930,994,1205,958,1174,1131,936,797,697,798,485,615,565,875,559,549,450,514,623,715,560,632,503,622,511,407,419,452,336,415,436,416,305,268
1012,1243,973,1039,1162,913,1181,1096,856,779,720,878,556,649,572,868,588,526,421,597,636,611,489,549,469,642,615,359,491,380,411,340,484,403,254,261
1043,1247,1026,995,1065,1010,1128,1140,825,884,733,874,570,646,502,763,593,556,391,630,639,638,559,568,442,649,620,352,478,361,409,326,451,405,249,256
1052,1250,930,1032,1004,973,1159,1201,823,980,614,837,624,663,448,754,657,492,418,489,712,565,504,687,471,653,675,493,451,464,392,436,348,295,245,227
956,1265,1026,1017,1027,1037,1113,1251,871,921,625,814,706,668,506,706,528,543,458,533,714,586,427,711,548,588,593,558,400,399,371,378,337,290,221,225
1002,1295,991,1043,972,1042,1121,1203,846,950,674,806,729,676,506,701,628,555,528,556,718,593,420,611,525,593,550,509,518,421,398,370,301,283,219,198
1064,1193,999,1095,1074,978,1094,1214,880,940,676,777,725,715,598,693,607,530,535,561,617,554,521,537,525,531,609,443,497,383,405,410,289,283,212,198
1071,1204,994,1041,982,983,1148,1215,972,929,730,770,731,716,654,692,603,601,600,620,529,577,531,472,468,500,553,467,406,371,399,387,380,273,207,197
1045,1230,1096,1076,1070,1033,1060,1113,922,894,757,804,733,734,664,658,615,601,600,593,592,581,513,507,504,500,490,467,406,402,389,351,345,271,207,193
1054,1232,1096,1148,1061,1033,988,965,922,894,905,804,733,732,664,658,615,601,600,593,592,581,513,507,504,500,490,467,406,402,389,351,345,271,207,193
1194,1092,1096,1165,1061,1033,988,965,922,894,888,804,733,732,664,658,615,601,600,593,592,581,513,507,504,500,490,467,406,402,389,351,345,271,207,193
1264,1104,1096,1095,1061,1033,988,965,922,894,876,804,733,732,664,658,615,601,600,593,592,581,513,507,504,500,490,467,406,402,389,351,345,271,207,193
