Finanças,Eng. Mecânica,Eng. Biomédica,Eng. e Gestão Industrial,Bioquímica,Gestão e Planeamento em Turismo,Fisioterapia,Contabilidade,Eng. de Materiais,Eng. Informática,Eng. e Gestão Industrial B,Eng. Química,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,Enfermagem,Marketing,Eng. Aeroespacial,Gestão,Ciências Biomédicas,Música,Eng. Mecânica B,Eng. Computacional,Gestão Pública,Matemática,Ciências do Mar,Economia,Eng. Civil,Eng. Física,Línguas e Relações Empresariais,Automação e Sistemas de Produção,Psicologia,Biologia e Geologia,Eng. do Ambiente,Administração Pública,Design,MTC,MOC,Biologia,Biotecnologia,Tradução
1200,1127,1035,1008,1006,988,962,952,800,859,776,805,840,822,774,700,683,701,630,618,604,522,574,575,538,540,504,616,539,496,441,438,450,463,356,356,317,243,214,186
1204,1139,915,1128,933,868,1082,962,809,871,846,878,849,810,770,620,479,631,618,636,616,638,582,596,526,632,495,606,423,404,432,422,444,543,338,560,296,323,206,106
1205,1145,903,1005,1064,925,951,1085,900,775,850,891,858,753,764,692,556,639,622,523,546,639,667,627,479,652,418,605,461,414,412,351,476,534,385,475,258,315,202,105
1225,1163,979,985,1073,907,875,1042,901,682,879,936,864,744,793,694,528,588,647,520,540,690,695,539,564,731,442,576,438,370,465,346,490,510,384,450,228,291,201,135
1233,1196,991,988,1040,938,856,1061,904,687,879,927,864,732,762,709,594,676,741,653,510,661,601,466,557,736,472,573,448,360,509,283,563,444,379,435,214,286,201,125
1186,1210,977,893,960,1018,903,1027,911,697,881,833,866,730,857,618,701,691,634,657,553,665,691,464,637,603,482,565,434,444,485,279,473,401,442,433,214,204,191,119
1188,1244,990,987,1005,1005,911,1035,915,717,885,845,830,722,812,682,724,692,570,657,530,669,727,473,530,523,530,554,524,444,485,386,478,415,358,385,289,194,177,118
1142,1290,933,1033,1062,1005,865,1035,807,722,885,896,841,742,757,748,660,706,559,677,534,573,637,569,567,520,620,534,520,407,463,488,464,462,358,338,285,189,173,118
1171,1290,953,1042,1055,976,931,1041,705,768,885,832,821,734,737,768,661,709,632,633,549,602,656,571,567,565,547,534,525,509,463,443,435,443,354,323,282,189,172,116
1200,1173,973,1159,1026,978,948,1022,857,825,885,864,790,703,720,782,692,686,647,633,627,600,578,571,567,565,533,532,525,509,463,443,435,428,354,344,282,189,151,116
1161,1179,1012,1125,1027,1012,958,917,838,887,885,858,786,693,825,725,692,686,647,633,627,600,578,571,567,565,533,531,525,509,463,443,435,428,354,344,282,189,151,116
1066,1193,1014,1156,996,1032,944,1012,908,887,885,838,786,777,741,725,692,686,647,633,627,600,578,571,567,565,533,529,525,509,463,443,435,428,354,344,282,189,151,116
1068,1197,1014,1004,996,1100,944,944,908,887,885,861,786,777,741,725,692,686,647,633,627,600,578,571,567,565,533,529,525,509,463,443,435,428,354,344,282,189,151,116
1087,1247,1014,1004,996,1050,944,944,908,887,885,799,786,777,741,725,692,686,647,633,627,600,578,571,567,565,533,529,525,509,463,443,435,428,354,344,282,189,151,116
1211,1123,1014,1004,996,980,944,944,908,887,885,799,786,777,741,725,692,686,647,633,627,600,578,571,567,565,533,529,525,509,463,443,435,428,354,344,282,189,151,116
