Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,Fisioterapia,Biologia,Ciências Biomédicas,Design,Eng. Informática,Eng. do Ambiente,Gestão e Planeamento em Turismo,Eng. Física,Gestão,Geologia,Psicologia,Eng. Mecânica,Eng. Química,Eng. Civil,"Línguas, Literaturas e Culturas",Eng. de Materiais,Bioquímica,Contabilidade,Música,Administração Pública,Biologia e Geologia,Eng. Biomédica,Línguas e Relações Empresariais,MTC,Ciências Biomédicas B,Tradução,Matemática,Gestão Comercial,Marketing,Eng. Computadores e Telemática,Economia,Educação Básica
1467,1288,1255,1154,1065,1000,975,777,878,862,734,771,725,635,591,660,605,642,553,561,469,510,523,592,480,433,470,400,308,326,254,271,236,168
1494,1301,1228,1359,1104,1010,981,784,893,863,570,825,726,641,384,650,769,588,568,643,602,428,390,577,525,471,512,393,266,281,253,256,230,167
1347,1301,1248,1373,1090,990,972,793,865,864,578,688,748,494,514,787,770,584,612,494,648,496,537,577,503,462,466,325,265,375,252,230,375,316
1352,1318,1249,1374,1073,985,993,801,864,880,585,687,760,553,548,766,771,647,497,486,632,484,428,514,513,425,407,362,264,339,245,193,323,237
1352,1320,1258,1262,1075,1097,984,845,862,778,673,687,716,655,651,776,687,645,553,493,716,515,472,504,567,491,378,459,258,338,195,186,395,228
1356,1360,1258,1222,1082,992,980,846,876,675,726,792,717,606,600,769,736,631,526,437,628,461,501,504,556,548,306,393,308,368,192,185,384,211
1356,1360,1283,1225,1057,1064,908,857,917,686,629,789,744,553,697,728,787,631,416,380,631,478,480,504,559,529,277,313,300,478,187,155,381,125
1364,1360,1288,1226,1049,1065,942,861,912,707,641,755,763,558,698,728,790,630,515,447,638,474,473,503,460,577,412,311,288,430,186,152,369,122
1366,1276,1372,1234,1124,1090,934,861,887,762,662,766,765,569,701,765,797,593,518,441,556,486,452,492,542,495,401,398,285,347,286,231,269,118
1366,1286,1372,1234,1142,1019,916,861,886,766,672,738,771,646,723,765,680,593,564,474,533,439,472,492,566,499,397,373,340,315,266,220,216,118
1366,1287,1397,1209,1142,1009,973,868,913,685,753,737,773,718,651,765,630,593,557,554,539,507,498,492,486,431,423,383,314,313,240,220,210,108
1403,1250,1397,1211,1145,1009,974,867,856,818,753,734,855,718,651,763,630,593,557,554,539,507,498,491,486,431,423,383,314,313,240,220,210,108
1403,1262,1398,1268,1088,1009,962,867,856,856,753,734,722,718,651,681,630,593,557,554,539,507,498,491,486,431,423,383,314,313,240,220,210,108
1442,1396,1264,1229,1088,1009,962,867,856,856,753,734,722,718,651,643,630,593,557,554,539,507,498,491,486,431,423,383,314,313,240,220,210,108
1510,1328,1300,1193,1088,1009,962,867,856,856,753,734,722,718,651,643,630,593,557,554,539,507,498,491,486,431,423,383,314,313,240,220,210,108
