Eng. Eletrónica e Telecomunicações,Eng. Mecânica,Eng. e Gestão Industrial,Eng. Informática,Design,Administração Pública,Física,Tecnologias de Informação,Contabilidade,Bioquímica,Eng. Biomédica,Ciências do Mar,Ciências Biomédicas,Línguas e Relações Empresariais,Eng. Computadores e Telemática,Fisioterapia,Eng. Informática B,Biologia,Música,Eng. Física,Biotecnologia,Eng. do Ambiente,Eng. Civil,Gestão e Planeamento em Turismo,MTC,Geologia,Eng. de Materiais,Medicina,Matemática,Eng. Computacional,Economia,Eng. Eletrónica e Telecomunicações B,Gestão,Psicologia
1417,1232,1201,1093,1053,911,907,931,679,822,806,876,743,829,691,695,566,575,651,519,533,480,482,565,388,477,396,323,292,331,321,217,158,82
1419,1246,1203,1108,1055,951,907,917,680,831,791,874,703,866,689,737,419,595,614,568,491,524,629,563,339,468,342,279,204,419,301,217,153,81
1447,1218,1204,1111,1089,966,773,883,814,708,903,762,826,876,686,769,439,563,613,572,402,562,632,553,448,557,408,279,243,310,301,214,284,42
1448,1225,1204,1112,1106,967,774,882,835,696,896,808,829,859,640,770,436,625,612,576,399,569,611,553,451,495,404,278,242,200,246,197,297,39
1345,1225,1209,1113,1209,971,780,828,838,703,950,824,844,854,640,774,469,610,596,577,398,554,507,552,445,394,344,379,346,197,240,197,296,28
1348,1225,1263,1123,1155,972,781,845,838,750,947,833,845,844,623,789,523,606,596,555,391,600,546,543,406,454,342,378,313,223,239,155,282,27
1348,1225,1144,1242,1174,972,803,860,840,754,928,913,847,764,623,790,536,559,581,625,525,715,560,543,352,408,342,377,355,222,238,136,269,1
1348,1227,1157,1248,1175,982,804,860,842,757,935,907,732,762,616,795,617,447,581,544,416,705,490,543,371,432,339,373,353,213,216,233,172,1
1348,1150,1234,1291,1132,1000,804,866,842,802,940,895,733,762,615,776,620,512,576,550,454,660,499,537,369,428,303,473,299,210,215,227,172,0
1349,1238,1234,1203,1144,1001,811,866,850,803,943,883,740,761,661,728,620,526,530,543,550,567,492,534,420,421,289,411,325,272,210,165,147,0
1379,1242,1204,1208,1144,1001,827,861,851,850,846,879,794,858,688,674,604,594,530,557,555,499,493,507,429,420,370,330,311,271,210,186,138,-21
1397,1273,1208,1190,1113,975,932,919,850,850,842,821,876,763,783,674,604,594,578,557,555,499,493,459,429,420,370,330,311,271,210,186,138,-21
1398,1279,1259,1216,1062,975,949,913,850,850,842,821,771,763,701,674,604,594,578,557,555,499,493,459,429,420,370,330,311,271,210,186,138,-21
1435,1337,1222,1158,1062,975,949,913,850,850,842,821,771,763,684,674,604,594,578,557,555,499,493,459,429,420,370,330,311,271,210,186,138,-21
1485,1287,1251,1129,1062,975,949,913,850,850,842,821,771,763,684,674,604,594,578,557,555,499,493,459,429,420,370,330,311,271,210,186,138,-21
