team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.0600,1.5300,0.0300,0.0000,0.6600,0.0000,18.04,3.74,10.43,2.76,556.4,96.7
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.47,3.90,19.26,2.46,311.5,117.9
Biologia e Geologia,13.4400,18.1700,0.2900,0.0000,37.2500,0.0000,25.93,4.52,4.89,2.94,690.7,123.4
Ciências do Mar,0.0100,0.1200,0.0000,0.0000,0.1000,0.0000,12.71,3.32,14.39,2.42,435.8,85.9
DPT,0.1000,3.7300,0.0700,0.0000,1.6200,0.0000,18.12,4.70,10.58,3.54,546.7,112.2
Economia,58.4200,36.8000,1.2800,0.0000,85.3100,0.0000,30.79,2.88,2.09,1.66,841.1,74.7
Educação Básica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.22,2.81,15.91,2.03,392.5,74.3
Eng. Biomédica,25.0600,29.3300,0.7500,0.0000,59.9700,0.0000,28.65,3.50,3.37,2.20,769.6,87.2
Eng. Civil,88.6300,0.0800,0.0300,0.0000,0.0000,1.6000,13.28,2.69,13.50,1.92,970.4,77.6
Eng. Computadores e Telemática,8.9200,0.0000,0.0000,0.0000,0.0000,45.8900,5.47,2.70,18.72,1.83,779.1,75.0
Eng. Eletrónica e Telecomunicações,99.7200,45.2100,13.9100,0.9400,0.0000,0.0100,21.45,1.68,7.62,1.44,1169.0,50.7
Eng. Física,0.0100,0.0000,0.0000,0.0000,0.0000,99.3900,0.45,1.01,22.54,0.77,617.6,42.1
Eng. Informática,59.1100,1.9600,0.8300,0.1000,0.0000,0.6100,11.96,3.89,14.54,2.81,917.3,104.6
Eng. Mecânica,99.8400,50.0100,28.8000,4.0000,0.0000,0.0000,21.61,3.09,7.89,2.61,1168.1,85.5
Eng. de Materiais,41.2900,0.3900,0.2100,0.0400,0.0000,2.0100,9.83,2.64,15.96,1.99,899.2,70.1
Eng. e Gestão Industrial,100.0000,96.8700,92.5900,88.7200,0.0000,0.0000,29.07,2.06,2.45,1.35,1405.8,61.7
Fisioterapia,2.5100,0.0000,0.0000,0.0000,0.0000,50.4900,5.26,2.75,19.19,1.71,782.9,78.1
Gestão,2.9100,10.3800,0.1800,0.0000,14.5100,0.0000,19.97,5.50,8.42,4.13,607.1,144.0
Gestão Comercial,100.0000,72.5700,49.6400,5.8200,0.0000,0.0000,24.95,2.67,5.89,2.11,1208.0,79.5
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.78,4.18,20.60,2.59,201.1,119.3
Marketing,99.9700,26.6500,11.2800,0.3700,0.0000,0.0000,19.54,2.30,9.31,1.95,1090.7,68.3
Matemática,0.0000,6.2000,0.1100,0.0100,0.5800,0.0000,20.69,3.52,7.86,2.81,625.5,104.8
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.74,2.65,20.59,1.74,249.6,71.5
