team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.76,0.10,3.02,0.16,695.1,17.7
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.07,0.02,10.00,0.00,462.1,11.0
Biologia e Geologia,13.2200,0.1500,0.0000,0.0000,100.0000,0.0000,27.60,0.05,1.87,0.34,731.5,29.9
Ciências do Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.52,0.00,8.32,0.47,406.5,15.9
DPT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.85,0.05,7.01,0.34,436.7,19.3
Economia,86.7800,1.0800,0.0000,0.0000,100.0000,0.0000,29.10,0.06,1.13,0.34,883.8,31.2
Eng. Biomédica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.25,0.26,5.52,0.69,467.5,88.5
Eng. Civil,100.0000,1.3400,0.0400,0.0100,0.0000,0.0000,11.00,0.00,6.99,0.11,975.0,0.0
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.71,0.05,8.99,0.12,718.5,19.5
Eng. Eletrónica e Telecomunicações,100.0000,66.6100,31.9800,1.7000,0.0000,0.0000,17.35,0.15,3.59,0.76,1088.1,47.4
Eng. Física,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.01,0.00,10.00,0.00,607.3,11.6
Eng. Informática,100.0000,8.3600,2.3200,0.1000,0.0000,0.0000,13.31,0.08,5.98,0.16,1015.3,11.8
Eng. Mecânica,100.0000,98.5500,38.6800,35.6300,0.0000,0.0000,21.87,0.09,2.00,0.12,1280.9,27.6
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.35,0.06,8.01,0.12,906.0,16.6
Eng. e Gestão Industrial,100.0000,67.8000,48.6500,4.9400,0.0000,0.0000,15.21,0.17,4.08,1.01,1118.2,77.3
Gestão,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.32,0.09,8.51,0.84,383.2,42.8
Gestão Comercial,100.0000,98.7600,61.3200,56.7600,0.0000,0.0000,24.00,0.00,1.01,0.08,1312.3,8.1
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.49,0.27,5.61,0.68,471.9,46.6
Marketing,100.0000,57.3500,17.0100,0.8600,0.0000,0.0000,16.00,0.00,4.36,0.48,1072.0,0.0
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.45,0.00,4.00,0.22,610.5,15.9
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.33,0.05,11.00,0.00,175.9,18.3
