team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Biologia,31.5900,16.9700,9.0200,3.9700,0.0000,0.0000,8.96,3.12,9.79,2.73,731.6,110.6
Design,54.5900,25.8700,13.5100,7.7400,0.0000,0.0000,8.90,3.07,8.20,3.01,766.3,117.9
Economia,17.9600,7.7200,4.6500,2.5100,0.0000,0.0000,5.73,3.16,11.13,2.57,665.9,113.5
Educação Básica,22.4000,10.1100,4.1100,1.9200,0.0000,0.0000,5.56,3.05,10.67,2.63,612.7,127.6
Eng. Civil,93.5500,47.9900,23.2200,11.2700,0.0000,0.0000,15.12,3.15,4.37,2.44,813.5,120.0
Eng. Computadores e Telemática,6.0600,2.9200,1.3800,0.5900,0.0000,0.0000,5.47,3.08,12.05,2.08,590.8,124.4
Eng. Eletrónica e Telecomunicações,78.0100,38.1500,19.0900,9.9500,0.0000,0.0000,12.07,3.08,5.88,2.82,825.6,122.6
Eng. Física,30.6900,13.4900,6.3400,3.5900,0.0000,0.0000,8.95,3.23,10.10,2.86,680.8,113.9
Eng. Mecânica,99.7500,53.5600,27.6500,13.2600,0.0000,0.0000,15.50,3.07,2.54,1.75,909.2,129.7
Eng. e Gestão Industrial,82.4300,42.1700,22.6600,11.3800,0.0000,0.0000,12.76,3.08,5.52,2.74,904.5,119.1
Fisioterapia,97.5500,54.0000,26.9700,14.1100,0.0000,0.0000,15.39,3.12,3.07,2.10,916.4,125.3
MTC,93.9700,46.1100,21.9600,9.9200,0.0000,0.0000,15.21,3.26,4.05,2.46,850.0,115.2
Psicologia,51.2200,22.1800,10.5800,5.8200,0.0000,0.0000,8.33,3.08,8.52,3.04,679.1,121.5
Tradução,40.2300,18.7600,8.8600,3.9700,0.0000,0.0000,9.04,3.20,9.12,2.89,651.4,114.5
