team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Biologia,51.3600,23.2900,10.4900,4.9100,0.0000,0.0000,7.56,0.39,8.84,1.56,626.1,60.0
Design,91.6300,40.2600,20.7900,10.7700,0.0000,0.0000,9.16,0.00,7.11,1.22,819.1,58.4
Economia,21.0600,9.3100,4.7900,2.4500,0.0000,0.0000,6.31,0.39,10.44,1.77,653.2,74.2
Eng. Civil,100.0000,46.4200,22.2200,10.8600,0.0000,0.0000,12.22,0.00,5.49,0.68,742.3,58.3
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.49,0.00,12.67,0.47,498.2,58.3
Eng. Eletrónica e Telecomunicações,100.0000,48.0300,23.9100,11.3300,0.0000,0.0000,12.82,0.00,6.11,0.85,842.0,58.3
Eng. Física,35.9500,16.1200,7.8100,3.6600,0.0000,0.0000,8.55,0.39,8.93,1.60,618.9,95.7
Eng. Mecânica,100.0000,55.9300,27.6400,13.9900,0.0000,0.0000,18.00,0.00,1.00,0.00,965.0,0.0
Eng. e Gestão Industrial,100.0000,55.4800,29.6600,15.7900,0.0000,0.0000,17.84,0.00,2.48,0.72,1039.9,58.4
Fisioterapia,100.0000,53.5800,26.2900,13.4800,0.0000,0.0000,17.78,0.00,3.51,0.68,932.7,58.3
MTC,100.0000,51.5800,26.4000,12.7600,0.0000,0.0000,17.18,0.00,3.02,0.70,906.0,58.3
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.58,0.39,11.13,1.44,658.3,59.9
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.51,0.00,10.28,0.98,610.8,58.3
