team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,7.13,2.61,0.62,0.20,0.75,0.00,13.01,3.88,15.76,6.22,461.4,107.3
Biologia,46.04,17.99,9.64,4.64,11.25,0.02,15.44,4.62,12.64,6.68,912.7,119.2
Biologia e Geologia,3.98,1.67,0.59,0.19,3.80,0.00,11.35,4.26,18.91,6.57,539.8,110.3
Biotecnologia,11.73,3.12,1.70,0.84,14.14,0.01,9.71,4.19,19.90,6.58,807.4,110.3
Ciências do Mar,4.19,1.41,0.37,0.08,0.39,0.00,11.68,4.25,18.77,6.68,447.6,107.7
Contabilidade,32.27,11.65,3.63,1.08,29.03,0.00,15.56,4.35,11.47,6.36,619.8,108.8
Design,29.04,11.14,3.14,0.74,25.57,0.00,15.83,4.26,11.24,6.10,607.9,109.1
Economia,1.32,0.52,0.16,0.05,1.31,0.00,9.17,4.40,21.84,6.15,563.5,114.4
Eng. Aeroespacial,46.95,20.27,11.50,5.20,9.63,0.00,14.96,5.23,12.82,7.38,927.8,124.0
Eng. Biomédica,54.08,12.62,3.10,0.61,2.78,0.00,17.81,3.75,8.10,4.77,517.8,104.1
Eng. Civil,14.73,5.85,1.79,0.41,13.76,0.00,13.07,4.87,15.59,7.29,596.8,118.9
Eng. Computacional,0.58,0.10,0.04,0.00,0.05,0.00,6.93,4.12,24.33,5.34,378.4,108.5
Eng. Computadores e Telemática,66.83,32.01,16.97,7.62,6.07,0.02,18.11,5.11,9.27,6.26,958.7,126.2
Eng. Eletrónica e Telecomunicações,60.92,28.49,15.72,7.15,7.73,0.01,16.67,4.76,10.17,6.33,958.3,123.2
Eng. Física,17.01,5.62,1.46,0.28,2.76,0.00,14.53,3.80,13.14,5.98,523.0,109.7
Eng. Informática,5.61,1.42,0.81,0.40,9.62,0.00,8.02,4.60,23.53,6.16,778.1,107.6
Eng. Mecânica,91.04,57.44,30.36,15.00,1.41,0.00,22.85,4.43,4.84,3.97,1046.6,120.4
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.12,0.00,10.54,3.81,19.09,6.04,429.1,108.9
Eng. de Materiais,99.20,79.13,46.88,30.08,0.09,0.00,27.72,4.09,1.81,1.70,1212.2,116.8
Eng. e Gestão Industrial,96.47,65.85,32.88,17.80,0.47,0.00,24.72,4.52,3.36,2.86,1086.6,116.3
Física,1.32,0.60,0.18,0.05,1.31,0.00,10.28,3.77,20.23,5.88,538.5,107.8
Gestão,9.15,3.94,1.06,0.22,0.77,0.00,13.15,3.87,14.78,6.26,461.9,106.5
Gestão e Planeamento em Turismo,10.78,4.37,1.52,0.48,10.47,0.00,13.98,3.84,15.31,6.28,624.5,104.5
Línguas e Relações Empresariais,6.55,2.24,0.76,0.14,6.39,0.00,11.78,4.26,18.07,6.63,569.0,111.4
"Línguas, Literaturas e Culturas",0.01,0.01,0.00,0.00,0.00,0.00,5.74,3.73,26.28,4.14,353.8,108.1
MTC,18.84,6.05,3.32,1.82,14.07,0.00,11.72,4.70,18.47,7.20,864.0,124.0
Matemática,45.36,17.88,9.29,3.88,11.05,0.06,15.53,4.73,12.62,6.80,900.7,120.9
Música,0.01,0.01,0.00,0.00,0.01,0.00,4.96,3.59,26.33,4.10,422.1,110.7
Psicologia,7.85,2.78,0.73,0.15,0.87,0.00,12.77,4.27,16.12,6.68,463.3,119.5
Tecnologias de Informação,11.01,3.21,1.78,0.89,14.33,0.02,9.49,4.22,20.19,6.56,792.7,115.1
