team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,78.8290,30.3550,13.5610,6.0770,78.8290,0.0000,19.69,1.49,1.25,0.51,608.0,56.3
Biologia,71.1700,16.8690,8.9360,4.7570,0.0000,1.1610,16.56,2.64,6.08,1.11,911.0,116.5
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.93,3.13,6.95,1.54,475.8,89.7
Biotecnologia,6.6280,0.2430,0.1280,0.0750,0.0000,35.5400,10.09,2.63,8.77,1.63,815.8,85.0
Ciências do Mar,0.0000,0.2300,0.1020,0.0490,0.0000,0.0000,11.72,2.12,4.75,1.18,460.3,75.3
Contabilidade,30.5830,23.5070,10.8370,5.0030,31.8690,0.0000,18.25,3.20,2.45,1.34,673.3,109.4
Design,4.2990,2.8160,1.3240,0.6210,4.4340,0.0000,11.93,3.07,4.30,1.72,534.7,96.3
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.21,2.65,7.22,1.12,486.5,87.8
Eng. Aeroespacial,4.7210,0.1350,0.0740,0.0370,0.0000,34.0000,11.73,3.11,8.82,1.69,870.0,115.4
Eng. Biomédica,12.5700,14.2730,6.1850,2.6870,12.5700,0.0000,18.17,2.16,2.29,0.77,488.6,72.9
Eng. Civil,39.6810,26.5540,12.1130,5.5340,40.7280,0.0000,18.17,3.20,2.27,1.34,671.6,117.4
Eng. Computacional,8.6010,8.5380,3.7700,1.6910,8.6010,0.0000,15.13,2.16,3.39,1.48,511.4,73.3
Eng. Computadores e Telemática,99.1870,48.4420,24.3570,11.9790,0.0000,0.0000,21.02,3.08,3.75,1.24,970.5,117.8
Eng. Eletrónica e Telecomunicações,94.9990,36.4550,19.5800,9.9690,0.0000,0.0000,19.83,2.63,5.09,0.93,1014.3,85.6
Eng. Física,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.95,2.18,5.60,1.22,495.2,73.5
Eng. Informática,21.6450,3.0470,1.6690,0.9330,0.0000,24.0620,11.93,3.08,8.05,1.77,873.0,130.5
Eng. Mecânica,100.0000,55.9440,28.8910,15.1480,0.0000,0.0000,26.18,2.58,2.27,0.84,1130.0,89.4
Eng. Mecânica B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.42,1.50,8.73,0.44,277.1,56.3
Eng. de Materiais,100.0000,56.5120,29.7670,16.0640,0.0000,0.0000,27.82,3.05,1.60,0.93,1160.6,121.6
Eng. e Gestão Industrial,100.0000,55.3010,28.8930,14.7570,0.0000,0.0000,25.63,2.66,2.79,1.03,1089.5,85.1
Física,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.60,1.50,6.48,1.03,516.0,116.0
Gestão,0.0000,0.3870,0.1780,0.0790,0.0000,0.0000,12.02,2.17,4.29,1.28,474.1,73.6
Gestão e Planeamento em Turismo,4.8370,5.2750,2.5630,1.1980,6.7100,0.0000,13.57,2.67,3.92,1.41,638.3,84.8
Línguas e Relações Empresariais,20.6000,15.1170,7.0720,3.3420,22.5080,0.0000,15.37,3.06,2.81,1.41,647.6,122.8
"Línguas, Literaturas e Culturas",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.96,2.16,7.83,0.90,327.6,74.0
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,82.7130,7.08,2.70,10.82,1.34,775.9,111.4
Matemática,0.8650,0.0000,0.0000,0.0000,0.0000,67.4190,10.06,2.67,10.17,1.53,785.0,84.3
Música,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.98,2.65,8.60,0.71,414.8,119.5
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.94,2.15,6.86,1.05,391.7,73.6
Tecnologias de Informação,0.7850,0.0000,0.0000,0.0000,0.0000,61.3540,10.07,2.65,9.81,1.56,840.3,121.8
