team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.1450,0.0130,0.0050,0.0020,1.6930,3.1740,3.58,2.86,25.39,3.29,647.8,96.0
Biologia,0.0090,0.0000,0.0000,0.0000,0.0010,0.0000,2.62,2.95,25.96,3.34,380.0,111.0
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.20,2.28,26.00,2.57,313.7,93.2
Biotecnologia,61.4680,19.0660,8.4730,2.7830,1.4280,3.5860,17.36,4.47,9.59,4.51,980.6,117.6
Ciências Biomédicas,0.3530,0.1460,0.0200,0.0000,0.1610,0.0000,12.84,4.14,15.15,4.77,550.3,121.7
Contabilidade,6.0690,0.7560,0.3940,0.1500,6.4540,20.1290,10.11,3.45,17.69,4.00,806.8,101.0
Economia,56.4410,19.6230,9.6580,3.4490,0.9480,5.0660,17.89,4.54,9.94,4.49,978.6,138.3
Eng. Biomédica,0.1110,0.0020,0.0020,0.0010,0.6590,3.0560,2.94,2.79,25.87,3.23,603.7,90.4
Eng. Civil,46.3950,13.9160,2.7420,0.4770,45.3040,0.0000,21.00,2.47,6.05,2.29,852.9,80.3
Eng. Computacional,0.0980,0.0000,0.0000,0.0000,0.0350,0.0000,9.59,3.29,17.78,3.90,584.6,115.4
Eng. Computadores e Telemática,5.2100,0.5910,0.3490,0.1640,9.8700,17.5250,10.67,3.29,16.97,3.81,850.7,106.7
Eng. Eletrónica e Telecomunicações,6.6540,0.6630,0.3750,0.1420,13.3470,9.1340,8.95,4.27,19.37,5.00,831.3,114.6
Eng. Física,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.41,3.06,23.69,3.64,490.4,99.4
Eng. Informática,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,7.40,2.22,21.02,2.80,542.2,97.2
Eng. Mecânica,85.2290,50.4610,27.2390,13.0930,0.8830,0.8830,21.72,5.06,6.20,4.28,1123.5,145.1
Eng. Mecânica B,0.0000,0.0000,0.0000,0.0000,11.7220,0.0000,13.95,3.75,13.69,4.27,703.5,129.0
Eng. Química,14.8800,3.6510,0.5610,0.0820,11.6710,0.0000,18.06,2.75,8.81,2.88,687.5,104.9
Eng. de Materiais,70.5760,3.6010,0.6870,0.0940,41.7620,0.0000,18.26,2.44,8.94,2.59,800.9,72.9
Eng. e Gestão Industrial,99.4800,88.8670,54.6940,34.9360,0.0090,0.0010,27.35,3.16,2.33,1.83,1292.5,93.6
Finanças,84.9130,46.0470,24.5580,10.1370,0.7170,0.9000,21.18,4.36,6.63,4.02,1106.8,129.9
Fisioterapia,95.9780,66.6730,34.0570,17.1770,0.0660,0.1820,23.81,4.32,4.15,3.07,1164.9,137.3
Geologia,0.5820,0.0000,0.0000,0.0000,0.2910,0.0000,8.72,3.30,19.07,3.97,570.7,112.6
Gestão,38.3600,11.6600,2.2600,0.3560,37.3790,0.0000,20.46,2.95,6.92,2.94,824.9,106.5
Gestão e Planeamento em Turismo,98.3020,73.9580,33.8790,16.9500,0.0330,0.0600,25.56,4.21,3.30,2.52,1179.1,114.1
MTC,0.0050,0.0070,0.0000,0.0000,0.0020,0.0000,8.59,3.67,19.13,4.41,422.5,117.3
Marketing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.95,3.26,23.35,3.80,342.1,107.9
Matemática,0.0070,0.0090,0.0000,0.0000,0.0020,0.0000,10.93,3.13,16.53,3.73,506.9,95.0
Música,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.73,3.16,23.70,3.73,341.0,103.5
Tecnologias de Informação,28.7340,0.2900,0.0470,0.0070,15.5630,0.0000,15.39,2.75,11.78,3.13,724.3,93.3
