team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.26,0.19,10.95,0.22,517.5,31.9
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.95,0.31,7.76,0.43,325.6,51.6
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.09,0.00,8.97,0.17,220.3,16.3
Biotecnologia,97.2030,18.8960,10.2040,3.8690,0.0000,0.9690,17.68,0.66,4.86,0.79,1031.8,91.3
Ciências Biomédicas,0.0000,1.5300,0.1210,0.0120,2.7640,0.0000,17.14,0.26,3.34,0.74,659.8,64.5
Contabilidade,2.1740,0.0220,0.0100,0.0030,0.0000,78.3910,7.50,0.56,8.62,0.76,771.8,83.3
Economia,7.4690,0.0080,0.0040,0.0020,0.0000,26.6830,11.53,0.12,7.26,0.62,799.5,48.8
Eng. Biomédica,0.0980,0.0000,0.0000,0.0000,0.0000,99.4980,3.84,0.18,10.00,0.35,637.4,61.4
Eng. Civil,99.6150,46.7790,8.6140,1.4880,99.8570,0.0000,24.00,0.00,1.00,0.06,946.2,8.8
Eng. Computacional,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.12,0.45,3.99,0.87,624.4,44.1
Eng. Computadores e Telemática,9.4670,0.0000,0.0000,0.0000,0.0000,39.3530,10.92,0.54,7.91,0.99,835.6,109.8
Eng. Eletrónica e Telecomunicações,83.5940,0.0510,0.0340,0.0280,0.0000,0.0430,13.19,0.11,6.15,0.54,987.1,45.9
Eng. Física,0.0000,0.0000,0.0000,0.0000,0.2200,0.0000,4.64,1.25,6.70,1.39,503.9,129.1
Eng. Informática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.57,0.15,5.90,0.68,558.5,42.0
Eng. Mecânica,100.0000,75.1130,53.5810,17.6030,0.0000,0.0000,22.78,0.26,3.47,0.74,1186.9,56.9
Eng. Mecânica B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.18,0.17,2.28,0.81,720.8,63.8
Eng. Química,0.0000,0.5570,0.0310,0.0030,0.1460,0.0000,16.22,0.26,3.49,0.54,642.8,52.1
Eng. de Materiais,95.6910,9.9330,1.8260,0.2350,95.6910,0.0000,19.46,0.31,1.12,0.43,813.9,60.9
Eng. e Gestão Industrial,99.9990,83.2090,38.0050,24.2800,0.0000,0.0000,25.28,0.60,2.25,0.88,1218.7,103.4
Fisioterapia,100.0000,94.8270,54.2460,37.9020,0.0000,0.0000,27.16,0.43,1.25,0.51,1299.5,52.9
Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.02,0.54,4.73,0.95,615.5,44.5
Gestão,0.3850,8.4890,1.4700,0.1940,41.7520,0.0000,20.01,0.13,2.18,0.43,806.9,52.6
Gestão e Planeamento em Turismo,99.9960,60.5800,31.8530,14.3810,0.0000,0.0000,21.72,0.75,3.30,1.05,1129.0,111.8
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.37,0.11,4.99,0.11,497.4,55.2
Marketing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.79,0.30,6.97,0.69,374.3,64.8
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.28,0.00,6.33,0.50,410.2,43.5
Música,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.45,0.30,7.73,0.63,273.0,62.4
Tecnologias de Informação,4.3090,0.0060,0.0010,0.0000,4.4530,0.0000,12.24,0.51,3.52,1.37,598.6,107.9
