team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Biologia,37.0870,6.7350,2.7620,0.9250,0.0000,0.0000,9.13,4.60,9.57,2.81,676.1,139.5
Ciências Biomédicas,91.7520,32.0060,12.9020,4.1550,0.0000,0.0000,16.47,3.15,5.54,2.02,858.4,88.4
Contabilidade,0.2060,0.0110,0.0050,0.0020,0.0000,0.0000,1.20,1.94,13.73,1.04,441.4,61.1
Economia,0.0060,0.0010,0.0000,0.0000,0.0000,0.0000,0.85,1.55,14.70,0.65,409.7,51.8
Educação Básica,9.8670,0.7140,0.2840,0.1320,0.0000,0.0000,7.62,3.87,11.30,2.14,625.5,135.1
Eng. Biomédica,92.8750,56.3960,23.4460,9.7260,0.0000,0.0000,17.97,4.20,4.01,2.54,932.0,125.8
Eng. Civil,99.9510,92.1370,64.7080,44.5670,0.0000,0.0000,22.68,2.13,1.76,1.33,1153.6,88.8
Eng. Eletrónica e Telecomunicações,41.3590,9.5620,3.6880,1.1340,0.0000,0.0000,9.89,5.26,9.03,3.06,678.4,145.5
Eng. Informática,16.5660,2.4950,0.9960,0.3300,0.0000,0.0000,6.78,3.28,10.38,2.06,639.8,104.4
Eng. Mecânica,61.6830,11.5570,4.6610,1.3600,0.0000,0.0000,11.96,4.19,7.88,2.52,723.1,131.1
Eng. de Materiais,32.0120,5.5820,2.4880,0.8950,0.0000,0.0000,9.62,3.85,9.72,2.35,707.4,135.3
Eng. e Gestão Industrial,81.4260,30.9080,16.2770,6.1130,0.0000,0.0000,15.55,3.57,6.55,2.24,874.5,124.9
Fisioterapia,98.1110,65.7570,28.6450,14.5580,0.0000,0.0000,20.25,3.50,3.68,2.01,994.6,110.0
Matemática,99.7180,70.5980,31.1640,13.0170,0.0000,0.0000,19.59,2.61,3.10,1.45,989.8,79.4
Música,37.3810,15.5410,7.9740,3.0860,0.0000,0.0000,10.02,4.99,9.04,3.08,788.4,133.6
