team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Biologia,4.5354,0.3554,0.1242,0.0641,0.0000,0.0000,5.68,0.38,10.93,1.11,629.6,68.5
Ciências Biomédicas,47.9528,0.8865,0.2155,0.0916,0.0000,0.0000,10.00,0.00,8.40,0.71,729.0,0.0
Contabilidade,69.8295,1.1521,0.2836,0.1059,0.0000,0.0000,10.18,0.31,8.12,0.86,687.1,46.0
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.02,0.00,12.64,0.48,408.2,4.5
Eng. Biomédica,100.0000,91.1668,47.9880,28.2308,0.0000,0.0000,22.64,0.14,1.85,0.94,1045.1,81.0
Eng. Civil,100.0000,76.1903,37.6686,11.1995,0.0000,0.0000,17.33,0.17,4.06,0.51,937.6,43.4
Eng. Eletrónica e Telecomunicações,100.0000,11.2838,4.1562,0.9981,0.0000,0.0000,12.00,0.00,5.62,0.78,741.0,0.0
Eng. Mecânica,83.1910,15.2674,6.6594,2.0996,0.0000,0.0000,11.87,0.16,6.82,1.74,777.5,63.4
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.00,0.00,10.19,0.40,635.0,0.0
Eng. e Gestão Industrial,91.9469,18.6053,9.1585,2.5202,0.0000,0.0000,11.62,0.00,6.13,1.05,788.3,34.7
Fisioterapia,100.0000,87.6435,44.8304,20.1869,0.0000,0.0000,19.18,0.13,2.72,0.64,1006.0,52.0
Matemática,100.0000,97.3859,48.8965,34.4929,0.0000,0.0000,23.94,0.04,1.53,0.50,1088.7,18.1
Música,2.5444,0.0630,0.0191,0.0104,0.0000,0.0000,2.11,0.51,11.98,1.02,562.9,75.2
