team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.2300,0.9100,0.2000,0.0400,2.7300,0.0000,15.10,3.64,15.93,6.18,683.9,102.4
Automação e Sistemas de Produção,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.18,3.47,33.10,5.61,415.0,108.0
Biologia,0.3200,0.0000,0.0000,0.0000,0.3200,0.0000,7.14,3.07,29.65,5.39,403.9,94.3
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.53,3.34,33.81,5.34,384.0,122.6
Bioquímica,51.6000,27.6400,17.0000,8.1400,0.0000,10.3100,17.69,5.63,13.22,8.32,992.9,140.3
Biotecnologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.71,3.40,33.12,5.43,359.2,95.9
Ciências Biomédicas,3.1000,2.6100,0.5700,0.1000,4.5300,0.0000,14.53,4.17,17.39,6.93,592.8,122.4
Ciências do Mar,0.7100,0.0100,0.0000,0.0000,0.9300,0.0000,10.84,3.54,24.66,6.31,530.9,117.9
Contabilidade,63.7900,32.2100,16.8100,7.3900,0.0000,5.3700,19.11,5.01,10.41,6.72,988.9,130.6
Design,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.52,3.47,33.30,5.48,387.8,121.0
Economia,36.4000,9.6300,1.4800,0.1300,36.6000,0.0000,20.02,3.02,8.80,4.37,688.8,104.9
Enfermagem,36.7400,12.9300,8.0300,3.6100,0.0000,19.2500,15.38,4.92,16.87,8.12,953.0,130.4
Eng. Aeroespacial,0.0300,0.0700,0.0200,0.0100,0.1400,0.0000,8.90,3.66,26.93,6.48,479.1,106.8
Eng. Biomédica,42.7900,19.5900,12.6000,6.1500,0.0000,9.7900,15.94,4.74,14.54,7.50,994.2,133.6
Eng. Civil,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,6.58,4.27,30.95,7.04,396.0,126.6
Eng. Computacional,39.8500,3.9800,0.5200,0.0500,39.8500,0.0000,18.48,3.46,11.54,5.32,604.2,104.9
Eng. Computadores e Telemática,78.9600,54.2500,13.2000,2.3800,86.4000,0.0000,24.59,2.41,3.79,2.44,923.8,71.1
Eng. Eletrónica e Telecomunicações,5.5600,0.9400,0.5900,0.2800,0.0000,65.9900,7.76,4.89,28.50,8.20,845.3,126.1
Eng. Física,0.7800,0.1100,0.1000,0.0600,0.0000,88.5100,4.29,4.24,34.73,6.48,757.4,132.5
Eng. Informática,0.1500,0.0000,0.0000,0.0000,0.1500,0.0000,13.83,3.33,18.68,5.87,566.2,104.0
Eng. Mecânica,99.8100,88.4300,56.7600,37.9300,0.0000,0.0000,29.91,3.03,1.44,1.27,1213.7,94.7
Eng. Mecânica B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.74,4.44,28.91,7.37,424.7,128.3
Eng. Química,8.9200,1.5000,0.8100,0.4100,0.0000,54.6300,10.16,4.97,25.44,8.44,828.6,133.5
Eng. de Materiais,62.6100,14.0600,2.5700,0.1600,62.6900,0.0000,21.15,2.66,7.15,3.63,728.0,93.6
Eng. do Ambiente,1.7800,0.0300,0.0000,0.0000,1.7800,0.0000,9.61,3.91,26.61,6.82,399.6,112.7
Eng. e Gestão Industrial,19.0200,4.3400,2.8200,1.4000,0.0000,29.8900,13.08,4.42,20.13,7.54,901.0,125.4
Eng. e Gestão Industrial B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.36,3.41,10.17,5.14,664.6,96.2
Finanças,90.7300,63.7400,36.1000,18.7600,0.0000,0.1400,23.97,4.16,5.37,4.40,1109.9,111.8
Fisioterapia,15.5400,2.5000,1.5200,0.8600,0.0000,28.1700,13.17,4.30,20.52,7.45,921.0,119.4
Gestão,2.7800,0.0000,0.0000,0.0000,2.7800,0.0000,12.94,3.33,19.69,5.90,554.1,100.1
Gestão Pública,12.9800,11.4200,2.2500,0.2200,17.8700,0.0000,19.72,4.05,10.43,5.97,696.3,119.9
Gestão e Planeamento em Turismo,64.7200,37.7300,24.1100,11.8000,0.0000,6.2800,19.37,5.21,10.98,7.68,1048.7,132.6
Línguas e Relações Empresariais,0.2500,0.0000,0.0000,0.0000,0.2500,0.0000,10.41,3.60,24.73,6.39,463.1,106.4
MOC,0.0400,0.0000,0.0000,0.0000,0.0400,0.0000,4.22,2.98,33.99,4.73,333.6,96.3
MTC,0.0200,0.0300,0.0100,0.0000,0.0300,0.0000,9.50,3.68,25.79,6.52,459.7,113.3
Marketing,4.6800,3.8700,0.6900,0.0400,5.6300,0.0000,16.64,3.98,13.69,6.43,619.6,116.0
Matemática,54.9800,7.4600,1.2400,0.0800,55.0200,0.0000,18.75,3.57,10.33,5.36,663.7,107.4
Música,0.0900,0.0100,0.0000,0.0000,0.4400,0.0000,10.70,3.74,24.70,6.59,540.0,123.2
Psicologia,0.0400,0.0000,0.0000,0.0000,0.0800,0.0000,11.62,3.59,23.04,6.39,505.7,118.1
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.90,2.16,36.98,3.15,251.7,75.1
