team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.25,3.09,7.54,1.44,495.6,112.0
Automação e Sistemas de Produção,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.47,1.94,7.53,0.74,460.0,64.8
Biologia,0.0230,0.0000,0.0000,0.0000,0.0230,0.0000,7.01,2.79,6.57,1.02,385.1,81.7
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.75,1.32,8.96,0.26,296.1,47.2
Bioquímica,82.8200,51.6240,27.6890,10.7500,0.0000,0.0510,21.13,3.06,3.81,1.59,1076.1,109.5
Biotecnologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.88,2.46,9.73,0.74,288.3,93.1
Ciências Biomédicas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.91,2.10,5.67,1.14,476.9,66.1
Ciências do Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.83,2.20,4.23,1.19,583.2,66.6
Contabilidade,52.5530,22.9960,10.7530,4.0980,0.0000,0.2180,18.01,3.41,5.25,1.89,972.2,113.7
Design,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.27,1.62,7.14,0.76,373.0,57.8
Economia,0.0360,0.0000,0.0000,0.0000,0.0360,0.0000,14.67,1.44,4.11,0.86,493.0,49.5
Enfermagem,12.2920,2.1490,1.0050,0.4750,0.0000,37.7860,12.42,4.21,8.32,2.05,868.8,123.9
Eng. Aeroespacial,0.1140,1.5410,0.3150,0.0150,2.0940,0.0000,16.94,1.87,3.30,0.92,694.8,61.8
Eng. Biomédica,22.3040,5.2330,2.3660,1.2330,0.0000,7.4420,14.67,3.16,6.95,1.73,961.4,111.2
Eng. Civil,0.0000,0.0000,0.0000,0.0000,0.0070,0.0000,8.84,3.21,7.35,1.71,450.8,125.5
Eng. Computacional,59.6980,2.8500,0.1370,0.0010,59.6980,0.0000,18.65,2.10,2.44,0.84,588.1,64.2
Eng. Computadores e Telemática,93.5790,59.3450,9.8670,2.3010,93.8670,0.0000,25.79,2.04,1.09,0.40,953.3,88.0
Eng. Eletrónica e Telecomunicações,0.0720,0.0000,0.0000,0.0000,0.0000,80.4680,5.93,3.79,10.49,1.33,789.1,119.9
Eng. Física,0.0000,0.0000,0.0000,0.0000,0.0000,99.4810,1.39,2.12,11.73,0.52,667.4,106.9
Eng. Informática,0.4390,0.1120,0.0020,0.0000,0.4790,0.0000,15.99,1.70,2.73,0.98,647.2,56.4
Eng. Mecânica,100.0000,94.0910,72.6280,46.4980,0.0000,0.0000,32.31,1.33,1.01,0.08,1285.4,43.3
Eng. Mecânica B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.64,2.34,6.79,1.26,496.4,94.3
Eng. Química,2.9470,0.4830,0.2970,0.1790,0.0000,54.4630,10.18,3.39,9.25,1.60,832.9,124.4
Eng. de Materiais,99.2060,15.9390,1.3090,0.0590,99.2060,0.0000,23.30,1.35,1.01,0.11,763.8,42.0
Eng. do Ambiente,0.4970,0.0010,0.0000,0.0000,0.4970,0.0000,10.48,2.89,5.55,1.11,418.5,107.4
Eng. e Gestão Industrial,21.2860,8.0690,5.0410,2.4300,0.0000,12.7160,14.41,3.62,7.23,2.01,955.8,130.6
Eng. e Gestão Industrial B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.63,1.78,1.24,0.58,741.5,54.7
Finanças,89.2540,57.3850,27.4480,14.4160,0.0000,0.0000,22.86,3.51,3.25,1.52,1099.6,118.0
Fisioterapia,26.2710,7.3000,4.1450,2.3440,0.0000,14.4560,14.45,3.76,7.08,1.99,948.1,127.9
Gestão,5.9510,0.0240,0.0010,0.0010,5.9660,0.0000,16.81,1.85,3.56,0.90,676.8,86.2
Gestão Pública,5.9070,9.3500,1.1990,0.0690,9.0950,0.0000,19.65,2.63,2.48,1.03,702.7,96.3
Gestão e Planeamento em Turismo,90.2010,58.7680,35.4940,15.1160,0.0000,0.0280,21.93,2.78,3.63,1.34,1109.2,113.0
Línguas e Relações Empresariais,0.3270,0.0010,0.0000,0.0000,0.3730,0.0000,10.63,3.05,5.45,1.13,494.2,106.6
MOC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.02,1.46,8.04,0.57,261.7,52.6
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.49,3.52,7.52,1.60,423.8,118.8
Marketing,0.4000,1.1190,0.1660,0.0080,0.8360,0.0000,16.53,2.13,3.53,0.97,631.4,67.8
Matemática,33.5040,1.5710,0.1330,0.0060,33.5040,0.0000,15.61,3.20,3.35,1.42,576.3,119.8
Música,0.3190,0.0490,0.0050,0.0010,1.3770,0.0000,15.26,2.34,3.28,1.25,655.4,88.0
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.22,2.39,6.03,0.99,462.8,75.4
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.57,1.11,8.80,0.42,202.7,39.8
