team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Adminstração Pública,0.0000,0.0000,0.0000,0.0000,0.6200,0.0000,21.00,0.11,12.38,1.15,1499.8,4.1
Biologia,97.5900,51.8100,34.0700,9.7300,0.0000,0.1200,24.61,2.73,7.17,3.41,1186.8,85.8
Biologia e Geologia,3.5000,3.8200,0.2500,0.0000,3.8100,0.0000,19.20,4.07,12.45,5.60,587.2,120.7
Bioquímica,16.5800,5.4900,0.4300,0.0000,17.4400,0.0000,18.37,4.08,13.02,5.88,613.2,136.5
Ciências Biomédicas,77.4500,21.8100,12.4700,5.2700,0.0000,0.7300,19.93,4.22,12.11,5.79,1078.3,136.7
Ciências Biomédicas B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.83,3.55,27.90,3.53,374.6,110.0
Contabilidade,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.85,4.71,22.42,5.05,458.3,139.5
Design,41.6600,2.4900,1.3000,0.6000,0.0000,3.2300,15.23,3.80,17.46,5.10,952.0,128.0
Economia,2.9700,4.5200,0.3500,0.0000,5.1100,0.0000,18.60,4.68,14.16,6.26,602.1,149.8
Educação Básica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.60,3.28,25.63,3.53,354.4,103.3
Eng. Biomédica,0.0100,0.0000,0.0000,0.0000,0.0000,99.9000,0.83,1.69,33.05,1.16,620.2,56.6
Eng. Civil,6.3600,0.1000,0.0700,0.0300,0.0000,26.6500,10.73,3.28,23.40,3.75,867.9,128.9
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.43,3.01,32.35,2.33,264.7,120.5
Eng. Eletrónica e Telecomunicações,100.0000,93.8700,68.9700,47.8100,0.0000,0.0000,31.33,2.23,1.52,1.08,1359.9,70.8
Eng. Física,2.4500,1.8400,0.0500,0.0000,4.6200,0.0000,17.71,4.64,16.07,6.17,585.4,140.6
Eng. Informática,62.3700,9.7000,6.0000,2.0400,0.0000,5.5000,17.84,4.34,14.79,5.96,1044.9,132.7
Eng. Mecânica,1.4800,0.4700,0.0200,0.0000,1.6000,0.0000,18.76,3.82,15.01,5.18,545.4,131.1
Eng. Química,66.7900,26.3200,1.1000,0.0300,66.8200,0.0000,24.01,3.67,5.63,4.63,705.6,131.4
Eng. de Materiais,0.0200,0.0000,0.0000,0.0000,0.0000,96.7600,4.02,1.78,30.19,1.69,674.0,57.9
Eng. do Ambiente,34.8800,19.5400,1.4300,0.0400,39.4500,0.0000,25.37,2.38,5.69,2.90,729.7,96.9
Eng. e Gestão Industrial,99.9900,84.7300,46.5800,25.2900,0.0000,0.0000,27.15,2.31,2.83,1.96,1276.4,73.6
Fisioterapia,90.0900,40.6700,24.3300,8.9400,0.0000,0.1400,23.44,3.99,8.72,5.02,1128.7,134.0
Geologia,3.1700,0.0900,0.0600,0.0100,0.0000,47.2700,10.82,2.97,24.31,3.31,827.2,89.7
Gestão,6.9800,3.2100,0.1400,0.0000,7.0300,0.0000,15.29,4.99,16.75,6.63,471.3,141.0
Gestão Comercial,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.78,4.45,26.71,4.37,341.2,141.8
Gestão e Planeamento em Turismo,21.2900,0.7900,0.3500,0.1700,0.0000,31.6800,12.07,4.62,21.76,5.53,886.7,140.9
Línguas e Relações Empresariais,12.0900,5.8300,0.4000,0.0100,12.1200,0.0000,19.03,4.36,12.23,5.78,546.7,133.4
"Línguas, Literaturas e Culturas",14.1900,5.8600,0.6300,0.0200,14.8400,0.0000,20.05,4.34,13.83,5.75,607.1,134.1
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.24,4.65,20.14,5.59,494.3,139.7
Marketing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.31,2.34,32.01,1.80,198.6,77.5
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.39,2.51,29.14,2.46,283.3,86.9
Música,1.6400,0.7700,0.0500,0.0000,1.7200,0.0000,17.85,3.26,15.48,4.55,537.0,95.8
Psicologia,36.4400,16.2000,0.9500,0.0100,36.7800,0.0000,23.08,4.03,7.89,5.18,633.3,134.0
Tradução,0.0100,0.0700,0.0000,0.0000,0.0200,0.0000,12.27,4.43,20.81,5.55,411.8,131.6
