team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Adminstração Pública,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.01,0.64,6.83,1.55,500.3,84.1
Biologia,100.0000,54.7046,25.9896,14.2562,0.0000,0.0000,24.76,0.09,3.56,0.83,1206.4,56.1
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.93,0.21,6.13,1.19,540.0,67.1
Bioquímica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.80,0.35,4.96,1.30,520.3,70.4
Ciências Biomédicas,54.8111,0.0002,0.0001,0.0001,0.0000,1.4520,17.06,1.06,6.45,1.15,1008.1,127.3
Ciências Biomédicas B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.05,0.35,9.05,0.40,353.7,79.6
Contabilidade,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.46,0.71,7.08,1.57,460.8,81.7
Design,99.8837,13.9553,5.4501,1.9616,0.0000,0.0000,20.50,0.24,5.01,0.80,1092.1,70.1
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.61,0.49,8.07,0.43,439.2,96.2
Educação Básica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.04,0.38,10.70,0.52,203.8,58.3
Eng. Biomédica,0.0000,0.0000,0.0000,0.0000,0.0000,99.9943,0.24,0.13,11.93,0.26,596.4,31.4
Eng. Civil,0.0074,0.0000,0.0000,0.0000,0.0000,36.0501,9.18,0.05,9.34,0.52,828.2,27.5
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.43,0.06,10.27,0.44,291.1,40.6
Eng. Eletrónica e Telecomunicações,100.0000,75.7446,49.3821,22.9597,0.0000,0.0000,27.70,0.32,2.47,1.32,1259.9,72.3
Eng. Física,13.6389,8.4415,0.2660,0.0109,17.1372,0.0000,21.43,0.41,3.26,1.61,721.0,75.3
Eng. Informática,34.0691,0.0000,0.0000,0.0000,0.0000,0.3180,14.98,0.78,6.96,0.83,958.9,76.3
Eng. Mecânica,0.0379,0.3914,0.0039,0.0000,0.0379,0.0000,18.90,0.29,4.57,1.39,555.7,51.0
Eng. Química,25.7434,9.4344,0.1971,0.0047,25.7434,0.0000,22.54,0.33,2.51,1.43,649.9,88.9
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.0000,99.9778,3.07,0.04,11.07,0.26,643.4,17.6
Eng. do Ambiente,89.7098,32.8766,0.5112,0.0182,89.7098,0.0000,29.63,0.15,1.10,0.30,760.4,37.7
Eng. e Gestão Industrial,100.0000,86.0804,60.5264,29.0632,0.0000,0.0000,28.65,0.28,1.70,0.88,1291.0,56.9
Fisioterapia,100.0000,90.7767,56.8540,31.6978,0.0000,0.0000,29.09,0.09,2.50,0.90,1304.6,53.0
Geologia,0.3353,0.0000,0.0000,0.0000,0.0000,61.2832,10.49,0.40,9.29,1.00,808.6,68.3
Gestão,1.6882,1.4202,0.0253,0.0008,1.6883,0.0000,20.02,0.52,4.85,1.66,571.9,81.6
Gestão Comercial,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.87,0.42,6.81,1.53,443.8,86.8
Gestão e Planeamento em Turismo,10.8934,0.0000,0.0000,0.0000,0.0000,4.5963,12.28,0.31,7.72,0.96,905.4,74.8
Línguas e Relações Empresariais,0.0000,0.0065,0.0001,0.0000,0.0000,0.0000,16.17,0.75,4.70,1.54,439.1,85.6
"Línguas, Literaturas e Culturas",58.8706,15.9673,0.4710,0.0171,58.8706,0.0000,25.69,0.12,1.67,0.88,759.4,58.4
MTC,0.0000,0.0004,0.0000,0.0000,0.0000,0.0000,19.24,0.51,3.82,1.21,581.0,71.8
Marketing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.90,0.28,10.92,0.38,177.5,57.7
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.76,0.26,9.93,0.42,249.2,53.4
Música,0.0210,0.3613,0.0033,0.0002,0.0210,0.0000,17.18,0.40,5.04,1.36,470.8,68.7
Psicologia,10.2902,9.8386,0.3198,0.0095,10.4635,0.0000,26.53,0.16,1.90,0.30,731.0,43.3
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.82,0.61,7.83,1.46,328.3,84.6
