team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,19.0000,20.1300,3.3000,0.1300,38.8300,0.0000,25.69,2.92,6.99,3.05,765.9,91.2
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.83,3.37,15.55,3.78,667.9,112.6
Bioquímica,0.0300,0.0500,0.0200,0.0000,0.7000,0.0000,12.94,4.40,18.94,4.84,501.4,128.1
Biotecnologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.96,2.74,32.67,2.25,251.7,84.1
Ciências Biomédicas,6.0400,3.3200,0.8100,0.0500,11.4900,0.0000,21.92,3.03,10.58,3.20,702.2,101.9
Ciências do Mar,29.6500,1.0300,0.6700,0.5000,0.0000,11.3200,13.92,3.93,19.23,4.51,900.3,124.2
Contabilidade,32.5500,8.8200,0.7900,0.0000,32.5500,0.0000,26.62,3.14,7.03,3.38,624.1,95.5
Design,99.7700,78.1700,39.7200,19.8000,0.0000,0.0000,27.90,2.56,3.75,2.46,1206.6,78.5
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.71,3.19,29.39,3.03,399.1,103.2
Eng. Biomédica,5.4100,0.0000,0.0000,0.0000,0.0000,45.5800,11.93,3.48,22.83,4.22,782.8,98.0
Eng. Civil,0.1400,0.1200,0.0000,0.0000,0.1400,0.0000,16.45,3.97,15.69,4.34,438.5,136.1
Eng. Computacional,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.50,4.17,22.94,4.93,315.9,131.1
Eng. Computadores e Telemática,0.0200,0.0000,0.0000,0.0000,0.0000,97.6800,2.40,2.86,31.98,2.18,638.4,83.6
Eng. Eletrónica e Telecomunicações,99.7800,48.7100,35.7700,11.7700,0.0000,0.0000,24.99,3.10,6.85,3.17,1144.6,90.0
Eng. Eletrónica e Telecomunicações B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.71,3.90,29.23,4.04,154.0,119.4
Eng. Física,55.4900,14.0200,1.7800,0.0700,55.4900,0.0000,26.88,3.76,6.56,3.82,678.6,126.9
Eng. Informática,99.4800,51.8000,34.6300,17.9200,0.0000,0.0000,26.06,4.33,6.24,4.06,1152.2,130.3
Eng. Informática B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.89,4.78,18.21,5.36,376.9,142.8
Eng. Mecânica,76.7800,5.5600,3.5000,1.6500,0.0000,2.1300,19.28,3.98,14.39,4.26,983.2,121.6
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.1200,0.0000,9.78,3.83,23.22,4.51,470.3,126.3
Eng. do Ambiente,1.2800,5.6900,1.3600,0.0800,14.0800,0.0000,20.82,4.31,12.17,4.59,683.3,134.5
Eng. e Gestão Industrial,99.9100,85.6000,57.4100,44.3100,0.0000,0.0000,30.90,3.13,1.98,2.28,1282.3,113.1
Fisioterapia,73.6500,59.8100,14.3900,1.1600,89.1700,0.0000,28.95,1.86,3.84,2.07,947.9,61.0
Física,11.6600,7.8300,0.6900,0.0100,12.0100,0.0000,22.70,3.34,8.46,3.49,572.3,122.7
Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.18,2.94,25.78,3.49,476.2,103.5
Gestão,0.1600,0.7900,0.0600,0.0000,0.1700,0.0000,16.80,4.85,14.47,5.28,451.4,151.1
Gestão e Planeamento em Turismo,7.3500,0.0000,0.0000,0.0000,0.0000,58.8600,7.73,4.26,25.81,4.79,790.7,124.3
Línguas e Relações Empresariais,80.5900,8.5500,5.1000,2.5500,0.0000,3.3800,18.92,4.23,12.58,4.44,1027.1,128.8
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.33,4.18,20.38,4.98,373.1,136.8
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.80,3.24,21.33,3.90,303.5,115.6
Medicina,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.22,3.27,21.31,3.89,418.6,98.5
Música,0.3300,0.0000,0.0000,0.0000,0.0000,57.5800,7.37,4.40,26.78,4.59,783.1,137.0
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.32,3.44,29.61,3.45,166.8,115.5
Tecnologias de Informação,0.9300,0.0000,0.0000,0.0000,0.0000,78.2200,6.60,3.89,28.25,3.99,727.7,131.0
