team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,35.2100,24.9900,1.7400,0.2000,53.4700,0.0000,27.61,0.32,1.65,0.48,836.3,56.1
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.87,0.25,6.84,0.79,480.3,65.1
Bioquímica,0.0000,1.3300,0.1200,0.0000,0.0500,0.0000,21.30,0.04,4.39,0.74,738.6,42.1
Biotecnologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.29,0.21,7.99,1.11,414.5,63.9
Ciências Biomédicas,0.0500,2.0500,0.0900,0.0100,0.3700,0.0000,20.66,0.11,3.35,0.76,661.9,53.3
Ciências do Mar,42.0100,0.0100,0.0100,0.0100,0.0000,2.9600,15.79,0.60,6.69,1.31,977.5,84.5
Contabilidade,98.3000,13.9300,0.3100,0.0000,98.3000,0.0000,29.04,0.12,1.02,0.15,644.4,55.5
Design,99.8500,51.1700,22.3400,11.1200,0.0000,0.0000,25.76,0.38,3.84,0.83,1158.1,63.9
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.15,0.22,10.99,0.11,343.2,58.0
Eng. Biomédica,60.0600,0.0200,0.0100,0.0000,0.0000,2.1300,15.65,0.41,6.49,0.98,835.2,76.4
Eng. Civil,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.29,0.05,4.79,0.58,492.3,44.7
Eng. Computacional,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.57,0.22,8.81,0.88,310.3,70.6
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,99.4900,2.42,0.56,11.16,0.87,610.4,81.6
Eng. Eletrónica e Telecomunicações,100.0000,61.5700,33.2100,14.5400,0.0000,0.0000,25.47,0.39,2.91,1.07,1154.1,76.6
Eng. Eletrónica e Telecomunicações B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.76,0.36,9.21,0.97,204.6,73.7
Eng. Física,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,21.52,0.14,3.80,0.66,533.4,58.9
Eng. Informática,100.0000,90.7100,71.6200,48.6200,0.0000,0.0000,32.14,0.14,1.26,0.51,1308.2,56.2
Eng. Informática B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.53,0.28,2.99,0.76,583.9,60.2
Eng. Mecânica,89.7400,8.7400,4.1900,1.9700,0.0000,0.0000,20.73,0.43,5.18,0.92,1023.9,77.5
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.94,0.32,9.96,0.24,352.4,94.7
Eng. do Ambiente,0.0000,0.0100,0.0100,0.0000,0.0000,0.0000,20.09,0.25,4.21,0.63,645.3,56.1
Eng. e Gestão Industrial,100.0000,86.5200,61.0500,22.1100,0.0000,0.0000,28.63,0.37,2.27,0.72,1215.0,62.6
Fisioterapia,64.7400,38.3900,4.7300,1.4000,90.4000,0.0000,28.60,0.38,1.41,0.62,950.3,69.5
Física,1.7000,20.5200,0.5700,0.0200,1.8400,0.0000,25.80,0.28,2.43,0.85,697.2,62.7
Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.71,0.10,8.39,0.78,500.9,50.6
Gestão,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.76,0.25,8.50,1.13,216.2,87.8
Gestão e Planeamento em Turismo,0.0000,0.0000,0.0000,0.0000,0.0000,99.5100,4.79,0.59,10.71,0.80,719.3,86.6
Línguas e Relações Empresariais,3.0500,0.0000,0.0000,0.0000,0.0000,28.8600,10.61,0.47,8.30,0.88,870.6,70.6
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.39,0.25,5.98,0.21,371.5,45.2
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.12,0.14,7.49,0.71,265.7,63.5
Medicina,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.77,0.32,6.82,0.90,391.5,54.4
Música,0.0000,0.0000,0.0000,0.0000,0.0000,99.9700,2.90,0.52,11.09,0.77,649.0,76.0
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.22,0.34,10.97,0.16,135.4,83.1
Tecnologias de Informação,5.2900,0.0000,0.0000,0.0000,0.0000,11.5100,13.10,0.40,8.08,0.87,873.7,57.7
