team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Administração Pública,0.0000,0.0000,0.0004,45.9003,0.0004,46.1742,15.0780
Biotecnologia,100.0000,54.5780,0.0000,0.0000,0.0010,54.4720,38.2120
Contabilidade,29.3670,44.7747,0.0003,54.5374,0.0000,0.0000,8.5750
Design,0.4620,41.7749,0.0000,54.5455,0.0000,0.0000,0.1260
Eng. Biomédica,0.0000,0.0000,0.0003,43.1216,0.0003,43.9777,6.4180
Eng. Civil,27.8310,44.2851,0.0003,55.0825,0.0000,0.0000,8.9130
Eng. Computacional,0.0000,0.0000,0.0002,46.3155,0.0002,46.5398,4.2390
Eng. Física,0.0000,0.0000,0.0001,44.1968,0.0001,45.8076,2.4070
Gestão,0.0000,0.0000,0.0000,44.2411,0.0000,44.7793,0.7180
Gestão e Planeamento em Turismo,8.7070,47.3527,0.0001,55.2429,0.0000,0.0000,3.1760
Línguas e Relações Empresariais,33.6330,46.4782,0.0003,55.3801,0.0000,0.0000,12.1380
