team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Administração Pública,72.7770,41.8686,0.0001,70.9296,0.0000,0.0000,27.2567
Bioquímica,4.6805,48.9392,0.0000,76.5025,0.0000,0.0000,2.1083
Ciências Biomédicas,4.0148,37.0255,0.0000,66.5313,0.0000,0.0000,1.3184
Ciências do Mar,4.7232,57.7320,0.0000,0.0000,0.0000,77.9747,2.3296
Contabilidade,0.0000,0.0000,0.0000,3.8265,0.0000,3.5714,0.0010
Eng. Biomédica,9.5728,28.7053,0.0000,0.0000,0.0000,54.3477,1.9503
Eng. Civil,0.0000,0.0000,0.0000,11.5362,0.0000,11.3155,0.0209
Eng. Computadores e Telemática,6.2026,43.3157,0.0000,0.0000,0.0000,66.6172,2.1401
Eng. Física,0.0000,0.0000,0.0000,14.9683,0.0000,14.1829,0.1476
Fisioterapia,18.5277,57.4394,0.0000,82.4474,0.0000,0.0000,9.7947
Física,0.0000,0.0000,0.0001,27.4348,0.0001,25.2740,10.7205
Gestão e Planeamento em Turismo,0.6733,53.8839,0.0000,0.0000,0.0000,75.2562,0.3221
Línguas e Relações Empresariais,73.9954,59.4841,0.0000,0.0000,0.0001,78.5161,39.6414
Música,0.0303,52.1452,0.0000,0.0000,0.0000,75.2475,0.0146
Tecnologias de Informação,4.8024,53.1922,0.0000,0.0000,0.0000,74.9500,2.2338
