team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Administração Pública,LM2:Línguas e Relações Empresariais|LM3:Tecnologias de Informação,LM2,Línguas e Relações Empresariais,45.4125,0.0000,54.5875,LM3,Tecnologias de Informação,44.7525,0.0000,55.2475,15.1500,32.7393
Administração Pública,LM2:Contabilidade|LM3:Tecnologias de Informação,LM2,Contabilidade,46.8003,0.0000,53.1997,LM3,Tecnologias de Informação,45.1812,0.0000,54.8188,12.9700,35.2352
Administração Pública,LM2:Eng. Civil|LM3:Tecnologias de Informação,LM2,Eng. Civil,43.9162,0.0000,56.0838,LM3,Tecnologias de Informação,44.3191,0.0000,55.6809,12.4100,32.4738
Administração Pública,LM2:Gestão e Planeamento em Turismo|LM3:Tecnologias de Informação,LM2,Gestão e Planeamento em Turismo,44.3005,0.0000,55.6995,LM3,Tecnologias de Informação,48.4456,0.0000,51.5544,3.8600,38.3420
Administração Pública,LM2:Design|LM3:Tecnologias de Informação,LM2,Design,23.5294,0.0000,76.4706,LM3,Tecnologias de Informação,47.0588,0.0000,52.9412,0.1700,11.7647
Contabilidade,LM1:Tecnologias de Informação|LM2:Administração Pública,LM1,Tecnologias de Informação,43.4850,0.0000,56.5150,LM2,Administração Pública,53.1997,0.0000,46.8003,12.9700,24.0555
Contabilidade,LM1:Tecnologias de Informação|LM2:Eng. Biomédica,LM1,Tecnologias de Informação,41.9476,0.0000,58.0524,LM2,Eng. Biomédica,56.6792,0.0000,43.3208,8.0100,37.9526
Contabilidade,LM1:Tecnologias de Informação|LM2:Eng. Computacional,LM1,Tecnologias de Informação,47.5610,0.0000,52.4390,LM2,Eng. Computacional,56.0976,0.0000,43.9024,4.9200,39.8374
Contabilidade,LM1:Tecnologias de Informação|LM2:Eng. Física,LM1,Tecnologias de Informação,43.5798,0.0000,56.4202,LM2,Eng. Física,50.5837,0.0000,49.4163,2.5700,38.9105
Contabilidade,LM1:Tecnologias de Informação|LM2:Gestão,LM1,Tecnologias de Informação,38.5542,0.0000,61.4458,LM2,Gestão,51.8072,0.0000,48.1928,0.8300,33.7349
Design,LM1:Tecnologias de Informação|LM2:Administração Pública,LM1,Tecnologias de Informação,52.9412,0.0000,47.0588,LM2,Administração Pública,76.4706,0.0000,23.5294,0.1700,47.0588
Design,LM1:Tecnologias de Informação|LM2:Eng. Biomédica,LM1,Tecnologias de Informação,77.7778,0.0000,22.2222,LM2,Eng. Biomédica,44.4444,0.0000,55.5556,0.0900,33.3333
Design,LM1:Tecnologias de Informação|LM2:Eng. Computacional,LM1,Tecnologias de Informação,25.0000,0.0000,75.0000,LM2,Eng. Computacional,25.0000,0.0000,75.0000,0.0800,0.0000
Design,LM1:Tecnologias de Informação|LM2:Eng. Física,LM1,Tecnologias de Informação,60.0000,0.0000,40.0000,LM2,Eng. Física,60.0000,0.0000,40.0000,0.0500,60.0000
Design,LM1:Tecnologias de Informação|LM2:Gestão,LM1,Tecnologias de Informação,100.0000,0.0000,0.0000,LM2,Gestão,50.0000,0.0000,50.0000,0.0200,50.0000
Eng. Biomédica,LM2:Línguas e Relações Empresariais|LM3:Tecnologias de Informação,LM2,Línguas e Relações Empresariais,41.9355,0.0000,58.0645,LM3,Tecnologias de Informação,45.5914,0.0000,54.4086,9.3000,33.5484
Eng. Biomédica,LM2:Eng. Civil|LM3:Tecnologias de Informação,LM2,Eng. Civil,40.8485,0.0000,59.1515,LM3,Tecnologias de Informação,46.5455,0.0000,53.4545,8.2500,34.1818
Eng. Biomédica,LM2:Contabilidade|LM3:Tecnologias de Informação,LM2,Contabilidade,43.3208,0.0000,56.6792,LM3,Tecnologias de Informação,44.3196,0.0000,55.6804,8.0100,19.6005
Eng. Biomédica,LM2:Gestão e Planeamento em Turismo|LM3:Tecnologias de Informação,LM2,Gestão e Planeamento em Turismo,44.2982,0.0000,55.7018,LM3,Tecnologias de Informação,37.7193,0.0000,62.2807,2.2800,27.6316
Eng. Biomédica,LM2:Design|LM3:Tecnologias de Informação,LM2,Design,55.5556,0.0000,44.4444,LM3,Tecnologias de Informação,55.5556,0.0000,44.4444,0.0900,33.3333
Eng. Civil,LM1:Tecnologias de Informação|LM2:Administração Pública,LM1,Tecnologias de Informação,46.0113,0.0000,53.9887,LM2,Administração Pública,56.0838,0.0000,43.9162,12.4100,25.7051
Eng. Civil,LM1:Tecnologias de Informação|LM2:Eng. Biomédica,LM1,Tecnologias de Informação,45.2121,0.0000,54.7879,LM2,Eng. Biomédica,59.1515,0.0000,40.8485,8.2500,27.2727
Eng. Civil,LM1:Tecnologias de Informação|LM2:Eng. Computacional,LM1,Tecnologias de Informação,46.1053,0.0000,53.8947,LM2,Eng. Computacional,53.8947,0.0000,46.1053,4.7500,37.6842
Eng. Civil,LM1:Tecnologias de Informação|LM2:Eng. Física,LM1,Tecnologias de Informação,43.3884,0.0000,56.6116,LM2,Eng. Física,50.0000,0.0000,50.0000,2.4200,33.8843
Eng. Civil,LM1:Tecnologias de Informação|LM2:Gestão,LM1,Tecnologias de Informação,43.3333,0.0000,56.6667,LM2,Gestão,48.3333,0.0000,51.6667,0.6000,33.3333
