team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Administração Pública,LM2:Línguas e Relações Empresariais|LM3:Eng. Aeroespacial,LM2,Línguas e Relações Empresariais,47.4661,0.0000,52.5339,LM3,Eng. Aeroespacial,45.7530,0.0000,54.2470,2.8020,34.6538
Administração Pública,LM2:Eng. Civil|LM3:Eng. Aeroespacial,LM2,Eng. Civil,45.6114,0.0000,54.3886,LM3,Eng. Aeroespacial,47.1868,0.0000,52.8132,2.6660,35.9715
Administração Pública,LM2:Línguas e Relações Empresariais|LM3:Tecnologias de Informação,LM2,Línguas e Relações Empresariais,45.6555,0.0000,54.3445,LM3,Tecnologias de Informação,44.8552,0.0000,55.1448,2.6240,34.7942
Administração Pública,LM2:Contabilidade|LM3:Eng. Aeroespacial,LM2,Contabilidade,47.0227,0.0000,52.9773,LM3,Eng. Aeroespacial,43.1425,0.0000,56.8575,2.6030,32.5010
Administração Pública,LM2:Contabilidade|LM3:Tecnologias de Informação,LM2,Contabilidade,45.8561,0.0000,54.1439,LM3,Tecnologias de Informação,44.2924,0.0000,55.7076,2.5580,33.3464
Administração Pública,LM2:Eng. Civil|LM3:Tecnologias de Informação,LM2,Eng. Civil,45.6918,0.0000,54.3082,LM3,Tecnologias de Informação,43.2891,0.0000,56.7109,2.4140,33.1814
Administração Pública,LM2:Línguas e Relações Empresariais|LM3:Biotecnologia,LM2,Línguas e Relações Empresariais,45.6532,0.0000,54.3468,LM3,Biotecnologia,45.6997,0.0000,54.3003,2.1510,34.7745
Administração Pública,LM2:Contabilidade|LM3:Biotecnologia,LM2,Contabilidade,46.6509,0.0000,53.3491,LM3,Biotecnologia,44.3396,0.0000,55.6604,2.1200,34.1509
Administração Pública,LM2:Eng. Civil|LM3:Biotecnologia,LM2,Eng. Civil,45.1914,0.0000,54.8086,LM3,Biotecnologia,45.3876,0.0000,54.6124,2.0380,34.8871
Administração Pública,LM2:Línguas e Relações Empresariais|LM3:Matemática,LM2,Línguas e Relações Empresariais,47.1100,0.0000,52.8900,LM3,Matemática,46.1893,0.0000,53.8107,1.9550,34.9361
Administração Pública,LM2:Contabilidade|LM3:Matemática,LM2,Contabilidade,46.0415,0.0000,53.9585,LM3,Matemática,44.5255,0.0000,55.4745,1.7810,34.8119
Administração Pública,LM2:Eng. Civil|LM3:Matemática,LM2,Eng. Civil,45.7045,0.0000,54.2955,LM3,Matemática,45.8190,0.0000,54.1810,1.7460,34.4788
Administração Pública,LM2:Línguas e Relações Empresariais|LM3:Eng. Informática,LM2,Línguas e Relações Empresariais,43.6508,0.0000,56.3492,LM3,Eng. Informática,44.9495,0.0000,55.0505,1.3860,33.9105
Administração Pública,LM2:Contabilidade|LM3:Eng. Informática,LM2,Contabilidade,46.5201,0.0000,53.4799,LM3,Eng. Informática,45.1282,0.0000,54.8718,1.3650,35.0183
Administração Pública,LM2:Eng. Civil|LM3:Eng. Informática,LM2,Eng. Civil,46.4179,0.0000,53.5821,LM3,Eng. Informática,44.7761,0.0000,55.2239,1.3400,33.9552
