team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Biotecnologia,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,74.5098,9.8039,15.6863,LM3,Ciências Biomédicas,54.9020,17.6471,27.4510,0.0510,64.7059
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Contabilidade,LM2,Tecnologias de Informação,58.5943,17.0182,24.3875,LM3,Contabilidade,40.2073,16.5239,43.2688,96.2910,38.4937
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Eng. Computadores e Telemática,LM2,Tecnologias de Informação,60.0000,13.5294,26.4706,LM3,Eng. Computadores e Telemática,34.1176,24.7059,41.1765,0.1700,34.7059
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Eng. Biomédica,LM2,Tecnologias de Informação,62.1622,16.8919,20.9459,LM3,Eng. Biomédica,31.7568,21.6216,46.6216,0.1480,34.4595
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Biotecnologia,LM2,Tecnologias de Informação,60.7843,17.6471,21.5686,LM3,Biotecnologia,27.4510,17.6471,54.9020,0.0510,21.5686
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Eng. Eletrónica e Telecomunicações,LM2,Tecnologias de Informação,56.4103,15.3846,28.2051,LM3,Eng. Eletrónica e Telecomunicações,23.0769,15.3846,61.5385,0.0390,20.5128
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Economia,LM2,Tecnologias de Informação,66.6667,8.3333,25.0000,LM3,Economia,16.6667,8.3333,75.0000,0.0120,16.6667
Contabilidade,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,60.2954,18.5968,21.1079,LM3,Ciências Biomédicas,43.2688,16.5239,40.2073,96.2910,46.6419
Contabilidade,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,61.7118,17.1794,21.1087,LM3,Eng. Química,47.1215,15.1995,37.6790,3.2830,49.7411
Economia,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,66.6667,16.6667,16.6667,LM3,Ciências Biomédicas,75.0000,8.3333,16.6667,0.0120,66.6667
Eng. Biomédica,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,60.8108,18.9189,20.2703,LM3,Ciências Biomédicas,46.6216,21.6216,31.7568,0.1480,47.2973
Eng. Biomédica,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,100.0000,0.0000,0.0000,LM3,Eng. Química,50.0000,0.0000,50.0000,0.0020,50.0000
