team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Biotecnologia,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,53.2075,21.3208,25.4717,LM3,Ciências Biomédicas,49.6226,17.9245,32.4528,0.0530,47.7358
Biotecnologia,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,68.1818,18.1818,13.6364,LM3,Eng. Química,54.5455,22.7273,22.7273,0.0022,68.1818
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Contabilidade,LM2,Tecnologias de Informação,44.2044,17.9384,37.8571,LM3,Contabilidade,40.5831,16.1468,43.2701,96.0680,31.6955
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Eng. Computadores e Telemática,LM2,Tecnologias de Informação,41.9530,19.1682,38.8788,LM3,Eng. Computadores e Telemática,39.4816,16.2146,44.3038,0.1659,29.5359
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Eng. Biomédica,LM2,Tecnologias de Informação,43.2656,20.2668,36.4676,LM3,Eng. Biomédica,38.4371,14.6125,46.9504,0.1574,31.0038
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Biotecnologia,LM2,Tecnologias de Informação,40.1887,19.6226,40.1887,LM3,Biotecnologia,32.4528,17.9245,49.6226,0.0530,20.7547
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Eng. Eletrónica e Telecomunicações,LM2,Tecnologias de Informação,39.7368,18.6842,41.5789,LM3,Eng. Eletrónica e Telecomunicações,24.4737,17.3684,58.1579,0.0380,21.8421
Ciências Biomédicas,LM2:Tecnologias de Informação|LM3:Economia,LM2,Tecnologias de Informação,38.7931,17.2414,43.9655,LM3,Economia,33.6207,15.5172,50.8621,0.0116,26.7241
Contabilidade,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,48.5022,14.6510,36.8468,LM3,Ciências Biomédicas,43.2701,16.1468,40.5831,96.0680,39.1033
Contabilidade,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,48.5927,14.9549,36.4524,LM3,Eng. Química,45.7437,16.0344,38.2219,3.4925,40.8475
Economia,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,53.4483,18.1034,28.4483,LM3,Ciências Biomédicas,50.8621,15.5172,33.6207,0.0116,49.1379
Economia,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,66.6667,0.0000,33.3333,LM3,Eng. Química,66.6667,33.3333,0.0000,0.0006,66.6667
Eng. Biomédica,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,50.4447,16.8361,32.7192,LM3,Ciências Biomédicas,46.9504,14.6125,38.4371,0.1574,43.1385
Eng. Biomédica,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,43.4783,10.8696,45.6522,LM3,Eng. Química,58.6957,10.8696,30.4348,0.0046,41.3043
Eng. Computadores e Telemática,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,47.4985,16.9982,35.5033,LM3,Ciências Biomédicas,44.3038,16.2146,39.4816,0.1659,40.4461
Eng. Computadores e Telemática,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,42.5926,20.3704,37.0370,LM3,Eng. Química,38.8889,11.1111,50.0000,0.0054,40.7407
Eng. Eletrónica e Telecomunicações,LM1:Tecnologias de Informação|LM3:Ciências Biomédicas,LM1,Tecnologias de Informação,61.8421,22.1053,16.0526,LM3,Ciências Biomédicas,58.1579,17.3684,24.4737,0.0380,61.5789
Eng. Eletrónica e Telecomunicações,LM1:Tecnologias de Informação|LM3:Eng. Química,LM1,Tecnologias de Informação,50.0000,25.0000,25.0000,LM3,Eng. Química,75.0000,25.0000,0.0000,0.0008,75.0000
Eng. Química,LM2:Tecnologias de Informação|LM3:Contabilidade,LM2,Tecnologias de Informação,41.6006,18.5054,39.8941,LM3,Contabilidade,38.2219,16.0344,45.7437,3.4925,24.5383
Eng. Química,LM2:Tecnologias de Informação|LM3:Eng. Computadores e Telemática,LM2,Tecnologias de Informação,37.0370,14.8148,48.1481,LM3,Eng. Computadores e Telemática,50.0000,11.1111,38.8889,0.0054,25.9259
Eng. Química,LM2:Tecnologias de Informação|LM3:Eng. Biomédica,LM2,Tecnologias de Informação,32.6087,19.5652,47.8261,LM3,Eng. Biomédica,30.4348,10.8696,58.6957,0.0046,19.5652
Eng. Química,LM2:Tecnologias de Informação|LM3:Biotecnologia,LM2,Tecnologias de Informação,40.9091,31.8182,27.2727,LM3,Biotecnologia,22.7273,22.7273,54.5455,0.0022,13.6364
Eng. Química,LM2:Tecnologias de Informação|LM3:Eng. Eletrónica e Telecomunicações,LM2,Tecnologias de Informação,25.0000,37.5000,37.5000,LM3,Eng. Eletrónica e Telecomunicações,0.0000,25.0000,75.0000,0.0008,12.5000
