team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Eng. Civil,LM1:Psicologia|LM3:Eng. Física,LM1,Psicologia,68.3585,0.0000,31.6415,LM3,Eng. Física,53.5486,0.0000,46.4514,53.2750,46.5903
Eng. Civil,"LM1:Psicologia|LM3:Línguas, Literaturas e Culturas",LM1,Psicologia,68.4970,0.0000,31.5030,LM3,"Línguas, Literaturas e Culturas",84.1092,0.0000,15.8908,24.0390,62.9269
Eng. Civil,LM1:Psicologia|LM3:Gestão,LM1,Psicologia,68.1108,0.0000,31.8892,LM3,Gestão,67.7746,0.0000,32.2254,18.7430,54.9752
Eng. Civil,LM1:Eng. do Ambiente|LM3:Eng. Física,LM1,Eng. do Ambiente,97.5610,0.0000,2.4390,LM3,Eng. Física,45.1220,0.0000,54.8780,0.0820,46.3415
Eng. Civil,"LM1:Eng. do Ambiente|LM3:Línguas, Literaturas e Culturas",LM1,Eng. do Ambiente,94.8718,0.0000,5.1282,LM3,"Línguas, Literaturas e Culturas",76.9231,0.0000,23.0769,0.0390,76.9231
Eng. Civil,LM1:Eng. do Ambiente|LM3:Gestão,LM1,Eng. do Ambiente,100.0000,0.0000,0.0000,LM3,Gestão,72.0000,0.0000,28.0000,0.0250,72.0000
Eng. Física,LM2:Psicologia|LM3:Eng. Civil,LM2,Psicologia,63.9831,0.0000,36.0169,LM3,Eng. Civil,46.4514,0.0000,53.5486,53.2750,32.6945
Eng. Física,LM2:Psicologia|LM3:Geologia,LM2,Psicologia,64.2789,0.0000,35.7211,LM3,Geologia,34.0019,0.0000,65.9981,2.0940,28.2713
Eng. Física,LM2:Eng. do Ambiente|LM3:Eng. Civil,LM2,Eng. do Ambiente,92.6829,0.0000,7.3171,LM3,Eng. Civil,54.8780,0.0000,45.1220,0.0820,52.4390
Eng. Física,LM2:Eng. do Ambiente|LM3:Geologia,LM2,Eng. do Ambiente,100.0000,0.0000,0.0000,LM3,Geologia,33.3333,0.0000,66.6667,0.0030,33.3333
Eng. do Ambiente,LM1:Eng. Civil|LM2:Eng. Física,LM1,Eng. Civil,2.4390,0.0000,97.5610,LM2,Eng. Física,7.3171,0.0000,92.6829,0.0820,1.2195
Eng. do Ambiente,"LM1:Eng. Civil|LM2:Línguas, Literaturas e Culturas",LM1,Eng. Civil,5.1282,0.0000,94.8718,LM2,"Línguas, Literaturas e Culturas",28.2051,0.0000,71.7949,0.0390,0.0000
Eng. do Ambiente,LM1:Eng. Civil|LM2:Gestão,LM1,Eng. Civil,0.0000,0.0000,100.0000,LM2,Gestão,12.0000,0.0000,88.0000,0.0250,0.0000
Eng. do Ambiente,LM1:Geologia|LM2:Eng. Física,LM1,Geologia,0.0000,0.0000,100.0000,LM2,Eng. Física,0.0000,0.0000,100.0000,0.0030,0.0000
Eng. do Ambiente,"LM1:Geologia|LM2:Línguas, Literaturas e Culturas",LM1,Geologia,0.0000,0.0000,100.0000,LM2,"Línguas, Literaturas e Culturas",100.0000,0.0000,0.0000,0.0010,0.0000
Geologia,LM1:Psicologia|LM3:Eng. Física,LM1,Psicologia,79.0831,0.0000,20.9169,LM3,Eng. Física,65.9981,0.0000,34.0019,2.0940,57.4976
Geologia,"LM1:Psicologia|LM3:Línguas, Literaturas e Culturas",LM1,Psicologia,79.5710,0.0000,20.4290,LM3,"Línguas, Literaturas e Culturas",90.3984,0.0000,9.6016,0.9790,75.3830
Geologia,LM1:Psicologia|LM3:Gestão,LM1,Psicologia,82.6389,0.0000,17.3611,LM3,Gestão,76.1111,0.0000,23.8889,0.7200,69.5833
Geologia,LM1:Eng. do Ambiente|LM3:Eng. Física,LM1,Eng. do Ambiente,100.0000,0.0000,0.0000,LM3,Eng. Física,66.6667,0.0000,33.3333,0.0030,66.6667
Geologia,"LM1:Eng. do Ambiente|LM3:Línguas, Literaturas e Culturas",LM1,Eng. do Ambiente,100.0000,0.0000,0.0000,LM3,"Línguas, Literaturas e Culturas",100.0000,0.0000,0.0000,0.0010,100.0000
Gestão,LM2:Psicologia|LM3:Eng. Civil,LM2,Psicologia,48.5141,0.0000,51.4859,LM3,Eng. Civil,32.2254,0.0000,67.7746,18.7430,19.2178
Gestão,LM2:Psicologia|LM3:Geologia,LM2,Psicologia,50.8333,0.0000,49.1667,LM3,Geologia,23.8889,0.0000,76.1111,0.7200,17.0833
Gestão,LM2:Eng. do Ambiente|LM3:Eng. Civil,LM2,Eng. do Ambiente,88.0000,0.0000,12.0000,LM3,Eng. Civil,28.0000,0.0000,72.0000,0.0250,28.0000
"Línguas, Literaturas e Culturas",LM2:Psicologia|LM3:Eng. Civil,LM2,Psicologia,24.3854,0.0000,75.6146,LM3,Eng. Civil,15.8908,0.0000,84.1092,24.0390,7.5586
"Línguas, Literaturas e Culturas",LM2:Psicologia|LM3:Geologia,LM2,Psicologia,23.7998,0.0000,76.2002,LM3,Geologia,9.6016,0.0000,90.3984,0.9790,4.9030
"Línguas, Literaturas e Culturas",LM2:Eng. do Ambiente|LM3:Eng. Civil,LM2,Eng. do Ambiente,71.7949,0.0000,28.2051,LM3,Eng. Civil,23.0769,0.0000,76.9231,0.0390,23.0769
"Línguas, Literaturas e Culturas",LM2:Eng. do Ambiente|LM3:Geologia,LM2,Eng. do Ambiente,0.0000,0.0000,100.0000,LM3,Geologia,0.0000,0.0000,100.0000,0.0010,0.0000
Psicologia,LM1:Eng. Civil|LM2:Eng. Física,LM1,Eng. Civil,31.6415,0.0000,68.3585,LM2,Eng. Física,36.0169,0.0000,63.9831,53.2750,20.7152
Psicologia,"LM1:Eng. Civil|LM2:Línguas, Literaturas e Culturas",LM1,Eng. Civil,31.5030,0.0000,68.4970,LM2,"Línguas, Literaturas e Culturas",75.6146,0.0000,24.3854,24.0390,29.5145
