team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Bioquímica,LM1:Línguas e Relações Empresariais|LM2:Física,LM1,Línguas e Relações Empresariais,30.0214,0.0000,69.9786,LM2,Física,65.4680,0.0000,34.5320,33.3485,27.9530
Bioquímica,LM1:Ciências do Mar|LM2:Física,LM1,Ciências do Mar,42.2415,0.0000,57.7585,LM2,Física,65.6611,0.0000,34.3389,20.5234,37.8017
Bioquímica,LM1:Eng. Computadores e Telemática|LM2:Física,LM1,Eng. Computadores e Telemática,49.1905,0.0000,50.8095,LM2,Física,65.1744,0.0000,34.8256,11.3026,42.3876
Ciências Biomédicas,LM1:Línguas e Relações Empresariais|LM2:Física,LM1,Línguas e Relações Empresariais,18.1392,0.0000,81.8608,LM2,Física,54.0311,0.0000,45.9689,17.8464,14.0034
Ciências Biomédicas,LM1:Ciências do Mar|LM2:Física,LM1,Ciências do Mar,31.0172,0.0000,68.9828,LM2,Física,55.1442,0.0000,44.8558,10.9433,23.5633
Ciências Biomédicas,LM1:Eng. Computadores e Telemática|LM2:Física,LM1,Eng. Computadores e Telemática,38.7571,0.0000,61.2429,LM2,Física,54.6837,0.0000,45.3163,6.0358,28.7899
Ciências do Mar,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,57.7585,0.0000,42.2415,LM3,Física,70.1638,0.0000,29.8362,20.5234,46.4124
Ciências do Mar,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,68.9828,0.0000,31.0172,LM3,Física,70.0584,0.0000,29.9416,10.9433,54.1381
Eng. Computadores e Telemática,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,50.8095,0.0000,49.1905,LM3,Física,64.3162,0.0000,35.6838,11.3026,39.1786
Eng. Computadores e Telemática,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,61.2429,0.0000,38.7571,LM3,Física,63.0770,0.0000,36.9230,6.0358,45.2881
Física,LM2:Bioquímica|LM3:Línguas e Relações Empresariais,LM2,Bioquímica,34.5320,0.0000,65.4680,LM3,Línguas e Relações Empresariais,20.3958,0.0000,79.6042,33.3485,11.2983
Física,LM2:Bioquímica|LM3:Ciências do Mar,LM2,Bioquímica,34.3389,0.0000,65.6611,LM3,Ciências do Mar,29.8362,0.0000,70.1638,20.5234,15.7859
Física,LM2:Ciências Biomédicas|LM3:Línguas e Relações Empresariais,LM2,Ciências Biomédicas,45.9689,0.0000,54.0311,LM3,Línguas e Relações Empresariais,19.9222,0.0000,80.0778,17.8464,15.4731
Física,LM2:Bioquímica|LM3:Eng. Computadores e Telemática,LM2,Bioquímica,34.8256,0.0000,65.1744,LM3,Eng. Computadores e Telemática,35.6838,0.0000,64.3162,11.3026,18.4338
Física,LM2:Ciências Biomédicas|LM3:Ciências do Mar,LM2,Ciências Biomédicas,44.8558,0.0000,55.1442,LM3,Ciências do Mar,29.9416,0.0000,70.0584,10.9433,22.2986
Física,LM2:Ciências Biomédicas|LM3:Eng. Computadores e Telemática,LM2,Ciências Biomédicas,45.3163,0.0000,54.6837,LM3,Eng. Computadores e Telemática,36.9230,0.0000,63.0770,6.0358,25.9220
Línguas e Relações Empresariais,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,69.9786,0.0000,30.0214,LM3,Física,79.6042,0.0000,20.3958,33.3485,60.7488
Línguas e Relações Empresariais,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,81.8608,0.0000,18.1392,LM3,Física,80.0778,0.0000,19.9222,17.8464,70.5235
