jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,expected_goals_a,expected_goals_a_std,expected_goals_b,expected_goals_b_std,ocorrencias,divisao,grupo,distribuicao_placares
Semifinais,-,-,Ciências Biomédicas,Fisioterapia,814.0,0.0,1352.0,0.0,0.7500,0.0000,99.2500,0.19,0.45,5.08,2.98,10000,1,,0-3:12.4000%|0-4:11.3100%|0-2:10.7400%|0-5:9.9300%|0-6:8.4400%|0-1:6.8700%|0-7:6.5100%|0-8:5.1800%|0-9:4.2400%|0-10:2.6900%|1-3:2.4000%|1-4:2.3600%|1-2:2.2500%|1-5:1.8000%|0-11:1.6300%|1-6:1.5000%|1-7:1.2400%|0-12:1.1200%|1-8:1.0300%|0-13:0.7800%|1-9:0.7100%|1-10:0.5900%|1-0:0.4800%|0-14:0.4300%|2-3:0.3100%|1-11:0.3100%|2-5:0.3000%|2-4:0.2800%|0-15:0.2700%|2-6:0.2400%|1-12:0.2300%|2-7:0.2100%|2-1:0.2000%|1-13:0.1800%|0-16:0.1300%|2-8:0.1100%|2-10:0.0800%|2-9:0.0700%|1-14:0.0600%|3-4:0.0500%|3-2:0.0400%|2-12:0.0300%|1-15:0.0300%|0-18:0.0300%|1-17:0.0200%|2-14:0.0200%|2-0:0.0200%|2-16:0.0100%|0-17:0.0100%|3-14:0.0100%|2-13:0.0100%|1-18:0.0100%|3-6:0.0100%|0-20:0.0100%|1-16:0.0100%|0-19:0.0100%|2-15:0.0100%|2-11:0.0100%|3-7:0.0100%|3-5:0.0100%|3-1:0.0100%|3-8:0.0100%
Semifinais,-,-,Contabilidade,Eng. Mecânica,813.0,0.0,1306.0,0.0,0.7600,0.0000,99.2400,0.19,0.43,5.01,2.97,10000,1,,0-3:12.3200%|0-4:11.5500%|0-2:11.3300%|0-5:10.0000%|0-6:7.7500%|0-1:7.2100%|0-7:6.4900%|0-8:5.2100%|0-9:3.6800%|0-10:2.5700%|1-3:2.5200%|1-4:2.5200%|1-2:2.1300%|1-5:2.0400%|0-11:1.8500%|1-6:1.6100%|1-7:1.1800%|0-12:1.1400%|1-8:1.0100%|1-9:0.8400%|0-13:0.8100%|1-0:0.5400%|0-14:0.5200%|1-11:0.4400%|1-10:0.4000%|2-3:0.2800%|2-4:0.2400%|2-5:0.2000%|2-6:0.1900%|1-12:0.1900%|0-15:0.1600%|2-1:0.1400%|0-16:0.1300%|1-13:0.1300%|2-8:0.1200%|2-7:0.1000%|2-9:0.0900%|1-14:0.0800%|2-0:0.0500%|3-2:0.0200%|0-17:0.0200%|2-10:0.0200%|1-18:0.0200%|1-15:0.0200%|0-18:0.0200%|2-12:0.0100%|2-11:0.0100%|2-14:0.0100%|3-8:0.0100%|1-16:0.0100%|3-10:0.0100%|3-6:0.0100%|3-9:0.0100%|1-17:0.0100%|3-0:0.0100%|0-19:0.0100%|1-19:0.0100%
3º Lugar,-,-,Ciências Biomédicas,Contabilidade,812.1,0.3,810.3,0.5,49.8528,0.0000,50.1472,2.52,1.98,2.51,1.94,9849,1,,1-2:6.5895%|2-1:6.0717%|1-3:4.4472%|2-3:4.3659%|3-1:4.3355%|3-2:4.2644%|0-1:3.8278%|1-0:3.7263%|0-2:3.6044%|2-0:3.4318%|1-4:3.1475%|4-2:3.0257%|3-0:2.8734%|4-1:2.8125%|0-3:2.8125%|2-4:2.7719%|4-3:2.2337%|3-4:2.1119%|4-0:2.0814%|5-2:1.9291%|0-4:1.8073%|1-5:1.7362%|5-1:1.7058%|2-5:1.6550%|3-5:1.3199%|0-5:1.2793%|5-3:1.2387%|6-2:1.2387%|5-0:0.9646%|2-6:0.9646%|5-4:0.9544%|6-1:0.9443%|1-6:0.8935%|4-5:0.7818%|6-3:0.7717%|0-6:0.7006%|3-6:0.6194%|6-0:0.5686%|4-6:0.5483%|1-7:0.5483%|7-1:0.5381%|7-2:0.5178%|2-7:0.5077%|3-7:0.4671%|7-0:0.4467%|7-3:0.3960%|6-4:0.3757%|8-1:0.3554%|7-4:0.3148%|0-7:0.3148%|5-6:0.2640%|4-7:0.2437%|6-5:0.2132%|1-8:0.2031%|3-8:0.1929%|8-2:0.1828%|0-8:0.1726%|2-8:0.1726%|8-3:0.1625%|4-8:0.1421%|6-7:0.1320%|7-5:0.1117%|9-2:0.1015%|1-9:0.0914%|8-0:0.0914%|5-7:0.0914%|9-3:0.0711%|7-6:0.0711%|2-9:0.0711%|4-9:0.0609%|9-4:0.0609%|9-1:0.0609%|8-6:0.0609%|8-4:0.0609%|3-9:0.0609%|10-2:0.0508%|8-5:0.0508%|10-1:0.0508%|3-10:0.0406%|9-0:0.0406%|0-9:0.0406%|5-8:0.0406%|1-11:0.0406%|10-0:0.0406%|7-8:0.0305%|11-3:0.0305%|1-10:0.0305%|8-7:0.0305%|9-5:0.0305%|2-11:0.0305%|11-1:0.0203%|5-10:0.0203%|4-11:0.0203%|11-2:0.0203%|0-10:0.0203%|7-9:0.0203%|10-3:0.0203%|5-9:0.0203%|11-0:0.0203%|10-6:0.0102%|0-11:0.0102%|13-4:0.0102%|12-2:0.0102%|6-9:0.0102%|6-8:0.0102%|10-5:0.0102%|11-5:0.0102%|2-13:0.0102%|13-2:0.0102%|4-10:0.0102%|2-10:0.0102%|11-4:0.0102%|4-12:0.0102%|13-0:0.0102%
3º Lugar,-,-,Ciências Biomédicas,Eng. Mecânica,812.2,0.4,1092.8,4.8,11.8421,0.0000,88.1579,0.83,0.98,3.86,2.26,76,1,,0-2:9.2105%|1-6:7.8947%|1-0:7.8947%|0-5:6.5789%|1-5:6.5789%|0-6:6.5789%|0-1:6.5789%|0-4:6.5789%|1-4:5.2632%|1-3:5.2632%|0-3:5.2632%|3-4:3.9474%|2-4:3.9474%|2-3:3.9474%|1-2:1.3158%|3-2:1.3158%|4-10:1.3158%|2-1:1.3158%|0-7:1.3158%|4-2:1.3158%|1-9:1.3158%|1-7:1.3158%|0-9:1.3158%|1-8:1.3158%|0-8:1.3158%
3º Lugar,-,-,Contabilidade,Fisioterapia,810.3,0.4,1138.8,3.0,6.6667,0.0000,93.3333,0.67,0.77,4.64,2.93,75,1,,0-3:13.3333%|0-2:8.0000%|1-2:8.0000%|1-5:6.6667%|0-5:6.6667%|0-7:5.3333%|2-5:5.3333%|1-3:5.3333%|0-4:5.3333%|0-10:4.0000%|2-4:2.6667%|0-1:2.6667%|1-8:2.6667%|1-4:2.6667%|2-1:2.6667%|1-13:1.3333%|2-8:1.3333%|1-11:1.3333%|1-10:1.3333%|2-0:1.3333%|1-6:1.3333%|3-1:1.3333%|2-9:1.3333%|0-12:1.3333%|0-6:1.3333%|1-9:1.3333%|1-0:1.3333%|0-9:1.3333%|0-8:1.3333%
Final,-,-,Eng. Mecânica,Fisioterapia,1308.7,0.5,1353.9,0.3,41.6794,0.0000,58.3206,2.23,1.84,2.83,2.07,9849,1,,1-2:6.2037%|2-1:5.7366%|1-3:5.2188%|2-3:4.7010%|0-2:4.3152%|0-1:4.1730%|3-2:4.1527%|3-1:3.8989%|1-4:3.6146%|1-0:3.4115%|0-3:3.2694%|2-4:3.1069%|2-0:3.0866%|4-2:2.4571%|0-4:2.4469%|1-5:2.3860%|4-1:2.3657%|3-0:2.3556%|2-5:2.0611%|3-4:1.9393%|4-3:1.6753%|3-5:1.6042%|5-2:1.5433%|0-5:1.5027%|1-6:1.3707%|5-1:1.3605%|2-6:1.3301%|4-0:1.1981%|5-3:1.1473%|0-6:1.1067%|5-4:0.9341%|4-5:0.8935%|3-6:0.7107%|2-7:0.6904%|6-2:0.6600%|5-0:0.6600%|6-3:0.6600%|1-7:0.6397%|6-1:0.5990%|3-7:0.4975%|4-6:0.4772%|0-7:0.4264%|1-8:0.4264%|6-0:0.4264%|6-4:0.4264%|7-1:0.4061%|7-2:0.3351%|2-8:0.3148%|7-3:0.3046%|0-8:0.2944%|6-5:0.2843%|5-6:0.2843%|3-8:0.2741%|4-7:0.2538%|7-4:0.2132%|1-9:0.2031%|5-7:0.1929%|4-8:0.1828%|7-5:0.1726%|7-0:0.1523%|5-8:0.1523%|8-1:0.1421%|1-10:0.1320%|7-6:0.1015%|0-9:0.1015%|6-7:0.0914%|2-9:0.0914%|8-0:0.0812%|3-9:0.0812%|8-2:0.0812%|8-3:0.0812%|8-4:0.0711%|9-2:0.0711%|0-10:0.0609%|8-5:0.0609%|4-9:0.0609%|3-10:0.0609%|10-5:0.0508%|6-8:0.0508%|9-3:0.0406%|8-6:0.0406%|2-11:0.0406%|2-10:0.0406%|5-11:0.0305%|10-0:0.0305%|1-11:0.0305%|4-10:0.0305%|10-3:0.0305%|0-12:0.0203%|9-6:0.0203%|7-9:0.0203%|9-0:0.0203%|9-1:0.0203%|9-4:0.0203%|11-3:0.0203%|7-8:0.0203%|0-11:0.0203%|5-10:0.0102%|10-7:0.0102%|12-2:0.0102%|2-13:0.0102%|10-1:0.0102%|3-13:0.0102%|12-0:0.0102%|6-9:0.0102%|9-5:0.0102%|1-12:0.0102%|11-2:0.0102%|8-10:0.0102%|10-2:0.0102%|5-9:0.0102%
Final,-,-,Contabilidade,Fisioterapia,1026.2,4.8,1353.8,0.4,1.3158,0.0000,98.6842,0.66,0.74,4.45,2.34,76,1,,0-5:9.2105%|0-4:7.8947%|0-2:7.8947%|1-3:7.8947%|1-4:7.8947%|0-1:6.5789%|0-3:6.5789%|2-5:6.5789%|1-6:5.2632%|1-2:5.2632%|1-5:5.2632%|0-7:3.9474%|0-6:2.6316%|0-11:2.6316%|2-8:1.3158%|0-9:1.3158%|2-4:1.3158%|2-1:1.3158%|2-6:1.3158%|2-7:1.3158%|1-8:1.3158%|1-7:1.3158%|0-8:1.3158%|2-3:1.3158%|2-12:1.3158%
Final,-,-,Ciências Biomédicas,Eng. Mecânica,1027.2,3.0,1308.7,0.4,8.0000,0.0000,92.0000,0.80,0.97,3.96,2.27,75,1,,0-2:12.0000%|1-2:9.3333%|1-4:9.3333%|0-3:8.0000%|0-5:8.0000%|0-4:5.3333%|1-3:5.3333%|0-6:4.0000%|0-1:4.0000%|1-6:4.0000%|0-8:4.0000%|1-7:2.6667%|3-6:2.6667%|2-0:2.6667%|0-9:1.3333%|1-0:1.3333%|3-7:1.3333%|2-5:1.3333%|1-10:1.3333%|2-8:1.3333%|2-7:1.3333%|2-6:1.3333%|0-7:1.3333%|2-1:1.3333%|2-4:1.3333%|4-5:1.3333%|3-1:1.3333%|3-2:1.3333%
Liguilha 1,-,-,Contabilidade,Tecnologias de Informação,813.0,0.0,607.0,0.0,67.4300,18.9700,13.6000,3.42,2.29,1.43,1.36,10000,1,,2-0:5.9700%|2-1:5.6200%|3-1:5.3900%|3-0:4.9900%|2-2:4.9300%|1-0:4.6500%|4-1:4.3400%|1-1:4.2400%|3-3:4.1900%|4-0:4.0900%|5-1:3.2900%|3-2:3.2800%|5-0:3.0000%|1-2:2.9300%|4-2:2.7600%|4-4:2.4200%|0-1:2.1400%|6-1:1.9800%|0-0:1.8000%|6-0:1.7500%|5-2:1.7200%|2-3:1.6400%|1-3:1.6000%|7-0:1.4400%|7-1:1.3700%|6-2:1.1500%|4-3:1.1400%|0-2:1.1400%|7-2:1.0100%|5-5:0.9600%|8-1:0.8600%|8-0:0.8200%|2-4:0.8100%|5-3:0.8000%|6-3:0.6200%|1-4:0.6000%|3-4:0.5900%|9-1:0.5800%|0-3:0.5100%|8-2:0.4900%|9-0:0.4600%|9-2:0.3700%|0-4:0.3400%|7-3:0.3100%|5-4:0.3000%|6-6:0.2900%|10-0:0.2900%|10-1:0.2700%|3-5:0.2500%|8-3:0.2200%|11-1:0.2200%|6-4:0.2100%|11-0:0.1900%|10-2:0.1900%|2-5:0.1900%|4-5:0.1800%|7-4:0.1800%|1-5:0.1500%|9-3:0.1400%|6-5:0.1300%|7-7:0.1200%|0-5:0.1100%|8-4:0.1000%|11-2:0.1000%|1-6:0.1000%|10-3:0.0900%|4-6:0.0900%|12-1:0.0800%|2-6:0.0800%|9-4:0.0600%|10-4:0.0500%|2-7:0.0400%|13-4:0.0300%|14-1:0.0300%|12-0:0.0300%|7-5:0.0300%|12-2:0.0300%|1-7:0.0200%|8-5:0.0200%|5-6:0.0200%|3-6:0.0200%|9-5:0.0200%|0-6:0.0200%|11-3:0.0200%|14-0:0.0100%|8-6:0.0100%|13-0:0.0100%|8-8:0.0100%|15-1:0.0100%|11-4:0.0100%|11-6:0.0100%|16-1:0.0100%|9-9:0.0100%|3-7:0.0100%|13-6:0.0100%|7-6:0.0100%|13-2:0.0100%|4-7:0.0100%|8-7:0.0100%|0-7:0.0100%|9-6:0.0100%|14-2:0.0100%|13-1:0.0100%|14-5:0.0100%
Liguilha 2,-,-,Ciências Biomédicas,Tecnologias de Informação,814.0,0.0,626.7,78.6,66.9900,16.7100,16.3000,3.70,2.46,1.66,1.58,10000,1,,3-1:5.0000%|2-1:4.8700%|2-0:4.6600%|2-2:4.4800%|3-0:4.4500%|1-0:3.8300%|4-1:3.7800%|4-0:3.7000%|3-3:3.3700%|1-1:3.3700%|5-1:3.2800%|3-2:3.0200%|1-2:2.9800%|5-0:2.9100%|4-2:2.6300%|4-4:2.2100%|6-1:2.0200%|5-2:2.0000%|6-0:2.0000%|2-3:1.9000%|7-1:1.6900%|0-1:1.6000%|7-0:1.5600%|1-3:1.5200%|6-2:1.5100%|4-3:1.3700%|5-5:1.2200%|0-0:1.1800%|0-2:1.1800%|5-3:1.1700%|8-1:1.0800%|7-2:1.0400%|2-4:1.0300%|8-0:0.9900%|1-4:0.9800%|3-4:0.8500%|9-0:0.7400%|6-3:0.6600%|0-3:0.6600%|9-1:0.6300%|8-2:0.6300%|7-3:0.5700%|6-6:0.5700%|1-5:0.5000%|3-5:0.5000%|5-4:0.4900%|10-0:0.4800%|2-5:0.4300%|10-1:0.4000%|9-2:0.3600%|0-4:0.3200%|8-3:0.3000%|6-4:0.2900%|4-5:0.2400%|9-3:0.2400%|7-7:0.2200%|1-6:0.2100%|7-4:0.2000%|6-5:0.2000%|11-2:0.1900%|12-0:0.1900%|8-4:0.1800%|11-0:0.1800%|2-6:0.1800%|12-1:0.1500%|4-6:0.1500%|0-5:0.1500%|10-3:0.1400%|3-6:0.1400%|7-5:0.1300%|10-2:0.1200%|4-7:0.1000%|11-1:0.1000%|7-6:0.0900%|5-6:0.0900%|8-5:0.0800%|9-4:0.0800%|0-6:0.0700%|13-0:0.0700%|2-7:0.0700%|8-8:0.0600%|12-3:0.0600%|11-4:0.0600%|3-7:0.0500%|13-1:0.0500%|1-8:0.0500%|0-7:0.0500%|0-8:0.0400%|1-7:0.0400%|14-0:0.0400%|11-3:0.0400%|10-5:0.0300%|5-7:0.0300%|10-4:0.0200%|13-2:0.0200%|3-10:0.0200%|9-9:0.0200%|12-4:0.0200%|13-4:0.0200%|6-7:0.0200%|9-5:0.0200%|3-8:0.0200%|4-8:0.0200%|15-0:0.0200%|1-11:0.0200%|16-0:0.0200%|9-6:0.0200%|6-8:0.0100%|10-6:0.0100%|11-5:0.0100%|2-10:0.0100%|6-9:0.0100%|3-9:0.0100%|12-2:0.0100%|8-7:0.0100%|6-11:0.0100%|2-8:0.0100%|13-3:0.0100%|12-5:0.0100%|12-12:0.0100%|5-11:0.0100%|8-6:0.0100%|7-8:0.0100%|2-9:0.0100%|16-2:0.0100%|14-2:0.0100%|15-5:0.0100%
