jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,distribuicao_placares,divisao,grupo
6,,,Ciências Biomédicas,Fisioterapia,1080.0,0.0,1127.0,0.0,39.3000,0.0000,60.7000,1-2:36.6000%|0-2:24.1000%|2-1:23.3300%|2-0:15.9700%,1,
6,,,Eng. Eletrónica e Telecomunicações,Eng. de Materiais,1362.0,0.0,674.0,0.0,99.7600,0.0000,0.2400,2-0:74.3300%|2-1:25.4300%|0-2:0.2000%|1-2:0.0400%,1,
6,,,Eng. Biomédica,Eng. e Gestão Industrial,620.0,0.0,1275.0,0.0,0.2100,0.0000,99.7900,0-2:74.3300%|1-2:25.4600%|2-0:0.1800%|2-1:0.0300%,1,
6,,,Eng. Informática,Design,1045.0,0.0,951.0,0.0,70.1900,0.0000,29.8100,2-1:37.6700%|2-0:32.5200%|1-2:15.6400%|0-2:14.1700%,1,
6,,,Gestão e Planeamento em Turismo,Eng. Civil,886.0,0.0,869.0,0.0,53.9900,0.0000,46.0100,2-1:32.8600%|1-2:28.8100%|2-0:21.1300%|0-2:17.2000%,1,
6,,,Geologia,Biologia,828.0,0.0,1186.0,0.0,3.4900,0.0000,96.5100,0-2:72.2200%|1-2:24.2900%|2-0:2.6800%|2-1:0.8100%,1,
6,,,Contabilidade,MTC,459.0,0.0,494.0,0.0,41.8700,0.0000,58.1300,1-2:35.2100%|2-1:25.6300%|0-2:22.9200%|2-0:16.2400%,2,A
6,,,Educação Básica,Adminstração Pública,354.0,0.0,1500.0,0.0,0.0000,0.0000,100.0000,0-2:75.5200%|1-2:24.4800%,2,A
6,,,Gestão Comercial,Eng. Computadores e Telemática,339.0,0.0,266.0,0.0,66.2400,0.0000,33.7600,2-1:37.7100%|2-0:28.5300%|1-2:18.1400%|0-2:15.6200%,2,A
6,,,Línguas e Relações Empresariais,Eng. do Ambiente,546.0,0.0,729.0,0.0,15.5900,0.0000,84.4100,0-2:48.3800%|1-2:36.0300%|2-0:8.7800%|2-1:6.8100%,2,A
6,,,Psicologia,Bioquímica,633.0,0.0,613.0,0.0,54.6700,0.0000,45.3300,2-1:33.7600%|1-2:28.5600%|2-0:20.9100%|0-2:16.7700%,2,A
6,,,Biologia e Geologia,Ciências Biomédicas B,588.0,0.0,374.0,0.0,87.9100,0.0000,12.0900,2-0:54.6000%|2-1:33.3100%|0-2:7.4300%|1-2:4.6600%,2,B
6,,,Economia,Eng. Física,600.0,0.0,587.0,0.0,53.7000,0.0000,46.3000,2-1:34.4600%|1-2:28.9600%|2-0:19.2400%|0-2:17.3400%,2,B
6,,,Eng. Mecânica,Gestão,546.0,0.0,471.0,0.0,66.2900,0.0000,33.7100,2-1:36.3300%|2-0:29.9600%|1-2:18.8300%|0-2:14.8800%,2,B
6,,,Eng. Química,"Línguas, Literaturas e Culturas",706.0,0.0,606.0,0.0,71.3800,0.0000,28.6200,2-1:37.0100%|2-0:34.3700%|1-2:14.5100%|0-2:14.1100%,2,B
6,,,Música,Marketing,538.0,0.0,198.0,0.0,95.7000,0.0000,4.3000,2-0:71.8800%|2-1:23.8200%|0-2:3.4300%|1-2:0.8700%,2,B
7,,,Biologia,Eng. de Materiais,1186.1,41.6,674.5,11.1,98.9900,0.0000,1.0100,2-0:73.8200%|2-1:25.1700%|0-2:0.7800%|1-2:0.2300%,1,
7,,,Design,Eng. Biomédica,951.7,101.4,619.5,10.4,93.9200,0.0000,6.0800,2-0:66.1400%|2-1:27.7800%|0-2:4.4100%|1-2:1.6700%,1,
7,,,Eng. e Gestão Industrial,Ciências Biomédicas,1275.5,10.4,1080.1,107.5,81.6400,0.0000,18.3600,2-0:50.2600%|2-1:31.3800%|0-2:9.1900%|1-2:9.1700%,1,
7,,,Eng. Civil,Eng. Eletrónica e Telecomunicações,868.8,110.1,1361.5,11.1,1.5200,0.0000,98.4800,0-2:73.6300%|1-2:24.8500%|2-0:1.1500%|2-1:0.3700%,1,
7,,,Fisioterapia,Gestão e Planeamento em Turismo,1126.9,107.5,886.2,110.1,83.7000,0.0000,16.3000,2-0:53.1900%|2-1:30.5100%|1-2:8.7300%|0-2:7.5700%,1,
7,,,Geologia,Eng. Informática,827.9,41.6,1044.3,101.4,16.8000,0.0000,83.2000,0-2:53.7000%|1-2:29.5000%|2-1:8.5700%|2-0:8.2300%,1,
