jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,expected_goals_a,expected_goals_a_std,expected_goals_b,expected_goals_b_std,ocorrencias,divisao,grupo,distribuicao_placares
Semifinais,-,-,Biologia,Eng. e Gestão Industrial,1240.0,0.0,1346.0,0.0,31.6400,0.0000,68.3600,1.16,0.66,1.66,0.53,10000,1,,1-2:53.1200%|2-1:29.0200%|0-2:15.2400%|2-0:2.6200%
Semifinais,-,-,Eng. Eletrónica e Telecomunicações,Fisioterapia,1238.0,0.0,1340.0,0.0,33.7500,0.0000,66.2500,1.20,0.66,1.63,0.54,10000,1,,1-2:52.0700%|2-1:30.7600%|0-2:14.1800%|2-0:2.9900%
3º Lugar,-,-,Biologia,Eng. Eletrónica e Telecomunicações,1180.1,1.7,1176.9,2.1,51.1894,0.0000,48.8106,1.43,0.65,1.40,0.65,4540,1,,2-1:42.0705%|1-2:40.1542%|2-0:9.1189%|0-2:8.6564%
3º Lugar,-,-,Eng. e Gestão Industrial,Fisioterapia,1189.1,3.0,1184.9,3.3,48.9342,0.0000,51.0658,1.39,0.65,1.41,0.66,1079,1,,1-2:41.6126%|2-1:38.9249%|2-0:10.0093%|0-2:9.4532%
3º Lugar,-,-,Eng. Eletrónica e Telecomunicações,Eng. e Gestão Industrial,1177.0,2.0,1189.1,3.0,47.4820,0.0000,52.5180,1.37,0.67,1.45,0.63,2085,1,,1-2:41.9185%|2-1:39.7122%|0-2:10.5995%|2-0:7.7698%
3º Lugar,-,-,Biologia,Fisioterapia,1180.1,1.7,1185.1,3.1,49.3467,0.0000,50.6533,1.40,0.65,1.41,0.66,2296,1,,1-2:41.7247%|2-1:39.8519%|2-0:9.4948%|0-2:8.9286%
Final,-,-,Eng. e Gestão Industrial,Fisioterapia,1405.9,1.7,1401.1,2.1,50.6828,0.0000,49.3172,1.41,0.66,1.40,0.66,4540,1,,2-1:40.9251%|1-2:39.8899%|2-0:9.7577%|0-2:9.4273%
Final,-,-,Biologia,Eng. Eletrónica e Telecomunicações,1396.9,3.0,1393.1,3.3,48.5635,0.0000,51.4365,1.40,0.65,1.42,0.66,1079,1,,1-2:42.4467%|2-1:38.7396%|2-0:9.8239%|0-2:8.9898%
Final,-,-,Biologia,Fisioterapia,1396.9,3.0,1401.0,2.0,49.3525,0.0000,50.6475,1.39,0.67,1.42,0.65,2085,1,,2-1:40.2878%|1-2:40.0480%|0-2:10.5995%|2-0:9.0647%
Final,-,-,Eng. Eletrónica e Telecomunicações,Eng. e Gestão Industrial,1392.9,3.1,1405.9,1.7,49.3467,0.0000,50.6533,1.40,0.66,1.42,0.64,2296,1,,1-2:41.1585%|2-1:40.8537%|0-2:9.4948%|2-0:8.4930%
Liguilha 1,-,-,Eng. Civil,Psicologia,821.0,0.0,743.0,0.0,62.6400,0.0000,37.3600,1.59,0.57,1.24,0.67,10000,1,,2-1:49.0700%|1-2:33.2600%|2-0:13.5700%|0-2:4.1000%
Liguilha 2,-,-,Eng. Física,Psicologia,683.0,0.0,752.7,104.6,37.5100,0.0000,62.4900,1.23,0.68,1.56,0.61,10000,1,,1-2:47.9000%|2-1:31.0200%|0-2:14.5900%|2-0:6.4900%
Liguilha 3,-,-,Eng. Civil,Eng. Física,811.3,104.6,682.3,97.3,69.3500,0.0000,30.6500,1.65,0.56,1.09,0.72,10000,1,,2-1:47.4200%|1-2:26.1500%|2-0:21.9300%|0-2:4.5000%
