jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,expected_goals_a,expected_goals_a_std,expected_goals_b,expected_goals_b_std,distribuicao_placares,divisao,grupo
8,,,Ciências Biomédicas,Design,1008.0,0.0,1092.0,0.0,31.5190,0.0000,68.4810,0.76,0.90,1.43,0.87,0-2:56.0030%|2-0:25.7520%|1-2:12.4780%|2-1:5.7670%,1,
8,,,Ciências Biomédicas B,Eng. Física,354.0,0.0,721.0,0.0,3.3100,0.0000,96.6900,0.07,0.36,1.93,0.36,0-2:96.6900%|2-0:3.3100%,2,B
9,,,Biologia,Eng. Civil,1207.0,0.0,828.0,0.0,96.9250,0.0000,3.0750,1.94,0.35,0.06,0.35,2-0:96.9250%|0-2:3.0750%,1,
9,,,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,1291.0,0.0,1260.0,0.0,56.8530,0.0000,43.1470,1.24,0.91,1.01,0.93,2-0:42.5260%|0-2:32.4960%|2-1:14.3270%|1-2:10.6510%,1,
9,,,Eng. Informática,Eng. Biomédica,959.0,0.0,596.0,0.0,96.5140,0.0000,3.4860,1.93,0.37,0.07,0.37,2-0:96.5140%|0-2:3.4860%,1,
9,,,Fisioterapia,Eng. de Materiais,1305.0,0.0,643.0,0.0,99.7770,0.0000,0.2230,2.00,0.09,0.00,0.09,2-0:99.7770%|0-2:0.2230%,1,
9,,,Geologia,Ciências Biomédicas,809.0,0.0,1007.5,105.6,17.5010,0.0000,82.4990,0.42,0.77,1.67,0.73,0-2:75.8770%|2-0:15.3700%|1-2:6.6220%|2-1:2.1310%,1,
9,,,Bioquímica,Educação Básica,520.0,0.0,204.0,0.0,94.8680,0.0000,5.1320,1.90,0.44,0.10,0.44,2-0:94.8680%|0-2:5.1320%,2,A
9,,,Contabilidade,Psicologia,461.0,0.0,731.0,0.0,7.5020,0.0000,92.4980,0.15,0.53,1.85,0.53,0-2:92.4980%|2-0:7.5020%,2,A
9,,,Eng. Computadores e Telemática,Adminstração Pública,292.0,0.0,500.0,0.0,12.7450,0.0000,87.2550,0.28,0.68,1.75,0.66,0-2:84.8310%|2-0:12.3970%|1-2:2.4240%|2-1:0.3480%,2,A
9,,,MTC,Línguas e Relações Empresariais,581.0,0.0,439.0,0.0,78.7180,0.0000,21.2820,1.60,0.79,0.51,0.82,2-0:70.0870%|0-2:19.0020%|2-1:8.6310%|1-2:2.2800%,2,A
9,,,Tradução,Gestão Comercial,328.0,0.0,444.0,0.0,25.8090,0.0000,74.1910,0.62,0.87,1.52,0.83,0-2:63.7170%|2-0:22.1720%|1-2:10.4740%|2-1:3.6370%,2,A
9,,,Gestão,Biologia e Geologia,572.0,0.0,540.0,0.0,57.3840,0.0000,42.6160,1.25,0.91,1.00,0.93,2-0:43.1070%|0-2:32.0500%|2-1:14.2770%|1-2:10.5660%,2,B
