jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,expected_goals_a,expected_goals_a_std,expected_goals_b,expected_goals_b_std,ocorrencias,divisao,grupo,distribuicao_placares
8,,,Ciências Biomédicas B,Eng. Física,459.0,0.0,762.0,0.0,5.7978,0.0000,94.2022,0.12,0.47,1.88,0.47,1000000,2,B,0-2:94.2022%|2-0:5.7978%
9,,,Biologia,Eng. Civil,1174.0,0.0,825.0,0.0,96.1398,0.0000,3.8602,1.92,0.39,0.08,0.39,1000000,1,,2-0:96.1398%|0-2:3.8602%
9,,,Eng. e Gestão Industrial,Eng. Eletrónica e Telecomunicações,1293.0,0.0,1272.0,0.0,54.8651,0.0000,45.1349,1.21,0.92,1.04,0.93,1000000,1,,2-0:41.0721%|0-2:33.7725%|2-1:13.7930%|1-2:11.3624%
9,,,Eng. Informática,Eng. Biomédica,990.0,0.0,595.0,0.0,97.4340,0.0000,2.5660,1.95,0.32,0.05,0.32,1000000,1,,2-0:97.4340%|0-2:2.5660%
9,,,Fisioterapia,Eng. de Materiais,1339.0,0.0,643.0,0.0,99.8349,0.0000,0.1651,2.00,0.08,0.00,0.08,1000000,1,,2-0:99.8349%|0-2:0.1651%
9,,,Geologia,Ciências Biomédicas,775.0,0.0,1123.0,0.0,3.9071,0.0000,96.0929,0.08,0.39,1.92,0.39,1000000,1,,0-2:96.0929%|2-0:3.9071%
11,,,Bioquímica,Eng. do Ambiente,570.0,0.0,761.0,0.0,14.6696,0.0000,85.3304,0.33,0.72,1.71,0.70,1000000,2,A,0-2:82.0066%|2-0:14.0861%|1-2:3.3238%|2-1:0.5835%
11,,,Contabilidade,Línguas e Relações Empresariais,485.0,0.0,556.0,0.0,34.1575,0.0000,65.8425,0.81,0.92,1.38,0.89,1000000,2,A,0-2:53.3765%|2-0:27.6747%|1-2:12.4660%|2-1:6.4828%
11,,,MTC,Adminstração Pública,501.0,0.0,500.0,0.0,50.2566,0.0000,49.7434,1.14,0.92,1.13,0.92,1000000,2,A,2-0:36.3450%|0-2:36.0032%|2-1:13.9116%|1-2:13.7402%
11,,,Psicologia,Gestão Comercial,740.0,0.0,329.0,0.0,97.7825,0.0000,2.2175,1.96,0.29,0.04,0.29,1000000,2,A,2-0:97.7825%|0-2:2.2175%
11,,,Tradução,Educação Básica,384.0,0.0,191.0,0.0,85.5181,0.0000,14.4819,1.72,0.69,0.32,0.71,1000000,2,A,2-0:82.3674%|0-2:13.9416%|2-1:3.1507%|1-2:0.5403%
11,,,Eng. Mecânica,Eng. Química,556.0,0.0,670.0,0.0,25.9079,0.0000,74.0921,0.62,0.87,1.52,0.83,1000000,2,B,0-2:64.0853%|2-0:22.3751%|1-2:10.0068%|2-1:3.5328%
11,,,Gestão,Eng. Física,649.0,0.0,762.3,26.9,26.3046,0.0000,73.6954,0.62,0.87,1.51,0.84,1000000,2,B,0-2:63.8525%|2-0:22.5121%|1-2:9.8429%|2-1:3.7925%
11,,,Marketing,Ciências Biomédicas B,272.0,0.0,458.7,26.9,15.4654,0.0000,84.5346,0.35,0.73,1.70,0.71,1000000,2,B,0-2:80.3593%|2-0:14.6658%|1-2:4.1753%|2-1:0.7996%
