jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,distribuicao_placares,divisao,grupo
6,,,Eng. Computadores e Telemática,Eng. Eletrónica e Telecomunicações,638.0,0.0,1146.0,0.0,1.0400,0.0000,98.9600,0-2:73.8300%|1-2:25.1300%|2-0:0.7700%|2-1:0.2700%,1,
6,,,Eng. e Gestão Industrial,Eng. Informática,1284.0,0.0,1152.0,0.0,76.6800,0.0000,23.3200,2-0:39.3400%|2-1:37.3400%|0-2:12.4100%|1-2:10.9100%,1,
6,,,Eng. Biomédica,Design,782.0,0.0,1206.0,0.0,2.0200,0.0000,97.9800,0-2:73.7000%|1-2:24.2800%|2-0:1.5800%|2-1:0.4400%,1,
6,,,Gestão e Planeamento em Turismo,Eng. Mecânica,791.0,0.0,982.0,0.0,14.2900,0.0000,85.7100,0-2:49.8100%|1-2:35.9000%|2-0:8.2700%|2-1:6.0200%,1,
6,,,Línguas e Relações Empresariais,Ciências do Mar,1028.0,0.0,899.0,0.0,76.3500,0.0000,23.6500,2-0:38.6700%|2-1:37.6800%|0-2:11.9200%|1-2:11.7300%,1,
6,,,Música,Tecnologias de Informação,784.0,0.0,727.0,0.0,62.3500,0.0000,37.6500,2-1:36.4600%|2-0:25.8900%|1-2:21.7600%|0-2:15.8900%,1,
6,,,Biologia,Bioquímica,667.0,0.0,503.0,0.0,82.0300,0.0000,17.9700,2-0:45.9800%|2-1:36.0500%|0-2:10.0900%|1-2:7.8800%,2,A
6,,,Economia,Fisioterapia,399.0,0.0,947.0,0.0,0.5200,0.0000,99.4800,0-2:74.4100%|1-2:25.0700%|2-0:0.3700%|2-1:0.1500%,2,A
6,,,Eng. do Ambiente,Geologia,686.0,0.0,477.0,0.0,86.8500,0.0000,13.1500,2-0:53.5300%|2-1:33.3200%|0-2:7.9700%|1-2:5.1800%,2,A
6,,,Eng. de Materiais,Ciências Biomédicas,470.0,0.0,700.0,0.0,10.3100,0.0000,89.6900,0-2:56.9400%|1-2:32.7500%|2-0:6.5400%|2-1:3.7700%,2,A
6,,,Medicina,Administração Pública,417.0,0.0,766.0,0.0,4.0900,0.0000,95.9100,0-2:71.7300%|1-2:24.1800%|2-0:3.1600%|2-1:0.9300%,2,A
6,,,Eng. Computacional,Psicologia,314.0,0.0,167.0,0.0,79.7600,0.0000,20.2400,2-0:42.0100%|2-1:37.7500%|0-2:10.4700%|1-2:9.7700%,2,B
6,,,Eng. Física,Física,677.0,0.0,575.0,0.0,72.7700,0.0000,27.2300,2-1:38.3000%|2-0:34.4700%|1-2:14.2100%|0-2:13.0200%,2,B
6,,,Gestão,Eng. Civil,452.0,0.0,439.0,0.0,53.2400,0.0000,46.7600,2-1:33.6600%|1-2:29.0800%|2-0:19.5800%|0-2:17.6800%,2,B
6,,,MTC,Eng. Informática B,371.0,0.0,377.0,0.0,49.2000,0.0000,50.8000,1-2:33.2800%|2-1:31.5900%|2-0:17.6100%|0-2:17.5200%,2,B
6,,,Matemática,Eng. Eletrónica e Telecomunicações B,304.0,0.0,155.0,0.0,80.1400,0.0000,19.8600,2-0:43.3600%|2-1:36.7800%|0-2:10.9200%|1-2:8.9400%,2,B
7,,,Ciências do Mar,Eng. e Gestão Industrial,899.5,94.4,1283.2,94.1,5.9800,0.0000,94.0200,0-2:67.4000%|1-2:26.6200%|2-0:3.5500%|2-1:2.4300%,1,
7,,,Design,Eng. Informática,1206.2,31.9,1152.8,94.1,62.1300,0.0000,37.8700,2-1:32.4800%|2-0:29.6500%|1-2:19.1200%|0-2:18.7500%,1,
7,,,Eng. Eletrónica e Telecomunicações,Música,1145.7,22.9,782.9,107.1,94.8500,0.0000,5.1500,2-0:68.4400%|2-1:26.4100%|0-2:3.5500%|1-2:1.6000%,1,
7,,,Eng. Biomédica,Eng. Computadores e Telemática,781.8,31.9,638.3,22.9,78.7800,0.0000,21.2200,2-0:42.1700%|2-1:36.6100%|0-2:11.3100%|1-2:9.9100%,1,
7,,,Eng. Mecânica,Línguas e Relações Empresariais,982.8,78.2,1027.5,94.4,42.2000,0.0000,57.8000,1-2:29.0500%|0-2:28.7500%|2-1:21.8600%|2-0:20.3400%,1,
7,,,Tecnologias de Informação,Gestão e Planeamento em Turismo,728.1,107.1,790.2,78.2,38.7000,0.0000,61.3000,0-2:32.3200%|1-2:28.9800%|2-0:19.6600%|2-1:19.0400%,1,
7,,,Administração Pública,Eng. de Materiais,765.5,44.8,468.8,68.2,92.2500,0.0000,7.7500,2-0:66.3100%|2-1:25.9400%|0-2:4.7500%|1-2:3.0000%,2,A
7,,,Bioquímica,Medicina,502.5,85.8,417.5,44.8,65.0900,0.0000,34.9100,2-1:34.2100%|2-0:30.8800%|1-2:19.3800%|0-2:15.5300%,2,A
7,,,Biotecnologia,Biologia,252.0,0.0,667.5,85.8,3.0900,0.0000,96.9100,0-2:71.3900%|1-2:25.5200%|2-0:2.0500%|2-1:1.0400%,2,A
7,,,Ciências Biomédicas,Eng. do Ambiente,701.2,68.2,684.9,75.4,53.2600,0.0000,46.7400,2-1:30.5700%|1-2:27.2900%|2-0:22.6900%|0-2:19.4500%,2,A
7,,,Geologia,Economia,478.1,75.4,399.2,16.2,64.9400,0.0000,35.0600,2-1:35.3200%|2-0:29.6200%|1-2:20.7200%|0-2:14.3400%,2,A
7,,,Contabilidade,Matemática,624.0,0.0,304.5,88.7,94.1000,0.0000,5.9000,2-0:66.3700%|2-1:27.7300%|0-2:4.1600%|1-2:1.7400%,2,B
7,,,Eng. Eletrónica e Telecomunicações B,MTC,154.5,88.7,372.3,109.9,17.8800,0.0000,82.1200,0-2:52.0700%|1-2:30.0500%|2-0:9.3900%|2-1:8.4900%,2,B
7,,,Eng. Civil,Eng. Física,438.6,110.1,679.0,98.7,15.9100,0.0000,84.0900,0-2:54.2600%|1-2:29.8300%|2-0:8.1300%|2-1:7.7800%,2,B
7,,,Eng. Informática B,Gestão,375.7,109.9,452.4,110.1,38.0700,0.0000,61.9300,0-2:34.4000%|1-2:27.5300%|2-1:19.2300%|2-0:18.8400%,2,B
7,,,Física,Eng. Computacional,573.0,98.7,314.6,89.4,87.3000,0.0000,12.7000,2-0:56.0700%|2-1:31.2300%|0-2:7.0100%|1-2:5.6900%,2,B
