jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,expected_goals_a,expected_goals_a_std,expected_goals_b,expected_goals_b_std,ocorrencias,divisao,grupo,distribuicao_placares
Quartos,-,-,Contabilidade,Eng. Eletrónica e Telecomunicações,680.0,0.0,1284.0,0.0,0.0000,0.0000,100.0000,0.00,0.02,2.00,0.00,10000,1,,0-2:99.9500%|1-2:0.0500%
Quartos,-,-,Administração Pública,Eng. Informática,926.0,0.0,1172.0,0.0,7.8200,0.0000,92.1800,0.78,0.57,1.92,0.27,10000,1,,1-2:62.6600%|0-2:29.5200%|2-1:7.7600%|2-0:0.0600%
Quartos,-,-,Eng. Mecânica,Tecnologias de Informação,1211.0,0.0,940.0,0.0,95.0900,0.0000,4.9100,1.95,0.22,0.70,0.55,10000,1,,2-1:60.4800%|2-0:34.6100%|1-2:4.8800%|0-2:0.0300%
Quartos,-,-,Design,Eng. e Gestão Industrial,1122.0,0.0,1149.0,0.0,45.2600,0.0000,54.7400,1.34,0.67,1.47,0.63,10000,1,,1-2:43.6600%|2-1:37.5800%|0-2:11.0800%|2-0:7.6800%
Semifinais,-,-,Eng. Eletrónica e Telecomunicações,Eng. Informática,1285.0,0.0,1192.6,0.9,65.8820,0.0000,34.1180,1.63,0.55,1.20,0.67,9218,1,,2-1:51.5622%|1-2:30.7767%|2-0:14.3198%|0-2:3.3413%
Semifinais,-,-,Eng. Mecânica,Eng. e Gestão Industrial,1227.4,0.5,1244.4,2.8,47.4251,0.0000,52.5749,1.37,0.67,1.44,0.64,5204,1,,1-2:41.6603%|2-1:39.0853%|0-2:10.9147%|2-0:8.3397%
Semifinais,-,-,Design,Eng. Mecânica,1243.5,3.4,1227.4,0.5,52.4971,0.0000,47.5029,1.44,0.65,1.37,0.67,4305,1,,2-1:41.6492%|1-2:38.6295%|2-0:10.8479%|0-2:8.8734%
Semifinais,-,-,Administração Pública,Eng. Eletrónica e Telecomunicações,1120.1,1.2,1285.0,0.0,21.8670,0.0000,78.1330,1.02,0.65,1.77,0.45,782,1,,1-2:58.0563%|2-1:20.7161%|0-2:20.0767%|2-0:1.1509%
Semifinais,-,-,Design,Tecnologias de Informação,1243.5,3.3,1138.1,1.3,68.3258,0.0000,31.6742,1.65,0.54,1.18,0.65,221,1,,2-1:54.7511%|1-2:28.5068%|2-0:13.5747%|0-2:3.1674%
Semifinais,-,-,Eng. e Gestão Industrial,Tecnologias de Informação,1244.3,2.8,1138.1,0.9,68.5185,0.0000,31.4815,1.67,0.49,1.13,0.70,270,1,,2-1:49.6296%|1-2:30.3704%|2-0:18.8889%|0-2:1.1111%
3º Lugar,-,-,Eng. Informática,Eng. e Gestão Industrial,1147.0,1.6,1161.3,5.6,46.4952,0.0000,53.5048,1.36,0.66,1.45,0.64,1555,1,,1-2:43.3441%|2-1:38.2637%|0-2:10.1608%|2-0:8.2315%
3º Lugar,-,-,Design,Eng. Informática,1161.0,5.8,1146.9,1.6,50.5986,0.0000,49.4014,1.42,0.64,1.41,0.65,1253,1,,2-1:41.8196%|1-2:41.2610%|2-0:8.7789%|0-2:8.1405%
