jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,expected_goals_a,expected_goals_a_std,expected_goals_b,expected_goals_b_std,ocorrencias,divisao,grupo,distribuicao_placares
Semifinais,-,-,Eng. Eletrónica e Telecomunicações,Eng. e Gestão Industrial,1290.0,0.0,1231.0,0.0,59.3986,0.0000,40.6014,1.54,0.59,1.28,0.67,1000000,1,,2-1:46.9589%|1-2:35.3275%|2-0:12.4397%|0-2:5.2739%
Semifinais,-,-,Eng. Informática,Eng. Mecânica,1193.0,0.0,1229.0,0.0,44.4914,0.0000,55.5086,1.33,0.67,1.49,0.62,1000000,1,,1-2:44.0948%|2-1:37.5079%|0-2:11.4138%|2-0:6.9835%
3º Lugar,-,-,Eng. Mecânica,Eng. e Gestão Industrial,1102.6,3.3,1150.9,2.0,42.3971,0.0000,57.6029,1.30,0.67,1.52,0.61,264412,1,,1-2:45.5566%|2-1:36.3645%|0-2:12.0464%|2-0:6.0326%
3º Lugar,-,-,Eng. Eletrónica e Telecomunicações,Eng. Informática,1152.8,3.0,1101.8,2.4,58.0005,0.0000,41.9995,1.52,0.61,1.30,0.67,225512,1,,2-1:45.9723%|1-2:36.0721%|2-0:12.0282%|0-2:5.9274%
3º Lugar,-,-,Eng. Eletrónica e Telecomunicações,Eng. Mecânica,1152.8,3.0,1102.6,3.3,57.8415,0.0000,42.1585,1.52,0.61,1.30,0.67,180502,1,,2-1:45.8078%|1-2:36.1913%|2-0:12.0337%|0-2:5.9672%
3º Lugar,-,-,Eng. Informática,Eng. e Gestão Industrial,1101.8,2.4,1151.0,2.0,42.3431,0.0000,57.6569,1.30,0.67,1.52,0.61,329574,1,,1-2:45.8019%|2-1:36.4310%|0-2:11.8550%|2-0:5.9122%
Final,-,-,Eng. Eletrónica e Telecomunicações,Eng. Informática,1370.1,2.0,1319.4,3.3,58.0503,0.0000,41.9497,1.52,0.60,1.30,0.67,264412,1,,2-1:45.9782%|1-2:36.1330%|2-0:12.0721%|0-2:5.8167%
Final,-,-,Eng. Mecânica,Eng. e Gestão Industrial,1320.2,2.4,1368.2,3.0,42.4350,0.0000,57.5650,1.30,0.67,1.52,0.61,225512,1,,1-2:45.6189%|2-1:36.4162%|0-2:11.9461%|2-0:6.0187%
Final,-,-,Eng. Informática,Eng. e Gestão Industrial,1319.4,3.3,1368.2,3.0,42.4505,0.0000,57.5495,1.31,0.67,1.52,0.61,180502,1,,1-2:45.6610%|2-1:36.4605%|0-2:11.8885%|2-0:5.9900%
Final,-,-,Eng. Eletrónica e Telecomunicações,Eng. Mecânica,1370.0,2.0,1320.2,2.4,57.7706,0.0000,42.2294,1.52,0.61,1.30,0.67,329574,1,,2-1:45.8562%|1-2:36.2932%|2-0:11.9145%|0-2:5.9361%
Liguilha 1,-,-,Ciências Biomédicas,Eng. Computadores e Telemática,764.0,0.0,837.0,0.0,38.1291,0.0000,61.8709,1.25,0.67,1.57,0.58,1000000,1,,1-2:48.7598%|2-1:33.7415%|0-2:13.1111%|2-0:4.3876%
Liguilha 2,-,-,Ciências Biomédicas,Física,773.2,105.2,740.0,0.0,56.4868,0.0000,43.5132,1.49,0.64,1.32,0.67,1000000,1,,2-1:45.2656%|1-2:35.8236%|2-0:11.2212%|0-2:7.6896%
Liguilha 3,-,-,Eng. Computadores e Telemática,Física,827.8,105.2,737.8,100.0,64.1894,0.0000,35.8106,1.58,0.61,1.17,0.72,1000000,1,,2-1:45.7249%|1-2:29.3614%|2-0:18.4645%|0-2:6.4492%
